Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
18004,16034,933,1037,2020-06-12 23:27:00,2020-06-12,2039
15965,5141,569,10255,2020-05-06 17:43:00,2020-05-06,1165
14800,3105,443,11252,2020-05-01 21:43:00,2020-05-01,474
14326,2544,398,11384,2020-04-28 20:02:00,2020-04-28,173
14153,2454,385,11314,2020-04-27 14:50:00,2020-04-27,210
13943,2301,373,11269,2020-04-26 15:29:00,2020-04-26,402
13541,2175,358,11008,2020-04-25 17:01:00,2020-04-25,461
13080,2139,341,10600,2020-04-24 15:23:00,2020-04-24,418
12662,2069,312,10281,2020-04-23 16:20:00,2020-04-23,438
12224,2000,294,9930,2020-04-22 16:22:00,2020-04-22,377
11847,1883,276,9688,2020-04-21 17:14:00,2020-04-21,338
11509,1803,249,9457,2020-04-20 16:35:00,2020-04-20,501
11008,1713,235,9060,2020-04-19 16:30:00,2020-04-19,509
10499,1579,203,8717,2020-04-18 15:07:00,2020-04-18,556
9943,1579,203,8161,2020-04-17 22:01:00,2020-04-17,605
9338,1545,190,7603,2020-04-16 21:38:00,2020-04-16,526
8812,1492,158,7162,2020-04-15 20:35:00,2020-04-15,455
8357,1438,155,6764,2020-04-14 23:37:00,2020-04-14,275
8082,1403,134,6545,2020-04-13 21:50:00,2020-04-13,622
7460,1381,119,5960,2020-04-12 21:08:00,2020-04-12,743
6717,1381,110,5226,2020-04-11 07:00:00,2020-04-11,0
6717,1304,110,5303,2020-04-10 22:00:00,2020-04-10,1026
5691,1304,110,4277,2020-04-09 22:00:00,2020-04-09,312
5379,1251,105,4023,2020-04-08 23:00:00,2020-04-08,410
4969,1241,104,3624,2020-04-07 23:00:00,2020-04-07,351
4618,1211,103,3304,2020-04-06 23:00:00,2020-04-06,252
4366,1194,96,3076,2020-04-05 23:00:00,2020-04-05,515
3851,1133,88,2630,2020-04-04 23:50:00,2020-04-04,204
3647,1133,80,2434,2020-04-03 23:30:00,2020-04-03,318
3329,1091,74,2164,2020-04-02 23:30:00,2020-04-02,233
3096,1091,68,1937,2020-04-01 23:00:00,2020-04-01,155
2941,1027,77,1837,2020-03-31 23:30:00,2020-03-31,276
