Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
413,269,7,137,2020-04-19 00:12:00,,2020-04-19,6
407,265,7,135,2020-04-18 15:07:00,,2020-04-18,5
402,259,7,136,2020-04-17 22:01:00,,2020-04-17,1
401,250,7,144,2020-04-16 21:38:00,,2020-04-16,4
397,235,7,155,2020-04-15 20:35:00,,2020-04-15,0
397,235,7,155,2020-04-14 23:37:00,,2020-04-14,8
389,201,7,181,2020-04-13 21:50:00,,2020-04-13,8
381,177,7,197,2020-04-12 21:08:00,,2020-04-12,9
372,170,7,195,2020-04-11 07:00:00,,2020-04-11,0
372,170,7,195,2020-04-10 22:00:00,,2020-04-10,0
372,161,7,204,2020-04-09 22:00:00,,2020-04-09,14
358,150,6,202,2020-04-08 23:00:00,,2020-04-08,5
353,138,6,209,2020-04-07 23:00:00,,2020-04-07,4
349,126,6,217,2020-04-06 23:00:00,,2020-04-06,4
345,110,5,230,2020-04-05 23:00:00,,2020-04-05,22
323,74,5,244,2020-04-04 23:50:00,,2020-04-04,13
310,58,5,247,2020-04-03 23:30:00,,2020-04-03,11
299,45,5,249,2020-04-02 23:30:00,,2020-04-02,21
278,36,5,237,2020-04-01 23:00:00,,2020-04-01,4
274,30,5,239,2020-03-31 23:30:00,,2020-03-31,6
268,26,5,237,2020-03-30 22:30:00,,2020-03-30,9
259,18,3,238,2020-03-29 23:10:00,,2020-03-29,13
246,18,1,227,2020-03-28 23:30:00,,2020-03-28,11
235,18,1,216,2020-03-27 23:30:00,,2020-03-27,23
212,1,0,211,2020-03-26 22:40:00,,2020-03-26,40
172,1,0,171,2020-03-25 22:00:00,,2020-03-25,18
154,1,0,153,2020-03-24 22:30:00,,2020-03-24,27
127,1,0,126,2020-03-23 23:40:00,,2020-03-23,15
112,1,0,111,2020-03-22 22:30:00,,2020-03-22,12
100,1,0,99,2020-03-21 23:30:00,,2020-03-21,15
85,1,0,84,2020-03-20 22:45:00,,2020-03-20,16
69,1,0,68,2020-03-19 23:30:00,,2020-03-19,13
56,1,0,55,2020-03-18 23:30:00,,2020-03-18,8
48,1,0,47,2020-03-17 22:30:00,,2020-03-17,19
29,1,0,28,2020-03-16 22:00:00,,2020-03-16,17
12,1,0,11,2020-03-15 23:30:00,,2020-03-15,11
1,1,0,0,2020-03-14 22:30:00,,2020-03-14,0
1,1,0,0,2020-03-13 22:00:00,,2020-03-13,0
1,0,0,1,2020-03-12 22:00:00,,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,,2020-03-11,0
1,0,0,1,2020-03-10 23:00:00,,2020-03-10,0
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
