Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
246,53,11,182,2020-04-18 15:07:00,,2020-04-18,0
246,53,11,182,2020-04-17 22:01:00,,2020-04-17,12
234,53,11,170,2020-04-16 21:38:00,,2020-04-16,9
225,53,10,162,2020-04-15 20:35:00,,2020-04-15,9
216,41,9,166,2020-04-14 23:37:00,,2020-04-14,8
208,40,9,159,2020-04-13 21:50:00,,2020-04-13,17
191,24,7,160,2020-04-12 21:08:00,,2020-04-12,2
189,22,7,160,2020-04-11 07:00:00,,2020-04-11,0
189,22,7,160,2020-04-10 22:00:00,,2020-04-10,5
184,12,7,165,2020-04-09 22:00:00,,2020-04-09,5
179,9,6,164,2020-04-08 23:00:00,,2020-04-08,7
172,7,6,159,2020-04-07 23:00:00,,2020-04-07,14
158,4,6,148,2020-04-06 23:00:00,,2020-04-06,16
142,4,4,134,2020-04-05 23:00:00,,2020-04-05,16
126,4,4,118,2020-04-04 23:50:00,,2020-04-04,4
122,4,4,114,2020-04-03 23:30:00,,2020-04-03,12
110,4,3,103,2020-04-02 23:30:00,,2020-04-02,29
81,3,1,77,2020-04-01 23:00:00,,2020-04-01,22
59,1,1,57,2020-03-31 23:30:00,,2020-03-31,9
50,1,1,48,2020-03-30 22:30:00,,2020-03-30,8
42,1,1,40,2020-03-29 23:10:00,,2020-03-29,4
38,1,1,36,2020-03-28 23:30:00,,2020-03-28,7
31,1,1,29,2020-03-27 23:30:00,,2020-03-27,0
31,1,1,29,2020-03-26 22:40:00,,2020-03-26,3
28,1,0,27,2020-03-25 22:00:00,,2020-03-25,3
25,0,0,25,2020-03-24 22:30:00,,2020-03-24,9
16,0,0,16,2020-03-23 23:40:00,,2020-03-23,1
15,0,0,15,2020-03-22 22:30:00,,2020-03-22,8
7,0,0,7,2020-03-21 23:30:00,,2020-03-21,0
7,0,0,7,2020-03-20 22:45:00,,2020-03-20,0
7,0,0,7,2020-03-19 23:30:00,,2020-03-19,0
7,0,0,7,2020-03-18 23:30:00,,2020-03-18,3
4,0,0,4,2020-03-17 22:30:00,,2020-03-17,1
3,0,0,3,2020-03-16 22:00:00,,2020-03-16,0
3,0,0,3,2020-03-15 23:30:00,,2020-03-15,2
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
