Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
34952,25048,285,9619,2020-06-12 23:27:00,2020-06-12,29148
5804,2032,40,3732,2020-05-06 17:43:00,2020-05-06,1427
4377,1602,30,2745,2020-05-01 21:43:00,2020-05-01,937
3440,1176,23,2241,2020-04-28 20:02:00,2020-04-28,365
3075,806,20,2249,2020-04-27 14:50:00,2020-04-27,183
2892,656,19,2217,2020-04-26 15:29:00,2020-04-26,0
2892,656,19,2217,2020-04-25 17:01:00,2020-04-25,493
2399,498,14,1887,2020-04-24 15:23:00,2020-04-24,0
2399,498,14,1887,2020-04-23 16:20:00,2020-04-23,151
2248,443,13,1792,2020-04-22 16:22:00,2020-04-22,168
2080,412,11,1657,2020-04-21 17:14:00,2020-04-21,85
1995,367,9,1619,2020-04-20 16:35:00,2020-04-20,80
1915,305,7,1603,2020-04-19 16:30:00,2020-04-19,164
1751,280,6,1465,2020-04-18 15:07:00,2020-04-18,93
1658,258,5,1395,2020-04-17 22:01:00,2020-04-17,134
1524,225,3,1296,2020-04-16 21:38:00,2020-04-16,119
1405,206,3,1196,2020-04-15 20:35:00,2020-04-15,50
1355,176,3,1176,2020-04-14 23:37:00,2020-04-14,55
1300,150,2,1148,2020-04-13 21:50:00,2020-04-13,146
1154,133,1,1020,2020-04-12 21:08:00,2020-04-12,0
1154,133,1,1020,2020-04-11 07:00:00,2020-04-11,161
993,123,1,869,2020-04-10 22:00:00,2020-04-10,83
910,111,1,798,2020-04-09 22:00:00,2020-04-09,55
855,111,1,743,2020-04-08 23:00:00,2020-04-08,112
743,105,1,637,2020-04-07 23:00:00,2020-04-07,78
665,103,1,561,2020-04-06 23:00:00,2020-04-06,109
556,99,1,456,2020-04-05 23:00:00,2020-04-05,77
479,93,1,385,2020-04-04 23:50:00,2020-04-04,62
417,82,0,335,2020-04-03 23:30:00,2020-04-03,75
342,81,0,261,2020-04-02 23:30:00,2020-04-02,25
317,80,0,237,2020-04-01 23:00:00,2020-04-01,28
289,73,0,216,2020-03-31 23:30:00,2020-03-31,23
266,72,0,194,2020-03-30 22:30:00,2020-03-30,11
255,67,0,188,2020-03-29 23:10:00,2020-03-29,20
235,64,0,171,2020-03-28 23:30:00,2020-03-28,10
225,57,0,168,2020-03-27 23:30:00,2020-03-27,17
208,49,0,159,2020-03-26 22:40:00,2020-03-26,13
195,43,0,152,2020-03-25 22:00:00,2020-03-25,4
191,39,0,152,2020-03-24 22:30:00,2020-03-24,2
189,30,0,159,2020-03-23 23:40:00,2020-03-23,1
188,30,0,158,2020-03-22 22:30:00,2020-03-22,12
176,27,0,149,2020-03-21 23:30:00,2020-03-21,17
159,22,0,137,2020-03-20 22:45:00,2020-03-20,11
148,18,0,130,2020-03-19 23:30:00,2020-03-19,6
142,15,0,127,2020-03-18 23:30:00,2020-03-18,12
130,12,0,118,2020-03-17 22:30:00,2020-03-17,7
123,9,0,114,2020-03-16 22:00:00,2020-03-16,11
112,9,0,103,2020-03-15 23:30:00,2020-03-15,8
104,7,0,97,2020-03-14 22:30:00,2020-03-14,4
100,5,0,95,2020-03-13 22:00:00,2020-03-13,20
80,5,0,75,2020-03-12 22:00:00,2020-03-12,8
72,3,0,69,2020-03-11 22:30:00,2020-03-11,3
69,1,0,68,2020-03-10 23:00:00,2020-03-10,4
65,1,0,64,2020-03-09 22:30:00,2020-03-09,1
64,1,0,63,2020-03-08 22:00:00,2020-03-08,3
61,1,0,60,2020-03-07 22:00:00,2020-03-07,3
58,0,0,58,2020-03-06 20:30:00,2020-03-06,0
58,0,0,58,2020-03-05 20:30:00,2020-03-05,2
56,0,0,56,2020-03-04 22:00:00,2020-03-04,0
56,0,0,56,2020-03-03 23:30:00,2020-03-03,0
56,0,0,56,2020-03-02 22:00:00,2020-03-02,10
46,0,0,46,2020-03-01 23:00:00,2020-03-01,1
45,0,0,45,2020-02-29 23:00:00,2020-02-29,0
45,0,0,45,2020-02-28 23:00:00,2020-02-28,2
43,0,0,43,2020-02-27 22:00:00,2020-02-27,17
26,0,0,26,2020-02-26 23:30:00,2020-02-26,15
11,0,0,11,2020-02-25 22:00:00,2020-02-25,6
5,0,0,5,2020-02-24 23:00:00,2020-02-24,5
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
