Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
506,130,5,371,2020-04-18 15:07:00,,2020-04-18,17
489,114,5,370,2020-04-17 22:01:00,,2020-04-17,23
466,91,5,370,2020-04-16 21:38:00,,2020-04-16,17
449,78,5,366,2020-04-15 20:35:00,,2020-04-15,19
430,71,5,354,2020-04-14 23:37:00,,2020-04-14,11
419,67,5,347,2020-04-13 21:50:00,,2020-04-13,42
377,44,5,328,2020-04-12 21:08:00,,2020-04-12,38
339,44,5,290,2020-04-11 07:00:00,,2020-04-11,41
298,35,5,258,2020-04-10 22:00:00,,2020-04-10,18
280,35,4,241,2020-04-09 22:00:00,,2020-04-09,10
270,33,4,233,2020-04-08 23:00:00,,2020-04-08,42
228,33,4,191,2020-04-07 23:00:00,,2020-04-07,12
216,33,4,179,2020-04-06 23:00:00,,2020-04-06,69
147,9,1,137,2020-04-05 23:00:00,,2020-04-05,3
144,9,1,134,2020-04-04 23:50:00,,2020-04-04,14
130,6,1,123,2020-04-03 23:30:00,,2020-04-03,5
125,5,1,119,2020-04-02 23:30:00,,2020-04-02,14
111,3,0,108,2020-04-01 23:00:00,,2020-04-01,4
107,3,0,104,2020-03-31 23:30:00,,2020-03-31,13
94,3,0,91,2020-03-30 22:30:00,,2020-03-30,10
84,0,0,84,2020-03-29 23:10:00,,2020-03-29,26
58,0,0,58,2020-03-28 23:30:00,,2020-03-28,0
58,0,0,58,2020-03-27 23:30:00,,2020-03-27,14
44,0,0,44,2020-03-26 22:40:00,,2020-03-26,0
44,0,0,44,2020-03-25 22:00:00,,2020-03-25,2
42,0,0,42,2020-03-24 22:30:00,,2020-03-24,26
16,0,0,16,2020-03-23 23:40:00,,2020-03-23,2
14,0,0,14,2020-03-22 22:30:00,,2020-03-22,0
14,0,0,14,2020-03-21 23:30:00,,2020-03-21,8
6,0,0,6,2020-03-20 22:45:00,,2020-03-20,0
6,0,0,6,2020-03-19 23:30:00,,2020-03-19,3
3,0,0,3,2020-03-18 23:30:00,,2020-03-18,0
