Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
19,2,0,17,2020-04-17 22:01:00,,2020-04-17,0
19,2,0,17,2020-04-16 21:38:00,,2020-04-16,0
19,1,0,18,2020-04-15 20:35:00,,2020-04-15,0
19,1,0,18,2020-04-14 23:37:00,,2020-04-14,0
19,0,0,19,2020-04-13 21:50:00,,2020-04-13,1
18,0,0,18,2020-04-12 21:08:00,,2020-04-12,0
18,0,0,18,2020-04-11 07:00:00,,2020-04-11,2
16,0,0,16,2020-04-10 22:00:00,,2020-04-10,0
16,0,0,16,2020-04-09 22:00:00,,2020-04-09,1
15,0,0,15,2020-04-08 23:00:00,,2020-04-08,1
14,0,0,14,2020-04-07 23:00:00,,2020-04-07,2
12,0,0,12,2020-04-06 23:00:00,,2020-04-06,1
11,0,0,11,2020-04-05 23:00:00,,2020-04-05,1
10,0,0,10,2020-04-04 23:50:00,,2020-04-04,0
10,0,0,10,2020-04-03 23:30:00,,2020-04-03,0
10,0,0,10,2020-04-02 23:30:00,,2020-04-02,0
10,0,0,10,2020-04-01 23:00:00,,2020-04-01,1
9,0,0,9,2020-03-31 23:30:00,,2020-03-31,1
8,0,0,8,2020-03-30 22:30:00,,2020-03-30,0
8,0,0,8,2020-03-29 23:10:00,,2020-03-29,0
8,0,0,8,2020-03-28 23:30:00,,2020-03-28,2
6,0,0,6,2020-03-27 23:30:00,,2020-03-27,0
6,0,0,6,2020-03-26 22:40:00,,2020-03-26,3
3,0,0,3,2020-03-25 22:00:00,,2020-03-25,1
2,0,0,2,2020-03-24 22:30:00,,2020-03-24,0
