Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1422,853,31,538,2020-06-12 23:27:00,2020-06-12,672
750,206,25,519,2020-05-06 17:43:00,2020-05-06,21
729,192,24,513,2020-05-01 21:43:00,2020-05-01,12
717,145,24,548,2020-04-28 20:02:00,2020-04-28,10
707,145,24,538,2020-04-27 14:50:00,2020-04-27,3
704,143,24,537,2020-04-26 15:29:00,2020-04-26,0
704,143,24,537,2020-04-25 17:01:00,2020-04-25,16
688,140,22,526,2020-04-24 15:23:00,2020-04-24,6
682,113,22,547,2020-04-23 16:20:00,2020-04-23,0
682,108,22,552,2020-04-22 16:22:00,2020-04-22,5
677,103,21,553,2020-04-21 17:14:00,2020-04-21,4
673,102,21,550,2020-04-20 16:35:00,2020-04-20,0
673,99,21,553,2020-04-19 16:30:00,2020-04-19,1
672,94,21,557,2020-04-18 15:07:00,2020-04-18,4
668,86,21,561,2020-04-17 22:01:00,2020-04-17,5
663,85,21,557,2020-04-16 21:38:00,2020-04-16,5
658,81,21,556,2020-04-15 20:35:00,2020-04-15,17
641,80,21,540,2020-04-14 23:37:00,2020-04-14,9
632,80,20,532,2020-04-13 21:50:00,2020-04-13,13
619,77,20,522,2020-04-12 21:08:00,2020-04-12,0
619,76,20,523,2020-04-11 07:00:00,2020-04-11,10
609,76,20,513,2020-04-10 22:00:00,2020-04-10,27
582,67,19,496,2020-04-09 22:00:00,2020-04-09,6
576,62,19,495,2020-04-08 23:00:00,2020-04-08,28
548,62,19,467,2020-04-07 23:00:00,2020-04-07,7
541,60,19,462,2020-04-06 23:00:00,2020-04-06,14
527,54,18,455,2020-04-05 23:00:00,2020-04-05,7
520,54,17,449,2020-04-04 23:50:00,2020-04-04,12
508,50,17,441,2020-04-03 23:30:00,2020-04-03,14
494,46,16,432,2020-04-02 23:30:00,2020-04-02,15
479,43,14,422,2020-04-01 23:00:00,2020-04-01,9
470,37,12,421,2020-03-31 23:30:00,2020-03-31,24
446,35,11,400,2020-03-30 22:30:00,2020-03-30,8
438,30,10,398,2020-03-29 23:10:00,2020-03-29,26
412,30,8,374,2020-03-28 23:30:00,2020-03-28,21
