Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
59,4,6,49,2020-04-14 23:37:00,,2020-04-14,0
59,4,6,49,2020-04-13 21:50:00,,2020-04-13,11
48,3,5,40,2020-04-12 21:08:00,,2020-04-12,11
37,3,5,29,2020-04-11 07:00:00,,2020-04-11,0
37,3,5,29,2020-04-10 22:00:00,,2020-04-10,6
31,3,4,24,2020-04-09 22:00:00,,2020-04-09,0
31,3,4,24,2020-04-08 23:00:00,,2020-04-08,17
14,3,3,8,2020-04-07 23:00:00,,2020-04-07,0
14,3,3,8,2020-04-06 23:00:00,,2020-04-06,1
13,3,3,7,2020-04-05 23:00:00,,2020-04-05,3
10,3,1,6,2020-04-04 23:50:00,,2020-04-04,3
7,0,0,7,2020-04-03 23:30:00,,2020-04-03,1
6,0,0,6,2020-04-02 23:30:00,,2020-04-02,0
6,0,0,6,2020-04-01 23:00:00,,2020-04-01,3
3,0,0,3,2020-03-31 23:30:00,,2020-03-31,0
3,0,0,3,2020-03-30 22:30:00,,2020-03-30,0
3,0,0,3,2020-03-29 23:10:00,,2020-03-29,0
3,0,0,3,2020-03-28 23:30:00,,2020-03-28,0
3,0,0,3,2020-03-27 23:30:00,,2020-03-27,0
3,0,0,3,2020-03-26 22:40:00,,2020-03-26,0
3,0,0,3,2020-03-25 22:00:00,,2020-03-25,0
3,0,0,3,2020-03-24 22:30:00,,2020-03-24,0
3,0,0,3,2020-03-23 23:40:00,,2020-03-23,0
3,0,0,3,2020-03-22 22:30:00,,2020-03-22,0
3,0,0,3,2020-03-21 23:30:00,,2020-03-21,1
2,0,0,2,2020-03-20 22:45:00,,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,,2020-03-19,0
2,0,0,2,2020-03-18 23:30:00,,2020-03-18,0
2,0,0,2,2020-03-17 22:30:00,,2020-03-17,1
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
