Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
26,9,1,16,2020-04-14 16:11:00,,2020-04-14,1
25,9,1,15,2020-04-13 21:50:00,,2020-04-13,0
25,8,1,16,2020-04-12 21:08:00,,2020-04-12,1
24,8,1,15,2020-04-11 07:00:00,,2020-04-11,0
24,8,1,15,2020-04-10 22:00:00,,2020-04-10,0
24,8,1,15,2020-04-09 22:00:00,,2020-04-09,3
21,8,1,12,2020-04-08 23:00:00,,2020-04-08,1
20,1,1,18,2020-04-07 23:00:00,,2020-04-07,1
19,1,1,17,2020-04-06 23:00:00,,2020-04-06,1
18,0,1,17,2020-04-05 23:00:00,,2020-04-05,0
18,0,1,17,2020-04-04 23:50:00,,2020-04-04,1
17,0,1,16,2020-04-03 23:30:00,,2020-04-03,6
11,0,1,10,2020-04-02 23:30:00,,2020-04-02,1
10,0,0,10,2020-04-01 23:00:00,,2020-04-01,0
10,1,0,9,2020-03-31 23:30:00,,2020-03-31,2
8,0,0,8,2020-03-30 22:30:00,,2020-03-30,0
8,0,0,8,2020-03-29 23:10:00,,2020-03-29,5
3,0,0,3,2020-03-28 23:30:00,,2020-03-28,2
1,0,0,1,2020-03-27 23:30:00,,2020-03-27,0
1,0,0,1,2020-03-26 22:40:00,,2020-03-26,0
1,0,0,1,2020-03-25 22:00:00,,2020-03-25,0
1,0,0,1,2020-03-24 22:30:00,,2020-03-24,0
