Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
79,55,1,23,2020-04-14 23:37:00,,2020-04-14,0
79,55,1,23,2020-04-13 21:50:00,,2020-04-13,0
79,55,1,23,2020-04-12 21:08:00,,2020-04-12,0
79,55,1,23,2020-04-11 07:00:00,,2020-04-11,0
79,55,1,23,2020-04-10 22:00:00,,2020-04-10,1
78,55,1,22,2020-04-09 22:00:00,,2020-04-09,0
78,55,1,22,2020-04-08 23:00:00,,2020-04-08,0
78,55,1,22,2020-04-07 23:00:00,,2020-04-07,1
77,55,1,21,2020-04-06 23:00:00,,2020-04-06,0
77,0,1,76,2020-04-05 23:00:00,,2020-04-05,0
77,0,1,76,2020-04-04 23:50:00,,2020-04-04,2
75,0,0,75,2020-04-03 23:30:00,,2020-04-03,0
75,0,0,75,2020-04-02 23:30:00,,2020-04-02,3
72,0,0,72,2020-04-01 23:00:00,,2020-04-01,4
68,0,0,68,2020-03-31 23:30:00,,2020-03-31,6
62,0,0,62,2020-03-30 22:30:00,,2020-03-30,6
56,0,0,56,2020-03-29 23:10:00,,2020-03-29,0
56,0,0,56,2020-03-28 23:30:00,,2020-03-28,0
56,0,0,56,2020-03-27 23:30:00,,2020-03-27,0
56,0,0,56,2020-03-26 22:40:00,,2020-03-26,5
51,0,0,51,2020-03-25 22:00:00,,2020-03-25,0
51,0,0,51,2020-03-24 22:30:00,,2020-03-24,0
51,0,0,51,2020-03-23 23:40:00,,2020-03-23,14
37,0,0,37,2020-03-22 22:30:00,,2020-03-22,0
37,0,0,37,2020-03-21 23:30:00,,2020-03-21,9
28,0,0,28,2020-03-20 22:45:00,,2020-03-20,0
28,0,0,28,2020-03-19 23:30:00,,2020-03-19,0
28,0,0,28,2020-03-18 23:30:00,,2020-03-18,9
19,0,0,19,2020-03-17 22:30:00,,2020-03-17,12
7,0,0,7,2020-03-16 22:00:00,,2020-03-16,0
7,0,0,7,2020-03-15 23:30:00,,2020-03-15,3
4,0,0,4,2020-03-14 22:30:00,,2020-03-14,0
4,0,0,4,2020-03-13 22:00:00,,2020-03-13,0
4,0,0,4,2020-03-12 22:00:00,,2020-03-12,1
3,0,0,3,2020-03-11 22:30:00,,2020-03-11,2
1,0,0,1,2020-03-10 23:00:00,,2020-03-10,0
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
