Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1344,536,44,764,2020-04-28 20:02:00,2020-04-28,-105
1449,474,41,934,2020-04-27 14:50:00,2020-04-27,11
1438,467,41,930,2020-04-26 15:29:00,2020-04-26,12
1426,460,41,925,2020-04-25 17:01:00,2020-04-25,16
1410,430,40,940,2020-04-24 15:23:00,2020-04-24,12
1398,399,38,961,2020-04-23 16:20:00,2020-04-23,28
1370,357,38,975,2020-04-22 16:22:00,2020-04-22,20
1350,298,37,1015,2020-04-21 17:14:00,2020-04-21,24
1326,242,37,1047,2020-04-20 16:35:00,2020-04-20,28
1298,242,33,1023,2020-04-19 16:30:00,2020-04-19,59
1239,228,33,978,2020-04-18 15:07:00,2020-04-18,90
1149,210,32,907,2020-04-17 22:01:00,2020-04-17,21
1128,178,31,919,2020-04-16 21:38:00,2020-04-16,37
1091,138,29,924,2020-04-15 20:35:00,2020-04-15,21
1070,101,26,943,2020-04-14 23:37:00,2020-04-14,8
1062,101,24,937,2020-04-13 21:50:00,2020-04-13,9
1053,97,23,933,2020-04-12 21:08:00,2020-04-12,27
1026,54,23,949,2020-04-11 07:00:00,2020-04-11,27
999,54,22,923,2020-04-10 22:00:00,2020-04-10,44
955,8,16,931,2020-04-09 22:00:00,2020-04-09,43
912,8,15,889,2020-04-08 23:00:00,2020-04-08,32
880,8,15,857,2020-04-07 23:00:00,2020-04-07,37
843,8,15,820,2020-04-06 23:00:00,2020-04-06,32
811,7,13,791,2020-04-05 23:00:00,2020-04-05,40
771,7,11,753,2020-04-04 23:50:00,2020-04-04,75
696,7,9,680,2020-04-03 23:30:00,2020-04-03,47
649,7,9,633,2020-04-02 23:30:00,2020-04-02,68
581,7,8,566,2020-04-01 23:00:00,2020-04-01,44
537,7,8,522,2020-03-31 23:30:00,2020-03-31,46
491,7,7,477,2020-03-30 22:30:00,2020-03-30,31
460,1,7,452,2020-03-29 23:10:00,2020-03-29,66
394,1,7,386,2020-03-28 23:30:00,2020-03-28,36
358,1,5,352,2020-03-27 23:30:00,2020-03-27,59
299,1,4,294,2020-03-26 22:40:00,2020-03-26,25
274,1,4,269,2020-03-25 22:00:00,2020-03-25,65
209,1,2,206,2020-03-24 22:30:00,2020-03-24,30
179,1,1,177,2020-03-23 23:40:00,2020-03-23,36
