Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
45,16,0,29,2020-04-16 21:38:00,,2020-04-16,0
45,15,0,30,2020-04-15 20:35:00,,2020-04-15,0
45,10,0,35,2020-04-14 23:37:00,,2020-04-14,0
45,10,0,35,2020-04-13 21:50:00,,2020-04-13,0
45,10,0,35,2020-04-12 21:08:00,,2020-04-12,0
45,10,0,35,2020-04-11 07:00:00,,2020-04-11,0
45,10,0,35,2020-04-10 22:00:00,,2020-04-10,0
45,10,0,35,2020-04-09 22:00:00,,2020-04-09,0
45,10,0,35,2020-04-08 23:00:00,,2020-04-08,1
44,10,0,34,2020-04-07 23:00:00,,2020-04-07,0
44,10,0,34,2020-04-06 23:00:00,,2020-04-06,0
44,10,0,34,2020-04-05 23:00:00,,2020-04-05,0
44,10,0,34,2020-04-04 23:50:00,,2020-04-04,2
42,10,0,32,2020-04-03 23:30:00,,2020-04-03,1
41,10,0,31,2020-04-02 23:30:00,,2020-04-02,0
41,10,0,31,2020-04-01 23:00:00,,2020-04-01,0
41,10,0,31,2020-03-31 23:30:00,,2020-03-31,3
38,10,0,28,2020-03-30 22:30:00,,2020-03-30,1
37,10,0,27,2020-03-29 23:10:00,,2020-03-29,3
34,10,0,24,2020-03-28 23:30:00,,2020-03-28,0
34,10,0,24,2020-03-27 23:30:00,,2020-03-27,1
33,10,0,23,2020-03-26 22:40:00,,2020-03-26,3
30,10,0,20,2020-03-25 22:00:00,,2020-03-25,1
29,10,0,19,2020-03-24 22:30:00,,2020-03-24,4
25,10,0,15,2020-03-23 23:40:00,,2020-03-23,3
22,10,0,12,2020-03-22 22:30:00,,2020-03-22,3
19,10,0,9,2020-03-21 23:30:00,,2020-03-21,2
17,10,0,7,2020-03-20 22:45:00,,2020-03-20,0
17,10,0,7,2020-03-19 23:30:00,,2020-03-19,0
17,10,0,7,2020-03-18 23:30:00,,2020-03-18,4
13,10,0,3,2020-03-17 22:30:00,,2020-03-17,1
12,10,0,2,2020-03-16 22:00:00,,2020-03-16,1
11,10,0,1,2020-03-15 23:30:00,,2020-03-15,1
10,10,0,0,2020-03-14 22:30:00,,2020-03-14,0
10,10,0,0,2020-03-13 22:00:00,,2020-03-13,0
10,10,0,0,2020-03-12 22:00:00,,2020-03-12,0
10,10,0,0,2020-03-11 22:30:00,,2020-03-11,0
10,10,0,0,2020-03-10 23:00:00,,2020-03-10,0
10,10,0,0,2020-03-09 22:30:00,,2020-03-09,0
10,10,0,0,2020-03-08 22:00:00,,2020-03-08,0
10,10,0,0,2020-03-07 22:00:00,,2020-03-07,0
10,10,0,0,2020-03-06 20:30:00,,2020-03-06,0
10,9,0,1,2020-03-05 20:30:00,,2020-03-05,0
10,9,0,1,2020-03-04 22:00:00,,2020-03-04,0
10,9,0,1,2020-03-03 23:30:00,,2020-03-03,0
10,8,0,2,2020-03-02 22:00:00,,2020-03-02,0
10,8,0,2,2020-03-01 23:00:00,,2020-03-01,0
10,8,0,2,2020-02-29 23:00:00,,2020-02-29,0
10,8,0,2,2020-02-28 23:00:00,,2020-02-28,0
10,8,0,2,2020-02-27 22:00:00,,2020-02-27,0
10,7,0,3,2020-02-26 23:30:00,,2020-02-26,0
10,7,0,3,2020-02-25 22:00:00,,2020-02-25,0
10,6,0,4,2020-02-24 23:00:00,,2020-02-24,0
10,6,0,4,2020-02-23 22:00:00,,2020-02-23,0
10,6,0,4,2020-02-22 23:00:00,,2020-02-22,0
10,6,0,4,2020-02-21 23:00:00,,2020-02-21,0
10,6,0,4,2020-02-20 22:00:00,,2020-02-20,0
10,6,0,4,2020-02-19 23:00:00,,2020-02-19,0
10,5,0,5,2020-02-18 23:00:00,,2020-02-18,0
10,5,0,5,2020-02-17 23:00:00,,2020-02-17,0
10,5,0,5,2020-02-16 22:30:00,,2020-02-16,0
10,3,0,7,2020-02-15 23:00:00,,2020-02-15,0
10,3,0,7,2020-02-14 23:00:00,,2020-02-14,0
10,3,0,7,2020-02-13 22:00:00,,2020-02-13,0
10,2,0,8,2020-02-12 21:30:00,,2020-02-12,0
10,1,0,9,2020-02-11 23:00:00,,2020-02-11,0
10,1,0,9,2020-02-10 22:30:00,,2020-02-10,0
10,1,0,9,2020-02-09 23:00:00,,2020-02-09,0
10,1,0,9,2020-02-08 22:00:00,,2020-02-08,0
10,1,0,9,2020-02-07 23:00:00,,2020-02-07,0
10,1,0,9,2020-02-06 21:30:00,,2020-02-06,0
10,0,0,10,2020-02-05 23:00:00,,2020-02-05,0
10,0,0,10,2020-02-04 20:00:00,,2020-02-04,2
8,0,0,8,2020-02-03 20:00:00,,2020-02-03,0
8,0,0,8,2020-02-02 22:00:00,,2020-02-02,1
7,0,0,7,2020-02-01 23:00:00,,2020-02-01,0
7,0,0,7,2020-01-31 19:00:00,,2020-01-31,0
7,0,0,7,2020-01-30 21:30:00,,2020-01-30,0
7,0,0,7,2020-01-29 21:00:00,,2020-01-29,0
7,0,0,7,2020-01-28 23:00:00,,2020-01-28,1
6,0,0,6,2020-01-27 20:30:00,,2020-01-27,0
6,0,0,6,2020-01-26 23:00:00,,2020-01-26,4
2,0,0,2,2020-01-25 22:00:00,,2020-01-25,0
2,0,0,2,2020-01-24 12:00:00,,2020-01-24,0
2,0,0,2,2020-01-23 00:00:00,,2020-01-23,0
