Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
110,29,0,81,2020-04-15 20:35:00,,2020-04-15,2
108,23,0,85,2020-04-14 23:37:00,,2020-04-14,2
106,21,0,85,2020-04-13 21:50:00,,2020-04-13,4
102,11,0,91,2020-04-12 21:08:00,,2020-04-12,9
93,11,0,82,2020-04-11 07:00:00,,2020-04-11,0
93,11,0,82,2020-04-10 22:00:00,,2020-04-10,0
93,11,0,82,2020-04-09 22:00:00,,2020-04-09,0
93,11,0,82,2020-04-08 23:00:00,,2020-04-08,5
88,7,0,81,2020-04-07 23:00:00,,2020-04-07,6
82,2,0,80,2020-04-06 23:00:00,,2020-04-06,10
72,2,0,70,2020-04-05 23:00:00,,2020-04-05,2
70,0,0,70,2020-04-04 23:50:00,,2020-04-04,0
70,0,0,70,2020-04-03 23:30:00,,2020-04-03,11
59,0,0,59,2020-04-02 23:30:00,,2020-04-02,2
57,0,0,57,2020-04-01 23:00:00,,2020-04-01,0
57,0,0,57,2020-03-31 23:30:00,,2020-03-31,14
43,0,0,43,2020-03-30 22:30:00,,2020-03-30,4
39,0,0,39,2020-03-29 23:10:00,,2020-03-29,13
26,0,0,26,2020-03-28 23:30:00,,2020-03-28,0
26,0,0,26,2020-03-27 23:30:00,,2020-03-27,3
23,0,0,23,2020-03-26 22:40:00,,2020-03-26,4
19,0,0,19,2020-03-25 22:00:00,,2020-03-25,2
17,0,0,17,2020-03-24 22:30:00,,2020-03-24,5
12,0,0,12,2020-03-23 23:40:00,,2020-03-23,9
3,0,0,3,2020-03-22 22:30:00,,2020-03-22,0
3,0,0,3,2020-03-21 23:30:00,,2020-03-21,0
3,0,0,3,2020-03-20 22:45:00,,2020-03-20,0
