Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
16,0,2,14,2020-04-13 21:50:00,,2020-04-13,4
12,0,2,10,2020-04-12 21:08:00,,2020-04-12,3
9,0,1,8,2020-04-11 07:00:00,,2020-04-11,0
9,0,1,8,2020-04-10 22:00:00,,2020-04-10,1
8,0,1,7,2020-04-09 22:00:00,,2020-04-09,0
8,0,1,7,2020-04-08 23:00:00,,2020-04-08,0
8,0,1,7,2020-04-07 23:00:00,,2020-04-07,3
5,0,0,5,2020-04-06 23:00:00,,2020-04-06,1
4,0,0,4,2020-04-05 23:00:00,,2020-04-05,0
4,0,0,4,2020-04-04 23:50:00,,2020-04-04,1
3,0,0,3,2020-04-03 23:30:00,,2020-04-03,0
3,0,0,3,2020-04-02 23:30:00,,2020-04-02,0
