Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
5482,3349,92,2041,2020-04-22 01:23:00,2020-04-22,0
5482,3349,92,2041,2020-04-21 17:14:00,2020-04-21,57
5425,3295,89,2041,2020-04-20 16:35:00,2020-04-20,36
5389,3197,89,2103,2020-04-19 16:30:00,2020-04-19,84
5305,3102,88,2115,2020-04-18 15:07:00,2020-04-18,54
5251,2967,86,2198,2020-04-17 22:01:00,2020-04-17,69
5182,2766,84,2332,2020-04-16 21:38:00,2020-04-16,110
5072,2647,83,2342,2020-04-15 20:35:00,2020-04-15,85
4987,2478,82,2427,2020-04-14 23:37:00,2020-04-14,170
4817,2276,77,2464,2020-04-13 21:50:00,2020-04-13,134
4683,2108,76,2499,2020-04-12 21:08:00,2020-04-12,153
4530,1995,73,2462,2020-04-11 07:00:00,2020-04-11,184
4346,1830,70,2446,2020-04-10 22:00:00,2020-04-10,118
4228,1608,67,2553,2020-04-09 22:00:00,2020-04-09,109
4119,1487,65,2567,2020-04-08 23:00:00,2020-04-08,156
3963,1321,63,2579,2020-04-07 23:00:00,2020-04-07,170
3793,1241,62,2490,2020-04-06 23:00:00,2020-04-06,131
3662,1005,61,2596,2020-04-05 23:00:00,2020-04-05,179
3483,915,57,2511,2020-04-04 23:50:00,2020-04-04,150
3333,827,53,2453,2020-04-03 23:30:00,2020-04-03,217
3116,767,50,2299,2020-04-02 23:30:00,2020-04-02,208
2908,645,45,2218,2020-04-01 23:00:00,2020-04-01,142
2766,537,43,2186,2020-03-31 23:30:00,2020-03-31,140
2626,479,37,2110,2020-03-30 22:30:00,2020-03-30,156
2470,388,35,2047,2020-03-29 23:10:00,2020-03-29,150
2320,320,27,1973,2020-03-28 23:30:00,2020-03-28,159
2161,259,26,1876,2020-03-27 23:30:00,2020-03-27,130
2031,215,23,1793,2020-03-26 22:40:00,2020-03-26,235
1796,199,20,1577,2020-03-25 22:00:00,2020-03-25,172
1624,183,16,1425,2020-03-24 22:30:00,2020-03-24,106
1518,159,14,1345,2020-03-23 23:40:00,2020-03-23,212
1306,139,10,1157,2020-03-22 22:30:00,2020-03-22,123
