Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
20,14,0,6,2020-04-14 16:11:00,,2020-04-14,0
20,14,0,6,2020-04-13 21:50:00,,2020-04-13,0
20,13,0,7,2020-04-12 21:08:00,,2020-04-12,1
19,13,0,6,2020-04-11 07:00:00,,2020-04-11,0
19,13,0,6,2020-04-10 22:00:00,,2020-04-10,0
19,13,0,6,2020-04-09 22:00:00,,2020-04-09,0
19,13,0,6,2020-04-08 23:00:00,,2020-04-08,0
19,13,0,6,2020-04-07 23:00:00,,2020-04-07,0
19,13,0,6,2020-04-06 23:00:00,,2020-04-06,0
19,13,0,6,2020-04-05 23:00:00,,2020-04-05,0
19,13,0,6,2020-04-04 23:50:00,,2020-04-04,0
19,13,0,6,2020-04-03 23:30:00,,2020-04-03,0
19,13,0,6,2020-04-02 23:30:00,,2020-04-02,0
19,13,0,6,2020-04-01 23:00:00,,2020-04-01,1
18,13,0,5,2020-03-31 23:30:00,,2020-03-31,1
17,13,0,4,2020-03-30 22:30:00,,2020-03-30,0
17,13,0,4,2020-03-29 23:10:00,,2020-03-29,1
16,9,0,7,2020-03-28 23:30:00,,2020-03-28,0
16,9,0,7,2020-03-27 23:30:00,,2020-03-27,3
13,8,0,5,2020-03-26 22:40:00,,2020-03-26,0
13,8,0,5,2020-03-25 22:00:00,,2020-03-25,0
13,5,0,8,2020-03-24 22:30:00,,2020-03-24,0
13,5,0,8,2020-03-23 23:40:00,,2020-03-23,0
13,3,0,10,2020-03-22 22:30:00,,2020-03-22,0
13,3,0,10,2020-03-21 23:30:00,,2020-03-21,0
13,2,0,11,2020-03-20 22:45:00,,2020-03-20,0
13,0,0,13,2020-03-19 23:30:00,,2020-03-19,0
13,0,0,13,2020-03-18 23:30:00,,2020-03-18,0
13,0,0,13,2020-03-17 22:30:00,,2020-03-17,0
13,0,0,13,2020-03-16 22:00:00,,2020-03-16,0
13,0,0,13,2020-03-15 23:30:00,,2020-03-15,3
10,0,0,10,2020-03-14 22:30:00,,2020-03-14,1
9,0,0,9,2020-03-13 22:00:00,,2020-03-13,1
8,0,0,8,2020-03-12 22:00:00,,2020-03-12,0
8,0,0,8,2020-03-11 22:30:00,,2020-03-11,2
6,0,0,6,2020-03-10 23:00:00,,2020-03-10,0
6,0,0,6,2020-03-09 22:30:00,,2020-03-09,2
4,0,0,4,2020-03-08 22:00:00,,2020-03-08,2
2,0,0,2,2020-03-07 22:00:00,,2020-03-07,0
