Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
216,41,13,162,2020-04-19 16:30:00,2020-04-19,26
190,34,13,143,2020-04-18 15:07:00,2020-04-18,19
171,34,13,124,2020-04-17 22:01:00,2020-04-17,23
148,34,13,101,2020-04-16 21:38:00,2020-04-16,0
148,34,13,101,2020-04-15 20:35:00,2020-04-15,4
144,34,13,97,2020-04-14 23:37:00,2020-04-14,21
123,26,10,87,2020-04-13 21:50:00,2020-04-13,36
87,22,7,58,2020-04-12 21:08:00,2020-04-12,0
87,22,7,58,2020-04-11 07:00:00,2020-04-11,0
87,22,7,58,2020-04-10 22:00:00,2020-04-10,13
74,22,7,45,2020-04-09 22:00:00,2020-04-09,15
59,16,7,36,2020-04-08 23:00:00,2020-04-08,3
56,12,5,39,2020-04-07 23:00:00,2020-04-07,9
47,9,5,33,2020-04-06 23:00:00,2020-04-06,2
45,1,5,39,2020-04-05 23:00:00,2020-04-05,4
41,1,3,37,2020-04-04 23:50:00,2020-04-04,2
39,0,3,36,2020-04-03 23:30:00,2020-04-03,3
36,0,3,33,2020-04-02 23:30:00,2020-04-02,5
31,0,3,28,2020-04-01 23:00:00,2020-04-01,3
28,0,2,26,2020-03-31 23:30:00,2020-03-31,3
25,0,2,23,2020-03-30 22:30:00,2020-03-30,7
18,0,1,17,2020-03-29 23:10:00,2020-03-29,0
18,0,1,17,2020-03-28 23:30:00,2020-03-28,7
11,0,0,11,2020-03-27 23:30:00,2020-03-27,7
4,0,0,4,2020-03-26 22:40:00,2020-03-26,2
2,0,0,2,2020-03-25 22:00:00,2020-03-25,2
0,0,0,0,2020-03-24 22:30:00,2020-03-24,0
0,0,0,0,2020-03-23 23:40:00,2020-03-23,0
0,0,0,0,2020-03-22 22:30:00,2020-03-22,0
0,0,0,0,2020-03-21 23:30:00,2020-03-21,0
0,0,0,0,2020-03-20 22:45:00,2020-03-20,0
0,0,0,0,2020-03-19 23:30:00,2020-03-19,0
0,0,0,0,2020-03-18 23:30:00,2020-03-18,0
0,0,0,0,2020-03-17 22:30:00,2020-03-17,0
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
