Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
448,249,4,195,2020-04-26 15:29:00,2020-04-26,0
448,249,4,195,2020-04-25 17:01:00,2020-04-25,3
445,204,3,238,2020-04-24 15:23:00,2020-04-24,1
444,165,3,276,2020-04-23 16:20:00,2020-04-23,1
443,150,3,290,2020-04-22 16:22:00,2020-04-22,0
443,150,3,290,2020-04-21 17:14:00,2020-04-21,16
427,118,3,306,2020-04-20 16:35:00,2020-04-20,1
426,99,3,324,2020-04-19 16:30:00,2020-04-19,4
422,91,3,328,2020-04-18 15:07:00,2020-04-18,0
422,91,3,328,2020-04-17 22:01:00,2020-04-17,10
412,82,3,327,2020-04-16 21:38:00,2020-04-16,13
399,44,3,352,2020-04-15 20:35:00,2020-04-15,6
393,44,3,346,2020-04-14 23:37:00,2020-04-14,9
384,44,3,337,2020-04-13 21:50:00,2020-04-13,14
370,44,3,323,2020-04-12 21:08:00,2020-04-12,0
370,16,3,351,2020-04-11 07:00:00,2020-04-11,20
350,16,2,332,2020-04-10 22:00:00,2020-04-10,13
337,16,2,319,2020-04-09 22:00:00,2020-04-09,38
299,16,1,282,2020-04-08 23:00:00,2020-04-08,6
293,5,0,288,2020-04-07 23:00:00,2020-04-07,52
241,5,0,236,2020-04-06 23:00:00,2020-04-06,14
227,5,0,222,2020-04-05 23:00:00,2020-04-05,14
213,2,0,211,2020-04-04 23:50:00,2020-04-04,11
202,2,0,200,2020-04-03 23:30:00,2020-04-03,6
196,2,0,194,2020-04-02 23:30:00,2020-04-02,8
188,2,0,186,2020-04-01 23:00:00,2020-04-01,19
169,2,0,167,2020-03-31 23:30:00,2020-03-31,13
156,2,0,154,2020-03-30 22:30:00,2020-03-30,5
151,2,0,149,2020-03-29 23:10:00,2020-03-29,2
149,2,0,147,2020-03-28 23:30:00,2020-03-28,10
139,2,0,137,2020-03-27 23:30:00,2020-03-27,5
134,2,0,132,2020-03-26 22:40:00,2020-03-26,5
129,2,0,127,2020-03-25 22:00:00,2020-03-25,19
110,2,0,108,2020-03-24 22:30:00,2020-03-24,3
107,2,0,105,2020-03-23 23:40:00,2020-03-23,17
90,2,0,88,2020-03-22 22:30:00,2020-03-22,17
73,2,0,71,2020-03-21 23:30:00,2020-03-21,9
64,2,0,62,2020-03-20 22:45:00,2020-03-20,11
53,2,0,51,2020-03-19 23:30:00,2020-03-19,5
48,2,0,46,2020-03-18 23:30:00,2020-03-18,10
38,2,0,36,2020-03-17 22:30:00,2020-03-17,8
30,2,0,28,2020-03-16 22:00:00,2020-03-16,9
21,2,0,19,2020-03-15 23:30:00,2020-03-15,3
18,1,0,17,2020-03-14 22:30:00,2020-03-14,6
12,1,0,11,2020-03-13 22:00:00,2020-03-13,3
9,0,0,9,2020-03-12 22:00:00,2020-03-12,2
7,0,0,7,2020-03-11 22:30:00,2020-03-11,2
5,0,0,5,2020-03-10 23:00:00,2020-03-10,1
4,0,0,4,2020-03-09 22:30:00,2020-03-09,1
3,0,0,3,2020-03-08 22:00:00,2020-03-08,0
3,0,0,3,2020-03-07 22:00:00,2020-03-07,3
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
