Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
157,50,6,101,2020-04-14 23:37:00,,2020-04-14,0
157,50,6,101,2020-04-13 21:50:00,,2020-04-13,2
155,50,6,99,2020-04-12 21:08:00,,2020-04-12,0
155,50,6,99,2020-04-11 07:00:00,,2020-04-11,0
155,50,6,99,2020-04-10 22:00:00,,2020-04-10,1
154,50,6,98,2020-04-09 22:00:00,,2020-04-09,0
154,50,6,98,2020-04-08 23:00:00,,2020-04-08,2
152,50,4,98,2020-04-07 23:00:00,,2020-04-07,1
151,50,4,97,2020-04-06 23:00:00,,2020-04-06,2
149,50,4,95,2020-04-05 23:00:00,,2020-04-05,4
145,27,3,115,2020-04-04 23:50:00,,2020-04-04,2
143,27,3,113,2020-04-03 23:30:00,,2020-04-03,5
138,27,3,108,2020-04-02 23:30:00,,2020-04-02,3
135,27,3,105,2020-04-01 23:00:00,,2020-04-01,7
128,27,3,98,2020-03-31 23:30:00,,2020-03-31,35
93,0,1,92,2020-03-30 22:30:00,,2020-03-30,0
93,0,1,92,2020-03-29 23:10:00,,2020-03-29,0
93,0,1,92,2020-03-28 23:30:00,,2020-03-28,0
93,0,1,92,2020-03-27 23:30:00,,2020-03-27,12
81,0,1,80,2020-03-26 22:40:00,,2020-03-26,15
66,0,1,65,2020-03-25 22:00:00,,2020-03-25,9
57,0,1,56,2020-03-24 22:30:00,,2020-03-24,4
53,0,1,52,2020-03-23 23:40:00,,2020-03-23,9
44,0,1,43,2020-03-22 22:30:00,,2020-03-22,7
37,0,1,36,2020-03-21 23:30:00,,2020-03-21,5
32,0,1,31,2020-03-20 22:45:00,,2020-03-20,9
23,0,1,22,2020-03-19 23:30:00,,2020-03-19,0
23,0,1,22,2020-03-18 23:30:00,,2020-03-18,8
15,0,1,14,2020-03-17 22:30:00,,2020-03-17,0
15,0,1,14,2020-03-16 22:00:00,,2020-03-16,5
10,0,0,10,2020-03-15 23:30:00,,2020-03-15,0
10,0,0,10,2020-03-14 22:30:00,,2020-03-14,7
3,0,0,3,2020-03-13 22:00:00,,2020-03-13,0
3,0,0,3,2020-03-12 22:00:00,,2020-03-12,0
3,0,0,3,2020-03-11 22:30:00,,2020-03-11,0
3,0,0,3,2020-03-10 23:00:00,,2020-03-10,1
2,0,0,2,2020-03-09 22:30:00,,2020-03-09,0
2,0,0,2,2020-03-08 22:00:00,,2020-03-08,0
