Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
337,325,10,2,2020-06-12 23:27:00,2020-06-12,5
332,319,10,3,2020-05-06 17:43:00,2020-05-06,0
332,310,10,12,2020-05-01 21:43:00,2020-05-01,-2
334,302,10,22,2020-04-28 20:02:00,2020-04-28,2
332,299,9,24,2020-04-27 14:50:00,2020-04-27,1
331,295,9,27,2020-04-26 15:29:00,2020-04-26,0
331,285,9,37,2020-04-25 17:01:00,2020-04-25,0
331,266,9,56,2020-04-24 15:23:00,2020-04-24,2
329,261,9,59,2020-04-23 16:20:00,2020-04-23,1
328,243,9,76,2020-04-22 16:22:00,2020-04-22,0
328,224,9,95,2020-04-21 17:14:00,2020-04-21,0
328,208,9,111,2020-04-20 16:35:00,2020-04-20,3
325,180,9,136,2020-04-19 16:30:00,2020-04-19,1
324,108,9,207,2020-04-18 15:07:00,2020-04-18,0
324,108,9,207,2020-04-17 22:01:00,2020-04-17,0
324,81,9,234,2020-04-16 21:38:00,2020-04-16,0
324,65,9,250,2020-04-15 20:35:00,2020-04-15,0
324,51,9,264,2020-04-14 23:37:00,2020-04-14,0
324,42,9,273,2020-04-13 21:50:00,2020-04-13,5
319,28,9,282,2020-04-12 21:08:00,2020-04-12,1
318,23,9,286,2020-04-11 07:00:00,2020-04-11,0
318,23,9,286,2020-04-10 22:00:00,2020-04-10,4
314,23,7,284,2020-04-09 22:00:00,2020-04-09,41
273,19,7,247,2020-04-08 23:00:00,2020-04-08,5
268,8,7,253,2020-04-07 23:00:00,2020-04-07,24
244,7,7,230,2020-04-06 23:00:00,2020-04-06,17
227,7,7,213,2020-04-05 23:00:00,2020-04-05,31
196,7,7,182,2020-04-04 23:50:00,2020-04-04,10
186,0,7,179,2020-04-03 23:30:00,2020-04-03,17
169,0,7,162,2020-04-02 23:30:00,2020-04-02,8
161,0,6,155,2020-04-01 23:00:00,2020-04-01,18
143,0,5,138,2020-03-31 23:30:00,2020-03-31,15
128,0,3,125,2020-03-30 22:30:00,2020-03-30,21
107,0,3,104,2020-03-29 23:10:00,2020-03-29,5
102,0,2,100,2020-03-28 23:30:00,2020-03-28,8
94,0,2,92,2020-03-27 23:30:00,2020-03-27,13
81,0,2,79,2020-03-26 22:40:00,2020-03-26,33
48,0,2,46,2020-03-25 22:00:00,2020-03-25,6
42,0,2,40,2020-03-24 22:30:00,2020-03-24,6
36,0,2,34,2020-03-23 23:40:00,2020-03-23,8
28,0,2,26,2020-03-22 22:30:00,2020-03-22,14
14,0,1,13,2020-03-21 23:30:00,2020-03-21,2
12,0,0,12,2020-03-20 22:45:00,2020-03-20,5
7,0,0,7,2020-03-19 23:30:00,2020-03-19,4
3,0,0,3,2020-03-18 23:30:00,2020-03-18,3
0,0,0,0,2020-03-17 22:30:00,2020-03-17,0
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
