Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
7497,2627,650,4220,2020-04-20 00:24:00,2020-04-20,0
7497,2627,650,4220,2020-04-19 16:30:00,2020-04-19,622
6875,2125,546,4204,2020-04-18 15:07:00,2020-04-18,578
6297,2125,486,3686,2020-04-17 22:01:00,2020-04-17,450
5847,2125,449,3273,2020-04-16 21:38:00,2020-04-16,448
5399,2125,406,2868,2020-04-15 20:35:00,2020-04-15,385
5014,1964,332,2718,2020-04-14 23:37:00,2020-04-14,353
4661,1843,296,2522,2020-04-13 21:50:00,2020-04-13,442
4219,1772,273,2174,2020-04-12 21:08:00,2020-04-12,375
3844,633,233,2978,2020-04-11 07:00:00,2020-04-11,0
3844,633,233,2978,2020-04-10 22:00:00,2020-04-10,403
3441,633,194,2614,2020-04-09 22:00:00,2020-04-09,260
3181,633,174,2374,2020-04-08 23:00:00,2020-04-08,396
2785,633,141,2011,2020-04-07 23:00:00,2020-04-07,346
2439,633,125,1681,2020-04-06 23:00:00,2020-04-06,296
2143,633,94,1416,2020-04-05 23:00:00,2020-04-05,253
1890,633,79,1178,2020-04-04 23:50:00,2020-04-04,202
1688,633,60,995,2020-04-03 23:30:00,2020-04-03,178
1510,633,50,827,2020-04-02 23:30:00,2020-04-02,132
1378,35,37,1306,2020-04-01 23:00:00,2020-04-01,163
1215,35,29,1151,2020-03-31 23:30:00,2020-03-31,121
1094,35,28,1031,2020-03-30 22:30:00,2020-03-30,246
848,35,16,797,2020-03-29 23:10:00,2020-03-29,0
848,4,16,828,2020-03-28 23:30:00,2020-03-28,131
717,4,12,701,2020-03-27 23:30:00,2020-03-27,132
585,4,6,575,2020-03-26 22:40:00,2020-03-26,180
405,4,5,396,2020-03-25 22:00:00,2020-03-25,38
367,4,4,359,2020-03-24 22:30:00,2020-03-24,0
367,4,4,359,2020-03-23 23:40:00,2020-03-23,116
251,4,2,245,2020-03-22 22:30:00,2020-03-22,0
251,4,2,245,2020-03-21 23:30:00,2020-03-21,87
164,4,1,159,2020-03-20 22:45:00,2020-03-20,0
164,4,1,159,2020-03-19 23:30:00,2020-03-19,46
118,4,0,114,2020-03-18 23:30:00,2020-03-18,36
82,4,0,78,2020-03-17 22:30:00,2020-03-17,29
53,4,0,49,2020-03-16 22:00:00,2020-03-16,10
43,4,0,39,2020-03-15 23:30:00,2020-03-15,17
26,4,0,22,2020-03-14 22:30:00,2020-03-14,11
15,4,0,11,2020-03-13 22:00:00,2020-03-13,3
12,4,0,8,2020-03-12 22:00:00,2020-03-12,0
12,4,0,8,2020-03-11 22:30:00,2020-03-11,5
7,4,0,3,2020-03-10 23:00:00,2020-03-10,0
7,4,0,3,2020-03-09 22:30:00,2020-03-09,0
7,1,0,6,2020-03-08 22:00:00,2020-03-08,0
7,1,0,6,2020-03-07 22:00:00,2020-03-07,1
6,1,0,5,2020-03-06 20:30:00,2020-03-06,0
6,1,0,5,2020-03-05 20:30:00,2020-03-05,0
6,1,0,5,2020-03-04 22:00:00,2020-03-04,0
6,0,0,6,2020-03-03 23:30:00,2020-03-03,0
6,0,0,6,2020-03-02 22:00:00,2020-03-02,1
5,0,0,5,2020-03-01 23:00:00,2020-03-01,1
4,0,0,4,2020-02-29 23:00:00,2020-02-29,2
2,0,0,2,2020-02-28 23:00:00,2020-02-28,2
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
