Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
2926,755,80,2091,2020-04-24 15:23:00,2020-04-24,148
2778,661,76,2041,2020-04-23 16:20:00,2020-04-23,164
2614,560,73,1981,2020-04-22 16:22:00,2020-04-22,66
2548,505,72,1971,2020-04-21 17:14:00,2020-04-21,76
2472,457,67,1948,2020-04-20 16:35:00,2020-04-20,94
2378,457,61,1860,2020-04-19 16:30:00,2020-04-19,114
2264,391,56,1817,2020-04-18 15:07:00,2020-04-18,0
2264,276,55,1933,2020-04-17 22:01:00,2020-04-17,110
2154,235,53,1866,2020-04-16 21:38:00,2020-04-16,220
1934,171,43,1720,2020-04-15 20:35:00,2020-04-15,0
1934,134,38,1762,2020-04-14 23:37:00,2020-04-14,222
1712,107,35,1570,2020-04-13 21:50:00,2020-04-13,152
1560,75,30,1455,2020-04-12 21:08:00,2020-04-12,122
1438,75,29,1334,2020-04-11 07:00:00,2020-04-11,0
1438,56,29,1353,2020-04-10 22:00:00,2020-04-10,149
1289,50,29,1210,2020-04-09 22:00:00,2020-04-09,115
1174,40,27,1107,2020-04-08 23:00:00,2020-04-08,118
1056,40,22,994,2020-04-07 23:00:00,2020-04-07,91
965,37,19,909,2020-04-06 23:00:00,2020-04-06,101
864,30,15,819,2020-04-05 23:00:00,2020-04-05,112
752,29,12,711,2020-04-04 23:50:00,2020-04-04,161
591,26,8,557,2020-04-03 23:30:00,2020-04-03,86
505,23,6,476,2020-04-02 23:30:00,2020-04-02,82
423,23,5,395,2020-04-01 23:00:00,2020-04-01,70
353,18,4,331,2020-03-31 23:30:00,2020-03-31,55
298,15,2,281,2020-03-30 22:30:00,2020-03-30,35
263,2,2,259,2020-03-29 23:10:00,2020-03-29,32
231,2,2,227,2020-03-28 23:30:00,2020-03-28,32
199,2,2,195,2020-03-27 23:30:00,2020-03-27,22
177,2,1,174,2020-03-26 22:40:00,2020-03-26,28
149,2,1,146,2020-03-25 22:00:00,2020-03-25,24
125,2,1,122,2020-03-24 22:30:00,2020-03-24,16
109,2,1,106,2020-03-23 23:40:00,2020-03-23,15
94,1,1,92,2020-03-22 22:30:00,2020-03-22,14
80,1,1,78,2020-03-21 23:30:00,2020-03-21,14
66,1,1,64,2020-03-20 22:45:00,2020-03-20,17
49,1,1,47,2020-03-19 23:30:00,2020-03-19,13
36,1,1,34,2020-03-18 23:30:00,2020-03-18,6
30,1,0,29,2020-03-17 22:30:00,2020-03-17,1
29,1,0,28,2020-03-16 22:00:00,2020-03-16,6
23,0,0,23,2020-03-15 23:30:00,2020-03-15,11
12,0,0,12,2020-03-14 22:30:00,2020-03-14,6
6,0,0,6,2020-03-13 22:00:00,2020-03-13,0
6,0,0,6,2020-03-12 22:00:00,2020-03-12,3
3,0,0,3,2020-03-11 22:30:00,2020-03-11,0
3,0,0,3,2020-03-10 23:00:00,2020-03-10,2
1,0,0,1,2020-03-09 22:30:00,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,2020-03-07,1
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
