Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
93,12,3,78,2020-04-16 15:04:00,,2020-04-16,0
93,6,1,86,2020-04-15 20:35:00,,2020-04-15,0
93,6,1,86,2020-04-14 23:37:00,,2020-04-14,0
93,6,1,86,2020-04-13 21:50:00,,2020-04-13,1
92,5,1,86,2020-04-12 21:08:00,,2020-04-12,2
90,5,1,84,2020-04-11 07:00:00,,2020-04-11,0
90,5,1,84,2020-04-10 22:00:00,,2020-04-10,6
84,5,1,78,2020-04-09 22:00:00,,2020-04-09,3
81,4,1,76,2020-04-08 23:00:00,,2020-04-08,2
79,4,1,74,2020-04-07 23:00:00,,2020-04-07,2
77,4,1,72,2020-04-06 23:00:00,,2020-04-06,4
73,3,1,69,2020-04-05 23:00:00,,2020-04-05,7
66,3,1,62,2020-04-04 23:50:00,,2020-04-04,2
64,3,1,60,2020-04-03 23:30:00,,2020-04-03,4
60,2,1,57,2020-04-02 23:30:00,,2020-04-02,5
55,2,1,52,2020-04-01 23:00:00,,2020-04-01,3
52,2,1,49,2020-03-31 23:30:00,,2020-03-31,3
49,1,1,47,2020-03-30 22:30:00,,2020-03-30,3
46,1,1,44,2020-03-29 23:10:00,,2020-03-29,3
43,1,1,41,2020-03-28 23:30:00,,2020-03-28,1
42,1,0,41,2020-03-27 23:30:00,,2020-03-27,9
33,1,0,32,2020-03-26 22:40:00,,2020-03-26,2
31,1,0,30,2020-03-25 22:00:00,,2020-03-25,8
23,1,0,22,2020-03-24 22:30:00,,2020-03-24,0
23,1,0,22,2020-03-23 23:40:00,,2020-03-23,0
23,1,0,22,2020-03-22 22:30:00,,2020-03-22,5
18,1,0,17,2020-03-21 23:30:00,,2020-03-21,7
11,0,0,11,2020-03-20 22:45:00,,2020-03-20,1
10,0,0,10,2020-03-19 23:30:00,,2020-03-19,1
9,0,0,9,2020-03-18 23:30:00,,2020-03-18,0
9,0,0,9,2020-03-17 22:30:00,,2020-03-17,0
9,0,0,9,2020-03-16 22:00:00,,2020-03-16,7
2,0,0,2,2020-03-15 23:30:00,,2020-03-15,0
2,0,0,2,2020-03-14 22:30:00,,2020-03-14,0
2,0,0,2,2020-03-13 22:00:00,,2020-03-13,1
1,0,0,1,2020-03-12 22:00:00,,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,,2020-03-11,0
1,0,0,1,2020-03-10 23:00:00,,2020-03-10,0
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,,2020-02-28,0
