Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
311,55,5,251,2020-04-20 16:35:00,2020-04-20,3
308,55,5,248,2020-04-19 16:30:00,2020-04-19,3
305,55,5,245,2020-04-18 15:07:00,2020-04-18,2
303,55,5,243,2020-04-17 22:01:00,2020-04-17,9
294,55,4,235,2020-04-16 21:38:00,2020-04-16,6
288,46,4,238,2020-04-15 20:35:00,2020-04-15,5
283,5,4,274,2020-04-14 23:37:00,2020-04-14,10
273,5,3,265,2020-04-13 21:50:00,2020-04-13,6
267,5,2,260,2020-04-12 21:08:00,2020-04-12,5
262,5,2,255,2020-04-11 07:00:00,2020-04-11,5
257,4,2,251,2020-04-10 22:00:00,2020-04-10,5
252,4,2,246,2020-04-09 22:00:00,2020-04-09,4
248,4,2,242,2020-04-08 23:00:00,2020-04-08,7
241,4,2,235,2020-04-07 23:00:00,2020-04-07,8
233,1,2,230,2020-04-06 23:00:00,2020-04-06,19
214,1,2,211,2020-04-05 23:00:00,2020-04-05,13
201,1,2,198,2020-04-04 23:50:00,2020-04-04,27
174,1,2,171,2020-04-03 23:30:00,2020-04-03,30
144,0,2,142,2020-04-02 23:30:00,2020-04-02,21
123,0,2,121,2020-04-01 23:00:00,2020-04-01,14
109,0,2,107,2020-03-31 23:30:00,2020-03-31,18
91,0,1,90,2020-03-30 22:30:00,2020-03-30,6
85,0,1,84,2020-03-29 23:10:00,2020-03-29,1
84,0,1,83,2020-03-28 23:30:00,2020-03-28,2
82,0,1,81,2020-03-27 23:30:00,2020-03-27,13
69,0,1,68,2020-03-26 22:40:00,2020-03-26,16
53,0,1,52,2020-03-25 22:00:00,2020-03-25,6
47,0,1,46,2020-03-24 22:30:00,2020-03-24,20
27,0,1,26,2020-03-23 23:40:00,2020-03-23,6
21,0,0,21,2020-03-22 22:30:00,2020-03-22,5
16,0,0,16,2020-03-21 23:30:00,2020-03-21,2
14,0,0,14,2020-03-20 22:45:00,2020-03-20,1
13,0,0,13,2020-03-19 23:30:00,2020-03-19,5
8,0,0,8,2020-03-18 23:30:00,2020-03-18,6
2,0,0,2,2020-03-17 22:30:00,2020-03-17,2
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
