Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
2855,327,141,2387,2020-04-20 00:24:00,2020-04-20,35
2820,322,138,2360,2020-04-19 16:30:00,2020-04-19,150
2670,298,137,2235,2020-04-18 15:07:00,2020-04-18,142
2528,273,133,2122,2020-04-17 22:01:00,2020-04-17,277
2251,247,128,1876,2020-04-16 21:38:00,2020-04-16,263
1988,218,127,1643,2020-04-15 20:35:00,2020-04-15,100
1888,217,126,1545,2020-04-14 23:37:00,2020-04-14,142
1746,196,120,1430,2020-04-13 21:50:00,2020-04-13,129
1617,153,113,1351,2020-04-12 21:08:00,2020-04-12,90
1527,141,110,1276,2020-04-11 07:00:00,2020-04-11,79
1448,122,107,1219,2020-04-10 22:00:00,2020-04-10,74
1374,109,97,1168,2020-04-09 22:00:00,2020-04-09,99
1275,97,93,1085,2020-04-08 23:00:00,2020-04-08,91
1184,93,90,1001,2020-04-07 23:00:00,2020-04-07,64
1120,81,80,959,2020-04-06 23:00:00,2020-04-06,99
1021,76,70,875,2020-04-05 23:00:00,2020-04-05,102
919,66,59,794,2020-04-04 23:50:00,2020-04-04,128
791,57,48,686,2020-04-03 23:30:00,2020-04-03,83
708,31,44,633,2020-04-02 23:30:00,2020-04-02,54
654,29,39,586,2020-04-01 23:00:00,2020-04-01,37
617,24,36,557,2020-03-31 23:30:00,2020-03-31,61
556,15,33,508,2020-03-30 22:30:00,2020-03-30,77
479,13,26,440,2020-03-29 23:10:00,2020-03-29,77
402,12,25,365,2020-03-28 23:30:00,2020-03-28,57
345,11,23,311,2020-03-27 23:30:00,2020-03-27,70
275,8,11,256,2020-03-26 22:40:00,2020-03-26,50
225,7,6,212,2020-03-25 22:00:00,2020-03-25,55
170,6,5,159,2020-03-24 22:30:00,2020-03-24,27
143,5,4,134,2020-03-23 23:40:00,2020-03-23,28
115,3,4,108,2020-03-22 22:30:00,2020-03-22,19
96,3,3,90,2020-03-21 23:30:00,2020-03-21,10
86,2,3,81,2020-03-20 22:45:00,2020-03-20,23
63,2,2,59,2020-03-19 23:30:00,2020-03-19,9
54,1,2,51,2020-03-18 23:30:00,2020-03-18,10
44,1,2,41,2020-03-17 22:30:00,2020-03-17,6
38,1,1,36,2020-03-16 22:00:00,2020-03-16,10
28,1,1,26,2020-03-15 23:30:00,2020-03-15,10
18,1,1,16,2020-03-14 22:30:00,2020-03-14,11
7,1,1,5,2020-03-13 22:00:00,2020-03-13,1
6,0,1,5,2020-03-12 22:00:00,2020-03-12,0
6,0,1,5,2020-03-11 22:30:00,2020-03-11,3
3,0,1,2,2020-03-10 23:00:00,2020-03-10,1
2,0,0,2,2020-03-09 22:30:00,2020-03-09,0
2,0,0,2,2020-03-08 22:00:00,2020-03-08,0
2,0,0,2,2020-03-07 22:00:00,2020-03-07,0
2,0,0,2,2020-03-06 20:30:00,2020-03-06,0
2,0,0,2,2020-03-05 20:30:00,2020-03-05,1
1,0,0,1,2020-03-04 22:00:00,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,2020-03-02,1
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
