Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
29,2,0,27,2020-04-16 02:00:00,,2020-04-16,1
28,2,0,26,2020-04-15 20:35:00,,2020-04-15,0
28,2,0,26,2020-04-14 23:37:00,,2020-04-14,7
21,2,0,19,2020-04-13 21:50:00,,2020-04-13,1
20,2,0,18,2020-04-12 21:08:00,,2020-04-12,0
20,2,0,18,2020-04-11 07:00:00,,2020-04-11,0
20,2,0,18,2020-04-10 22:00:00,,2020-04-10,3
17,1,0,16,2020-04-09 22:00:00,,2020-04-09,0
17,1,0,16,2020-04-08 23:00:00,,2020-04-08,7
10,1,0,9,2020-04-07 23:00:00,,2020-04-07,0
10,1,0,9,2020-04-06 23:00:00,,2020-04-06,0
10,1,0,9,2020-04-05 23:00:00,,2020-04-05,0
10,1,0,9,2020-04-04 23:50:00,,2020-04-04,0
10,0,0,10,2020-04-03 23:30:00,,2020-04-03,0
10,0,0,10,2020-04-02 23:30:00,,2020-04-02,0
10,0,0,10,2020-04-01 23:00:00,,2020-04-01,2
8,0,0,8,2020-03-31 23:30:00,,2020-03-31,0
8,0,0,8,2020-03-30 22:30:00,,2020-03-30,0
8,0,0,8,2020-03-29 23:10:00,,2020-03-29,0
8,0,0,8,2020-03-28 23:30:00,,2020-03-28,1
7,0,0,7,2020-03-27 23:30:00,,2020-03-27,0
7,0,0,7,2020-03-26 22:40:00,,2020-03-26,2
5,0,0,5,2020-03-25 22:00:00,,2020-03-25,2
3,0,0,3,2020-03-24 22:30:00,,2020-03-24,2
1,0,0,1,2020-03-23 23:40:00,,2020-03-23,0
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
