Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
74,2,4,68,2020-04-16 02:00:00,,2020-04-16,0
74,2,4,68,2020-04-15 20:35:00,,2020-04-15,11
63,2,4,57,2020-04-14 23:37:00,,2020-04-14,22
41,2,4,35,2020-04-13 21:50:00,,2020-04-13,3
38,2,3,33,2020-04-12 21:08:00,,2020-04-12,10
28,2,3,23,2020-04-11 07:00:00,,2020-04-11,0
28,2,3,23,2020-04-10 22:00:00,,2020-04-10,1
27,2,3,22,2020-04-09 22:00:00,,2020-04-09,5
22,0,3,19,2020-04-08 23:00:00,,2020-04-08,0
22,0,1,21,2020-04-07 23:00:00,,2020-04-07,0
22,0,1,21,2020-04-06 23:00:00,,2020-04-06,1
21,0,1,20,2020-04-05 23:00:00,,2020-04-05,0
21,0,1,20,2020-04-04 23:50:00,,2020-04-04,1
20,0,1,19,2020-04-03 23:30:00,,2020-04-03,0
20,0,1,19,2020-04-02 23:30:00,,2020-04-02,4
16,0,1,15,2020-04-01 23:00:00,,2020-04-01,1
15,0,1,14,2020-03-31 23:30:00,,2020-03-31,1
14,0,0,14,2020-03-30 22:30:00,,2020-03-30,4
10,0,0,10,2020-03-29 23:10:00,,2020-03-29,2
8,0,0,8,2020-03-28 23:30:00,,2020-03-28,0
8,0,0,8,2020-03-27 23:30:00,,2020-03-27,3
5,0,0,5,2020-03-26 22:40:00,,2020-03-26,2
3,0,0,3,2020-03-25 22:00:00,,2020-03-25,0
3,0,0,3,2020-03-24 22:30:00,,2020-03-24,1
2,0,0,2,2020-03-23 23:40:00,,2020-03-23,0
