Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
14554,4494,387,9673,2020-06-12 23:27:00,2020-06-12,11604
2950,481,98,2371,2020-05-06 17:43:00,2020-05-06,1018
1932,319,58,1555,2020-05-01 21:43:00,2020-05-01,595
1337,255,40,1042,2020-04-28 20:02:00,2020-04-28,64
1273,239,40,994,2020-04-27 14:50:00,2020-04-27,91
1182,222,35,925,2020-04-26 15:29:00,2020-04-26,87
1095,208,32,855,2020-04-25 17:01:00,2020-04-25,114
981,197,31,753,2020-04-24 15:23:00,2020-04-24,108
873,197,28,648,2020-04-23 16:20:00,2020-04-23,91
782,197,25,560,2020-04-22 16:22:00,2020-04-22,117
665,188,22,455,2020-04-21 17:14:00,2020-04-21,38
627,170,21,436,2020-04-20 16:35:00,2020-04-20,85
542,166,19,357,2020-04-19 16:30:00,2020-04-19,49
493,159,17,317,2020-04-18 15:07:00,2020-04-18,51
442,152,13,277,2020-04-17 22:01:00,2020-04-17,35
407,128,12,267,2020-04-16 21:38:00,2020-04-16,34
373,99,11,263,2020-04-15 20:35:00,2020-04-15,30
343,91,10,242,2020-04-14 23:37:00,2020-04-14,20
323,85,10,228,2020-04-13 21:50:00,2020-04-13,5
318,70,10,238,2020-04-12 21:08:00,2020-04-12,13
305,58,7,240,2020-04-11 07:00:00,2020-04-11,0
305,58,7,240,2020-04-10 22:00:00,2020-04-10,17
288,51,7,230,2020-04-09 22:00:00,2020-04-09,12
276,44,6,226,2020-04-08 23:00:00,2020-04-08,22
254,44,6,204,2020-04-07 23:00:00,2020-04-07,16
238,35,5,198,2020-04-06 23:00:00,2020-04-06,6
232,33,5,194,2020-04-05 23:00:00,2020-04-05,18
214,25,4,185,2020-04-04 23:50:00,2020-04-04,4
210,25,4,181,2020-04-03 23:30:00,2020-04-03,26
184,20,2,162,2020-04-02 23:30:00,2020-04-02,10
174,9,2,163,2020-04-01 23:00:00,2020-04-01,39
135,8,2,125,2020-03-31 23:30:00,2020-03-31,4
131,8,2,121,2020-03-30 22:30:00,2020-03-30,20
111,3,1,107,2020-03-29 23:10:00,2020-03-29,14
97,3,1,93,2020-03-28 23:30:00,2020-03-28,27
70,3,1,66,2020-03-27 23:30:00,2020-03-27,5
65,3,1,61,2020-03-26 22:40:00,2020-03-26,14
51,2,1,48,2020-03-25 22:00:00,2020-03-25,7
44,2,1,41,2020-03-24 22:30:00,2020-03-24,4
40,2,1,37,2020-03-23 23:40:00,2020-03-23,10
30,2,0,28,2020-03-22 22:30:00,2020-03-22,8
22,1,0,21,2020-03-21 23:30:00,2020-03-21,10
