Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1207,179,51,977,2020-04-20 00:24:00,2020-04-20,37
1170,164,49,957,2020-04-19 16:30:00,2020-04-19,53
1117,139,49,929,2020-04-18 15:07:00,2020-04-18,0
1117,139,49,929,2020-04-17 22:01:00,2020-04-17,36
1081,121,46,914,2020-04-16 21:38:00,2020-04-16,107
974,98,45,831,2020-04-15 20:35:00,2020-04-15,66
908,86,44,778,2020-04-14 23:37:00,2020-04-14,54
854,44,38,772,2020-04-13 21:50:00,2020-04-13,94
760,41,34,685,2020-04-12 21:08:00,2020-04-12,49
711,41,32,638,2020-04-11 07:00:00,2020-04-11,0
711,41,32,638,2020-04-10 22:00:00,2020-04-10,48
663,37,30,596,2020-04-09 22:00:00,2020-04-09,46
617,35,29,553,2020-04-08 23:00:00,2020-04-08,18
599,30,26,543,2020-04-07 23:00:00,2020-04-07,29
570,30,23,517,2020-04-06 23:00:00,2020-04-06,15
555,23,18,514,2020-04-05 23:00:00,2020-04-05,72
483,20,17,446,2020-04-04 23:50:00,2020-04-04,53
430,20,12,398,2020-04-03 23:30:00,2020-04-03,46
384,17,11,356,2020-04-02 23:30:00,2020-04-02,30
354,17,11,326,2020-04-01 23:00:00,2020-04-01,25
329,12,9,308,2020-03-31 23:30:00,2020-03-31,44
285,12,7,266,2020-03-30 22:30:00,2020-03-30,26
259,3,6,250,2020-03-29 23:10:00,2020-03-29,18
241,3,4,234,2020-03-28 23:30:00,2020-03-28,22
219,3,3,213,2020-03-27 23:30:00,2020-03-27,18
201,3,3,195,2020-03-26 22:40:00,2020-03-26,24
177,1,3,173,2020-03-25 22:00:00,2020-03-25,29
148,1,2,145,2020-03-24 22:30:00,2020-03-24,12
136,1,2,133,2020-03-23 23:40:00,2020-03-23,21
115,1,1,113,2020-03-22 22:30:00,2020-03-22,30
85,1,0,84,2020-03-21 23:30:00,2020-03-21,9
76,1,0,75,2020-03-20 22:45:00,2020-03-20,26
50,1,0,49,2020-03-19 23:30:00,2020-03-19,7
43,1,0,42,2020-03-18 23:30:00,2020-03-18,12
31,1,0,30,2020-03-17 22:30:00,2020-03-17,7
24,1,0,23,2020-03-16 22:00:00,2020-03-16,5
19,1,0,18,2020-03-15 23:30:00,2020-03-15,0
19,1,0,18,2020-03-14 22:30:00,2020-03-14,5
14,1,0,13,2020-03-13 22:00:00,2020-03-13,5
9,1,0,8,2020-03-12 22:00:00,2020-03-12,2
7,0,0,7,2020-03-11 22:30:00,2020-03-11,0
7,0,0,7,2020-03-10 23:00:00,2020-03-10,3
4,0,0,4,2020-03-09 22:30:00,2020-03-09,1
3,0,0,3,2020-03-08 22:00:00,2020-03-08,0
3,0,0,3,2020-03-07 22:00:00,2020-03-07,0
3,0,0,3,2020-03-06 20:30:00,2020-03-06,2
1,0,0,1,2020-03-05 20:30:00,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,2020-03-02,0
1,0,0,1,2020-03-01 23:00:00,2020-03-01,0
1,0,0,1,2020-02-29 23:00:00,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,2020-02-26,1
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
