Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
910,131,4,775,2020-04-15 20:35:00,,2020-04-15,97
813,130,4,679,2020-04-14 23:37:00,,2020-04-14,86
727,124,4,599,2020-04-13 21:50:00,,2020-04-13,128
599,109,3,487,2020-04-12 21:08:00,,2020-04-12,53
546,109,3,434,2020-04-11 07:00:00,,2020-04-11,62
484,109,3,372,2020-04-10 22:00:00,,2020-04-10,27
457,109,3,345,2020-04-09 22:00:00,,2020-04-09,38
419,72,2,345,2020-04-08 23:00:00,,2020-04-08,48
371,67,2,302,2020-04-07 23:00:00,,2020-04-07,40
331,61,2,268,2020-04-06 23:00:00,,2020-04-06,33
298,61,2,235,2020-04-05 23:00:00,,2020-04-05,21
277,61,2,214,2020-04-04 23:50:00,,2020-04-04,25
252,57,1,194,2020-04-03 23:30:00,,2020-04-03,21
231,57,1,173,2020-04-02 23:30:00,,2020-04-02,21
210,34,1,175,2020-04-01 23:00:00,,2020-04-01,18
192,34,1,157,2020-03-31 23:30:00,,2020-03-31,13
179,29,0,150,2020-03-30 22:30:00,,2020-03-30,12
167,23,0,144,2020-03-29 23:10:00,,2020-03-29,15
152,23,0,129,2020-03-28 23:30:00,,2020-03-28,21
131,23,0,108,2020-03-27 23:30:00,,2020-03-27,22
109,23,0,86,2020-03-26 22:40:00,,2020-03-26,10
99,17,0,82,2020-03-25 22:00:00,,2020-03-25,15
84,17,0,67,2020-03-24 22:30:00,,2020-03-24,18
66,17,0,49,2020-03-23 23:40:00,,2020-03-23,11
55,17,0,38,2020-03-22 22:30:00,,2020-03-22,3
52,13,0,39,2020-03-21 23:30:00,,2020-03-21,4
48,13,0,35,2020-03-20 22:45:00,,2020-03-20,0
48,13,0,35,2020-03-19 23:30:00,,2020-03-19,9
39,13,0,26,2020-03-18 23:30:00,,2020-03-18,6
33,12,0,21,2020-03-17 22:30:00,,2020-03-17,9
24,9,0,15,2020-03-16 22:00:00,,2020-03-16,2
22,9,0,13,2020-03-15 23:30:00,,2020-03-15,3
19,9,0,10,2020-03-14 22:30:00,,2020-03-14,0
19,9,0,10,2020-03-13 22:00:00,,2020-03-13,1
18,9,0,9,2020-03-12 22:00:00,,2020-03-12,0
18,9,0,9,2020-03-11 22:30:00,,2020-03-11,0
18,9,0,9,2020-03-10 23:00:00,,2020-03-10,0
18,9,0,9,2020-03-09 22:30:00,,2020-03-09,2
16,2,0,14,2020-03-08 22:00:00,,2020-03-08,0
16,2,0,14,2020-03-07 22:00:00,,2020-03-07,0
16,2,0,14,2020-03-06 20:30:00,,2020-03-06,0
16,2,0,14,2020-03-05 20:30:00,,2020-03-05,1
15,2,0,13,2020-03-04 22:00:00,,2020-03-04,3
12,2,0,10,2020-03-03 23:30:00,,2020-03-03,6
6,2,0,4,2020-03-02 22:00:00,,2020-03-02,0
6,1,0,5,2020-03-01 23:00:00,,2020-03-01,0
6,0,0,6,2020-02-29 23:00:00,,2020-02-29,0
6,0,0,6,2020-02-28 23:00:00,,2020-02-28,0
6,0,0,6,2020-02-27 22:00:00,,2020-02-27,2
4,0,0,4,2020-02-26 23:30:00,,2020-02-26,0
4,0,0,4,2020-02-25 22:00:00,,2020-02-25,2
2,0,0,2,2020-02-24 23:00:00,,2020-02-24,0
