Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
5779,369,165,5245,2020-04-27 14:50:00,2020-04-27,241
5538,338,159,5041,2020-04-26 15:29:00,2020-04-26,200
5338,319,154,4865,2020-04-25 17:01:00,2020-04-25,172
5166,271,146,4749,2020-04-24 15:23:00,2020-04-24,174
4992,255,144,4593,2020-04-23 16:20:00,2020-04-23,171
4821,231,141,4449,2020-04-22 16:22:00,2020-04-22,163
4658,204,136,4318,2020-04-21 17:14:00,2020-04-21,191
4467,165,126,4176,2020-04-20 16:35:00,2020-04-20,194
4273,140,120,4013,2020-04-19 16:30:00,2020-04-19,63
4210,122,116,3972,2020-04-18 15:07:00,2020-04-18,194
4016,98,109,3809,2020-04-17 22:01:00,2020-04-17,265
3751,75,103,3573,2020-04-16 21:38:00,2020-04-16,177
3574,72,95,3407,2020-04-15 20:35:00,2020-04-15,102
3472,61,94,3317,2020-04-14 23:37:00,2020-04-14,72
3400,29,87,3284,2020-04-13 21:50:00,2020-04-13,166
3234,23,79,3132,2020-04-12 21:08:00,2020-04-12,260
2974,17,74,2883,2020-04-11 07:00:00,2020-04-11,0
2974,17,74,2883,2020-04-10 22:00:00,2020-04-10,222
2752,16,66,2670,2020-04-09 22:00:00,2020-04-09,224
2528,16,63,2449,2020-04-08 23:00:00,2020-04-08,279
2249,16,59,2174,2020-04-07 23:00:00,2020-04-07,149
2100,14,55,2031,2020-04-06 23:00:00,2020-04-06,112
1988,13,54,1921,2020-04-05 23:00:00,2020-04-05,187
1801,13,46,1742,2020-04-04 23:50:00,2020-04-04,128
1673,10,41,1622,2020-04-03 23:30:00,2020-04-03,198
1475,9,37,1429,2020-04-02 23:30:00,2020-04-02,158
1317,9,32,1276,2020-04-01 23:00:00,2020-04-01,136
1181,9,30,1142,2020-03-31 23:30:00,2020-03-31,106
1075,9,27,1039,2020-03-30 22:30:00,2020-03-30,86
989,4,24,961,2020-03-29 23:10:00,2020-03-29,88
901,4,17,880,2020-03-28 23:30:00,2020-03-28,115
786,2,14,770,2020-03-27 23:30:00,2020-03-27,112
674,2,9,663,2020-03-26 22:40:00,2020-03-26,116
558,2,8,548,2020-03-25 22:00:00,2020-03-25,115
443,1,6,436,2020-03-24 22:30:00,2020-03-24,98
345,1,6,338,2020-03-23 23:40:00,2020-03-23,32
313,1,3,309,2020-03-22 22:30:00,2020-03-22,68
245,1,3,241,2020-03-21 23:30:00,2020-03-21,45
200,1,1,198,2020-03-20 22:45:00,2020-03-20,63
137,1,1,135,2020-03-19 23:30:00,2020-03-19,28
109,0,1,108,2020-03-18 23:30:00,2020-03-18,40
69,0,1,68,2020-03-17 22:30:00,2020-03-17,0
69,0,1,68,2020-03-16 22:00:00,2020-03-16,14
55,0,1,54,2020-03-15 23:30:00,2020-03-15,12
43,0,1,42,2020-03-14 22:30:00,2020-03-14,16
27,0,1,26,2020-03-13 22:00:00,2020-03-13,13
14,0,1,13,2020-03-12 22:00:00,2020-03-12,0
14,0,1,13,2020-03-11 22:30:00,2020-03-11,6
8,0,1,7,2020-03-10 23:00:00,2020-03-10,7
1,0,0,1,2020-03-09 22:30:00,2020-03-09,1
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
