Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
431,135,10,286,2020-05-06 17:43:00,2020-05-06,165
266,113,10,143,2020-05-01 21:43:00,2020-05-01,36
230,95,9,126,2020-04-28 20:02:00,2020-04-28,2
228,85,9,134,2020-04-27 14:50:00,2020-04-27,0
228,85,9,134,2020-04-26 15:29:00,2020-04-26,5
223,78,9,136,2020-04-25 17:01:00,2020-04-25,3
220,70,9,141,2020-04-24 15:23:00,2020-04-24,7
213,62,9,142,2020-04-23 16:20:00,2020-04-23,0
213,62,9,142,2020-04-22 16:22:00,2020-04-22,5
208,53,8,147,2020-04-21 17:14:00,2020-04-21,0
208,46,8,154,2020-04-20 16:35:00,2020-04-20,2
206,41,8,157,2020-04-19 16:30:00,2020-04-19,4
202,35,8,159,2020-04-18 15:07:00,2020-04-18,3
199,30,8,161,2020-04-17 22:01:00,2020-04-17,25
174,30,8,136,2020-04-16 21:38:00,2020-04-16,13
161,23,8,130,2020-04-15 20:35:00,2020-04-15,2
159,22,7,130,2020-04-14 23:37:00,2020-04-14,12
147,22,6,119,2020-04-13 21:50:00,2020-04-13,13
134,22,6,106,2020-04-12 21:08:00,2020-04-12,1
133,18,6,109,2020-04-11 07:00:00,2020-04-11,0
133,18,6,109,2020-04-10 22:00:00,2020-04-10,4
129,18,6,105,2020-04-09 22:00:00,2020-04-09,10
119,15,5,99,2020-04-08 23:00:00,2020-04-08,0
119,15,5,99,2020-04-07 23:00:00,2020-04-07,4
115,15,5,95,2020-04-06 23:00:00,2020-04-06,2
113,12,5,96,2020-04-05 23:00:00,2020-04-05,9
104,12,3,89,2020-04-04 23:50:00,2020-04-04,8
96,12,3,81,2020-04-03 23:30:00,2020-04-03,4
92,3,3,86,2020-04-02 23:30:00,2020-04-02,15
77,2,3,72,2020-04-01 23:00:00,2020-04-01,12
65,1,3,61,2020-03-31 23:30:00,2020-03-31,0
65,1,3,61,2020-03-30 22:30:00,2020-03-30,1
64,1,3,60,2020-03-29 23:10:00,2020-03-29,8
56,1,3,52,2020-03-28 23:30:00,2020-03-28,0
56,1,3,52,2020-03-27 23:30:00,2020-03-27,15
41,0,3,38,2020-03-26 22:40:00,2020-03-26,4
37,0,3,34,2020-03-25 22:00:00,2020-03-25,0
37,0,3,34,2020-03-24 22:30:00,2020-03-24,10
27,0,2,25,2020-03-23 23:40:00,2020-03-23,5
22,0,1,21,2020-03-22 22:30:00,2020-03-22,0
22,0,1,21,2020-03-21 23:30:00,2020-03-21,4
