Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
9784,2642,216,6926,2020-04-14 23:37:00,,2020-04-14,2265
7519,1798,193,5528,2020-04-13 21:50:00,,2020-04-13,671
6848,1739,181,4928,2020-04-12 21:08:00,,2020-04-12,951
5897,1569,169,4159,2020-04-11 07:00:00,,2020-04-11,0
5897,1569,169,4159,2020-04-10 22:00:00,,2020-04-10,641
5256,1438,138,3680,2020-04-09 22:00:00,,2020-04-09,914
4342,1333,121,2888,2020-04-08 23:00:00,,2020-04-08,1388
2954,1301,107,1546,2020-04-07 23:00:00,,2020-04-07,393
2561,997,92,1472,2020-04-06 23:00:00,,2020-04-06,280
2281,989,83,1209,2020-04-05 23:00:00,,2020-04-05,535
1746,914,73,759,2020-04-04 23:50:00,,2020-04-04,151
1595,537,61,997,2020-04-03 23:30:00,,2020-04-03,181
1414,537,55,822,2020-04-02 23:30:00,,2020-04-02,91
1323,394,47,882,2020-04-01 23:00:00,,2020-04-01,258
1065,394,30,641,2020-03-31 23:30:00,,2020-03-31,115
950,53,24,873,2020-03-30 22:30:00,,2020-03-30,98
852,16,18,818,2020-03-29 23:10:00,,2020-03-29,181
671,16,16,639,2020-03-28 23:30:00,,2020-03-28,36
635,16,11,608,2020-03-27 23:30:00,,2020-03-27,55
580,14,9,557,2020-03-26 22:40:00,,2020-03-26,100
480,1,9,470,2020-03-25 22:00:00,,2020-03-25,64
416,1,7,408,2020-03-24 22:30:00,,2020-03-24,21
395,1,5,389,2020-03-23 23:40:00,,2020-03-23,32
363,1,5,357,2020-03-22 22:30:00,,2020-03-22,45
318,1,5,312,2020-03-21 23:30:00,,2020-03-21,55
263,1,4,258,2020-03-20 22:45:00,,2020-03-20,29
234,1,3,230,2020-03-19 23:30:00,,2020-03-19,89
145,1,0,144,2020-03-18 23:30:00,,2020-03-18,28
117,1,0,116,2020-03-17 22:30:00,,2020-03-17,31
86,1,0,85,2020-03-16 22:00:00,,2020-03-16,15
71,0,0,71,2020-03-15 23:30:00,,2020-03-15,28
43,0,0,43,2020-03-14 22:30:00,,2020-03-14,5
38,0,0,38,2020-03-13 22:00:00,,2020-03-13,16
22,0,0,22,2020-03-12 22:00:00,,2020-03-12,5
17,0,0,17,2020-03-11 22:30:00,,2020-03-11,6
11,0,0,11,2020-03-10 23:00:00,,2020-03-10,2
9,0,0,9,2020-03-09 22:30:00,,2020-03-09,2
7,0,0,7,2020-03-08 22:00:00,,2020-03-08,6
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
