Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
5660,435,362,4863,2020-04-16 21:38:00,,2020-04-16,207
5453,353,349,4751,2020-04-15 20:35:00,,2020-04-15,230
5223,295,335,4593,2020-04-14 23:37:00,,2020-04-14,291
4932,242,315,4375,2020-04-13 21:50:00,,2020-04-13,284
4648,197,297,4154,2020-04-12 21:08:00,,2020-04-12,220
4428,157,247,4024,2020-04-11 07:00:00,,2020-04-11,233
4195,140,221,3834,2020-04-10 22:00:00,,2020-04-10,119
4076,124,203,3749,2020-04-09 22:00:00,,2020-04-09,206
3870,96,182,3592,2020-04-08 23:00:00,,2020-04-08,106
3764,84,177,3503,2020-04-07 23:00:00,,2020-04-07,104
3660,73,163,3424,2020-04-06 23:00:00,,2020-04-06,414
3246,64,152,3030,2020-04-05 23:00:00,,2020-04-05,152
3094,57,144,2893,2020-04-04 23:50:00,,2020-04-04,76
3018,52,136,2830,2020-04-03 23:30:00,,2020-04-03,385
2633,51,107,2475,2020-04-02 23:30:00,,2020-04-02,322
2311,50,96,2165,2020-04-01 23:00:00,,2020-04-01,227
2084,49,88,1947,2020-03-31 23:30:00,,2020-03-31,538
1546,42,78,1426,2020-03-30 22:30:00,,2020-03-30,128
1418,42,71,1305,2020-03-29 23:10:00,,2020-03-29,343
1075,35,68,972,2020-03-28 23:30:00,,2020-03-28,272
803,31,54,718,2020-03-27 23:30:00,,2020-03-27,96
707,28,45,634,2020-03-26 22:40:00,,2020-03-26,71
636,26,38,572,2020-03-25 22:00:00,,2020-03-25,84
552,20,35,497,2020-03-24 22:30:00,,2020-03-24,51
501,19,33,449,2020-03-23 23:40:00,,2020-03-23,121
380,15,25,340,2020-03-22 22:30:00,,2020-03-22,0
380,15,25,340,2020-03-21 23:30:00,,2020-03-21,150
230,8,18,204,2020-03-20 22:45:00,,2020-03-20,13
217,8,17,192,2020-03-19 23:30:00,,2020-03-19,15
202,7,17,178,2020-03-18 23:30:00,,2020-03-18,15
187,4,14,169,2020-03-17 22:30:00,,2020-03-17,45
142,5,12,125,2020-03-16 22:00:00,,2020-03-16,2
140,5,12,123,2020-03-15 23:30:00,,2020-03-15,29
111,2,8,101,2020-03-14 22:30:00,,2020-03-14,47
64,2,6,56,2020-03-13 22:00:00,,2020-03-13,12
52,2,2,48,2020-03-12 22:00:00,,2020-03-12,3
49,2,2,45,2020-03-11 22:30:00,,2020-03-11,16
33,2,1,30,2020-03-10 23:00:00,,2020-03-10,9
24,2,1,21,2020-03-09 22:30:00,,2020-03-09,14
10,2,1,7,2020-03-08 22:00:00,,2020-03-08,4
6,2,1,3,2020-03-07 22:00:00,,2020-03-07,1
5,2,1,2,2020-03-06 20:30:00,,2020-03-06,2
3,2,1,0,2020-03-05 20:30:00,,2020-03-05,0
3,2,1,0,2020-03-04 22:00:00,,2020-03-04,0
3,2,1,0,2020-03-03 23:30:00,,2020-03-03,0
3,2,1,0,2020-03-02 22:00:00,,2020-03-02,0
3,2,1,0,2020-03-01 23:00:00,,2020-03-01,0
3,2,1,0,2020-02-29 23:00:00,,2020-02-29,0
3,2,1,0,2020-02-28 23:00:00,,2020-02-28,0
3,2,1,0,2020-02-27 22:00:00,,2020-02-27,0
3,2,1,0,2020-02-26 23:30:00,,2020-02-26,0
3,2,1,0,2020-02-25 22:00:00,,2020-02-25,0
3,2,1,0,2020-02-24 23:00:00,,2020-02-24,0
3,2,1,0,2020-02-23 22:00:00,,2020-02-23,0
3,2,1,0,2020-02-22 23:00:00,,2020-02-22,0
3,2,1,0,2020-02-21 23:00:00,,2020-02-21,0
3,2,1,0,2020-02-20 22:00:00,,2020-02-20,0
3,2,1,0,2020-02-19 23:00:00,,2020-02-19,0
3,2,1,0,2020-02-18 23:00:00,,2020-02-18,0
3,2,1,0,2020-02-17 23:00:00,,2020-02-17,0
3,2,1,0,2020-02-16 22:30:00,,2020-02-16,0
3,2,1,0,2020-02-15 23:00:00,,2020-02-15,0
3,2,1,0,2020-02-14 23:00:00,,2020-02-14,0
3,2,1,0,2020-02-13 22:00:00,,2020-02-13,0
3,2,1,0,2020-02-12 21:30:00,,2020-02-12,0
3,2,1,0,2020-02-11 23:00:00,,2020-02-11,0
3,2,1,0,2020-02-10 22:30:00,,2020-02-10,0
3,2,1,0,2020-02-09 23:00:00,,2020-02-09,0
3,0,1,2,2020-02-08 22:00:00,,2020-02-08,0
3,0,1,2,2020-02-07 23:00:00,,2020-02-07,0
3,0,1,2,2020-02-06 21:30:00,,2020-02-06,0
3,0,1,2,2020-02-05 23:00:00,,2020-02-05,1
2,0,1,1,2020-02-04 20:00:00,,2020-02-04,0
2,0,1,1,2020-02-03 20:00:00,,2020-02-03,0
2,0,1,1,2020-02-02 22:00:00,,2020-02-02,0
2,0,1,1,2020-02-01 23:00:00,,2020-02-01,1
1,0,0,1,2020-01-31 19:00:00,,2020-01-31,0
1,0,0,1,2020-01-30 21:30:00,,2020-01-30,0
