Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
28577,13805,1222,13550,2020-06-12 23:27:00,2020-06-12,13930
14647,4655,723,9269,2020-05-06 17:43:00,2020-05-06,1542
13105,3491,651,8963,2020-05-01 21:43:00,2020-05-01,1016
12089,2655,570,8864,2020-04-28 20:02:00,2020-04-28,328
11761,2466,539,8756,2020-04-27 14:50:00,2020-04-27,366
11395,2265,526,8604,2020-04-26 15:29:00,2020-04-26,328
11067,2126,499,8442,2020-04-25 17:01:00,2020-04-25,308
10759,1944,463,8352,2020-04-24 15:23:00,2020-04-24,413
10346,1740,435,8171,2020-04-23 16:20:00,2020-04-23,312
10034,1513,404,8117,2020-04-22 16:22:00,2020-04-22,297
9737,1297,385,8055,2020-04-21 17:14:00,2020-04-21,284
9453,1133,362,7958,2020-04-20 16:35:00,2020-04-20,371
9082,1040,350,7692,2020-04-19 16:30:00,2020-04-19,519
8563,981,339,7243,2020-04-18 15:07:00,2020-04-18,184
8379,866,332,7181,2020-04-17 22:01:00,2020-04-17,461
7918,774,314,6830,2020-04-16 21:38:00,2020-04-16,510
7408,668,268,6472,2020-04-15 20:35:00,2020-04-15,206
7202,618,263,6321,2020-04-14 23:37:00,2020-04-14,268
6934,487,245,6202,2020-04-13 21:50:00,2020-04-13,578
6356,375,208,5773,2020-04-12 21:08:00,2020-04-12,268
6088,375,195,5518,2020-04-11 07:00:00,2020-04-11,133
5955,318,181,5456,2020-04-10 22:00:00,2020-04-10,380
5575,284,174,5117,2020-04-09 22:00:00,2020-04-09,370
5205,222,159,4824,2020-04-08 23:00:00,2020-04-08,357
4848,191,129,4528,2020-04-07 23:00:00,2020-04-07,435
4413,162,107,4144,2020-04-06 23:00:00,2020-04-06,311
4102,134,94,3874,2020-04-05 23:00:00,2020-04-05,475
3627,116,79,3432,2020-04-04 23:50:00,2020-04-04,244
3383,56,71,3256,2020-04-03 23:30:00,2020-04-03,437
2946,56,57,2833,2020-04-02 23:30:00,2020-04-02,392
2554,56,43,2455,2020-04-01 23:00:00,2020-04-01,243
2311,7,33,2271,2020-03-31 23:30:00,2020-03-31,256
2055,7,31,2017,2020-03-30 22:30:00,2020-03-30,193
1862,7,22,1833,2020-03-29 23:10:00,2020-03-29,224
1638,7,18,1613,2020-03-28 23:30:00,2020-03-28,249
1389,7,16,1366,2020-03-27 23:30:00,2020-03-27,168
1221,7,16,1198,2020-03-26 22:40:00,2020-03-26,170
1051,7,14,1030,2020-03-25 22:00:00,2020-03-25,150
901,1,10,890,2020-03-24 22:30:00,2020-03-24,152
749,13,8,728,2020-03-23 23:40:00,2020-03-23,115
634,13,7,614,2020-03-22 22:30:00,2020-03-22,98
536,13,5,518,2020-03-21 23:30:00,2020-03-21,111
425,13,5,407,2020-03-20 22:45:00,2020-03-20,70
355,13,5,337,2020-03-19 23:30:00,2020-03-19,68
287,13,5,269,2020-03-18 23:30:00,2020-03-18,49
238,1,5,232,2020-03-17 22:30:00,2020-03-17,61
177,0,4,173,2020-03-16 22:00:00,2020-03-16,52
125,13,3,109,2020-03-15 23:30:00,2020-03-15,21
104,13,3,88,2020-03-14 22:30:00,2020-03-14,36
68,0,2,66,2020-03-13 22:00:00,2020-03-13,17
51,0,1,50,2020-03-12 22:00:00,2020-03-12,20
31,0,0,31,2020-03-11 22:30:00,2020-03-11,9
22,0,0,22,2020-03-10 23:00:00,2020-03-10,5
17,0,0,17,2020-03-09 22:30:00,2020-03-09,6
11,0,0,11,2020-03-08 22:00:00,2020-03-08,5
6,0,0,6,2020-03-07 22:00:00,2020-03-07,1
5,0,0,5,2020-03-06 20:30:00,2020-03-06,4
1,0,0,1,2020-03-05 20:30:00,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,2020-03-04,1
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
