Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3711,406,7,3298,2020-04-16 15:04:00,,2020-04-16,0
3711,406,7,3298,2020-04-15 20:35:00,,2020-04-15,283
3428,373,7,3048,2020-04-14 23:37:00,,2020-04-14,197
3231,334,7,2890,2020-04-13 21:50:00,,2020-04-13,503
2728,247,6,2475,2020-04-12 21:08:00,,2020-04-12,0
2728,247,6,2475,2020-04-11 07:00:00,,2020-04-11,216
2512,227,6,2279,2020-04-10 22:00:00,,2020-04-10,136
2376,206,6,2164,2020-04-09 22:00:00,,2020-04-09,166
2210,178,6,2026,2020-04-08 23:00:00,,2020-04-08,153
2057,150,6,1901,2020-04-07 23:00:00,,2020-04-07,225
1832,131,4,1697,2020-04-06 23:00:00,,2020-04-06,228
1604,123,4,1477,2020-04-05 23:00:00,,2020-04-05,279
1325,109,3,1213,2020-04-04 23:50:00,,2020-04-04,250
1075,93,3,979,2020-04-03 23:30:00,,2020-04-03,126
949,72,3,874,2020-04-02 23:30:00,,2020-04-02,114
835,71,2,762,2020-04-01 23:00:00,,2020-04-01,54
781,62,2,717,2020-03-31 23:30:00,,2020-03-31,88
693,51,1,641,2020-03-30 22:30:00,,2020-03-30,59
634,48,1,585,2020-03-29 23:10:00,,2020-03-29,44
590,45,1,544,2020-03-28 23:30:00,,2020-03-28,28
562,43,0,519,2020-03-27 23:30:00,,2020-03-27,13
549,43,0,506,2020-03-26 22:40:00,,2020-03-26,12
537,41,0,496,2020-03-25 22:00:00,,2020-03-25,11
526,41,0,485,2020-03-24 22:30:00,,2020-03-24,25
501,33,0,468,2020-03-23 23:40:00,,2020-03-23,7
494,33,0,461,2020-03-22 22:30:00,,2020-03-22,13
481,27,0,454,2020-03-21 23:30:00,,2020-03-21,11
470,10,0,460,2020-03-20 22:45:00,,2020-03-20,10
460,10,0,450,2020-03-19 23:30:00,,2020-03-19,8
452,4,0,448,2020-03-18 23:30:00,,2020-03-18,10
442,4,0,438,2020-03-17 22:30:00,,2020-03-17,3
439,4,0,435,2020-03-16 22:00:00,,2020-03-16,38
401,4,0,397,2020-03-15 23:30:00,,2020-03-15,64
337,4,0,333,2020-03-14 22:30:00,,2020-03-14,17
320,0,0,320,2020-03-13 22:00:00,,2020-03-13,58
262,0,0,262,2020-03-12 22:00:00,,2020-03-12,0
262,0,0,262,2020-03-11 22:30:00,,2020-03-11,238
24,0,0,24,2020-03-10 23:00:00,,2020-03-10,6
18,0,0,18,2020-03-09 22:30:00,,2020-03-09,3
15,0,0,15,2020-03-08 22:00:00,,2020-03-08,3
12,0,0,12,2020-03-07 22:00:00,,2020-03-07,1
11,0,0,11,2020-03-06 20:30:00,,2020-03-06,3
8,0,0,8,2020-03-05 20:30:00,,2020-03-05,0
8,0,0,8,2020-03-04 22:00:00,,2020-03-04,0
8,0,0,8,2020-03-03 23:30:00,,2020-03-03,1
7,0,0,7,2020-03-02 22:00:00,,2020-03-02,4
3,0,0,3,2020-03-01 23:00:00,,2020-03-01,2
1,0,0,1,2020-02-29 23:00:00,,2020-02-29,0
