Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
402,237,0,165,2020-04-18 15:07:00,,2020-04-18,8
394,237,0,157,2020-04-17 22:01:00,,2020-04-17,3
391,237,0,154,2020-04-16 21:38:00,,2020-04-16,0
391,40,0,351,2020-04-15 20:35:00,,2020-04-15,0
391,40,0,351,2020-04-14 23:37:00,,2020-04-14,0
391,40,0,351,2020-04-13 21:50:00,,2020-04-13,3
388,40,0,348,2020-04-12 21:08:00,,2020-04-12,6
382,40,0,342,2020-04-11 07:00:00,,2020-04-11,0
382,40,0,342,2020-04-10 22:00:00,,2020-04-10,20
362,40,0,322,2020-04-09 22:00:00,,2020-04-09,0
362,40,0,322,2020-04-08 23:00:00,,2020-04-08,4
358,40,0,318,2020-04-07 23:00:00,,2020-04-07,9
349,40,0,309,2020-04-06 23:00:00,,2020-04-06,5
344,40,0,304,2020-04-05 23:00:00,,2020-04-05,10
334,40,0,294,2020-04-04 23:50:00,,2020-04-04,13
321,40,0,281,2020-04-03 23:30:00,,2020-04-03,13
308,40,0,268,2020-04-02 23:30:00,,2020-04-02,27
281,40,0,241,2020-04-01 23:00:00,,2020-04-01,34
247,1,0,246,2020-03-31 23:30:00,,2020-03-31,23
224,1,0,223,2020-03-30 22:30:00,,2020-03-30,41
183,1,0,182,2020-03-29 23:10:00,,2020-03-29,0
183,1,0,182,2020-03-28 23:30:00,,2020-03-28,38
145,1,0,144,2020-03-27 23:30:00,,2020-03-27,10
135,1,0,134,2020-03-26 22:40:00,,2020-03-26,24
111,1,0,110,2020-03-25 22:00:00,,2020-03-25,17
94,1,0,93,2020-03-24 22:30:00,,2020-03-24,23
71,1,0,70,2020-03-23 23:40:00,,2020-03-23,7
64,1,0,63,2020-03-22 22:30:00,,2020-03-22,17
47,0,0,47,2020-03-21 23:30:00,,2020-03-21,9
38,0,0,38,2020-03-20 22:45:00,,2020-03-20,10
28,0,0,28,2020-03-19 23:30:00,,2020-03-19,14
14,0,0,14,2020-03-18 23:30:00,,2020-03-18,5
9,0,0,9,2020-03-17 22:30:00,,2020-03-17,0
9,0,0,9,2020-03-16 22:00:00,,2020-03-16,2
7,0,0,7,2020-03-15 23:30:00,,2020-03-15,1
6,0,0,6,2020-03-14 22:30:00,,2020-03-14,1
5,0,0,5,2020-03-13 22:00:00,,2020-03-13,1
4,0,0,4,2020-03-12 22:00:00,,2020-03-12,3
1,0,0,1,2020-03-11 22:30:00,,2020-03-11,0
