Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
6879,1051,357,5471,2020-04-15 14:50:00,,2020-04-15,0
6879,1051,351,5477,2020-04-14 23:37:00,,2020-04-14,246
6633,914,318,5401,2020-04-13 21:50:00,,2020-04-13,643
5990,758,306,4926,2020-04-12 21:08:00,,2020-04-12,0
5990,758,282,4950,2020-04-11 07:00:00,,2020-04-11,523
5467,729,270,4468,2020-04-10 22:00:00,,2020-04-10,265
5202,647,248,4307,2020-04-09 22:00:00,,2020-04-09,441
4761,528,220,4013,2020-04-08 23:00:00,,2020-04-08,344
4417,460,197,3760,2020-04-07 23:00:00,,2020-04-07,360
4057,406,176,3475,2020-04-06 23:00:00,,2020-04-06,193
3864,374,151,3339,2020-04-05 23:00:00,,2020-04-05,251
3613,329,146,3138,2020-04-04 23:50:00,,2020-04-04,430
3183,283,133,2767,2020-04-03 23:30:00,,2020-04-03,445
2738,267,115,2356,2020-04-02 23:30:00,,2020-04-02,278
2460,252,92,2116,2020-04-01 23:00:00,,2020-04-01,215
2245,220,82,1943,2020-03-31 23:30:00,,2020-03-31,136
2109,209,65,1835,2020-03-30 22:30:00,,2020-03-30,294
1815,206,43,1566,2020-03-29 23:10:00,,2020-03-29,363
1452,139,37,1276,2020-03-28 23:30:00,,2020-03-28,160
1292,115,26,1151,2020-03-27 23:30:00,,2020-03-27,263
1029,94,23,912,2020-03-26 22:40:00,,2020-03-26,123
906,86,17,803,2020-03-25 22:00:00,,2020-03-25,112
794,79,12,703,2020-03-24 22:30:00,,2020-03-24,218
576,73,7,496,2020-03-23 23:40:00,,2020-03-23,143
433,64,3,366,2020-03-22 22:30:00,,2020-03-22,66
367,52,0,315,2020-03-21 23:30:00,,2020-03-21,59
308,31,0,277,2020-03-20 22:45:00,,2020-03-20,31
277,25,0,252,2020-03-19 23:30:00,,2020-03-19,17
260,19,0,241,2020-03-18 23:30:00,,2020-03-18,43
217,19,0,198,2020-03-17 22:30:00,,2020-03-17,49
168,9,0,159,2020-03-16 22:00:00,,2020-03-16,29
139,9,0,130,2020-03-15 23:30:00,,2020-03-15,16
123,9,0,114,2020-03-14 22:30:00,,2020-03-14,28
95,7,0,88,2020-03-13 22:00:00,,2020-03-13,36
59,6,0,53,2020-03-12 22:00:00,,2020-03-12,12
47,6,0,41,2020-03-11 22:30:00,,2020-03-11,18
29,5,0,24,2020-03-10 23:00:00,,2020-03-10,12
17,5,0,12,2020-03-09 22:30:00,,2020-03-09,2
15,5,0,10,2020-03-08 22:00:00,,2020-03-08,2
13,3,0,10,2020-03-07 22:00:00,,2020-03-07,4
9,3,0,6,2020-03-06 20:30:00,,2020-03-06,3
6,1,0,5,2020-03-05 20:30:00,,2020-03-05,0
6,1,0,5,2020-03-04 22:00:00,,2020-03-04,2
4,1,0,3,2020-03-03 23:30:00,,2020-03-03,1
3,1,0,2,2020-03-02 22:00:00,,2020-03-02,0
3,1,0,2,2020-03-01 23:00:00,,2020-03-01,0
3,1,0,2,2020-02-29 23:00:00,,2020-02-29,0
3,1,0,2,2020-02-28 23:00:00,,2020-02-28,2
1,0,0,1,2020-02-27 22:00:00,,2020-02-27,0
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
