Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
68622,5568,615,62439,2020-04-25 01:28:00,2020-04-25,0
68622,5568,615,62439,2020-04-24 15:23:00,2020-04-24,5849
62773,4891,555,57327,2020-04-23 16:20:00,2020-04-23,4774
57999,4420,513,53066,2020-04-22 16:22:00,2020-04-22,5236
52763,3873,456,48434,2020-04-21 17:14:00,2020-04-21,5642
47121,3446,405,43270,2020-04-20 16:35:00,2020-04-20,4268
42853,3291,361,39201,2020-04-19 16:30:00,2020-04-19,6060
36793,3057,313,33423,2020-04-18 15:07:00,2020-04-18,4785
32008,2590,273,29145,2020-04-17 22:01:00,2020-04-17,4070
27938,2304,232,25402,2020-04-16 21:38:00,2020-04-16,3448
24490,1986,198,22306,2020-04-15 20:35:00,2020-04-15,3388
21102,1694,170,19238,2020-04-14 23:37:00,2020-04-14,2774
18328,1470,148,16710,2020-04-13 21:50:00,2020-04-13,2558
15770,1291,130,14349,2020-04-12 21:08:00,2020-04-12,2186
13584,1045,106,12433,2020-04-11 07:00:00,2020-04-11,1667
11917,795,94,11028,2020-04-10 22:00:00,2020-04-10,1786
10131,698,76,9357,2020-04-09 22:00:00,2020-04-09,1459
8672,580,63,8029,2020-04-08 23:00:00,2020-04-08,1175
7497,494,58,6945,2020-04-07 23:00:00,2020-04-07,1154
6343,406,47,5890,2020-04-06 23:00:00,2020-04-06,954
5389,355,45,4989,2020-04-05 23:00:00,2020-04-05,658
4731,333,43,4355,2020-04-04 23:50:00,2020-04-04,582
4149,281,34,3834,2020-04-03 23:30:00,2020-04-03,601
3548,235,30,3283,2020-04-02 23:30:00,2020-04-02,771
2777,190,24,2563,2020-04-01 23:00:00,2020-04-01,440
2337,121,17,2199,2020-03-31 23:30:00,2020-03-31,501
1836,66,9,1761,2020-03-30 22:30:00,2020-03-30,302
1534,64,8,1462,2020-03-29 23:10:00,2020-03-29,270
1264,49,4,1211,2020-03-28 23:30:00,2020-03-28,228
1036,45,4,987,2020-03-27 23:30:00,2020-03-27,196
840,38,3,799,2020-03-26 22:40:00,2020-03-26,182
658,29,3,626,2020-03-25 22:00:00,2020-03-25,163
495,22,1,472,2020-03-24 22:30:00,2020-03-24,57
438,17,1,420,2020-03-23 23:40:00,2020-03-23,71
367,16,1,350,2020-03-22 22:30:00,2020-03-22,61
306,16,1,289,2020-03-21 23:30:00,2020-03-21,53
253,12,1,240,2020-03-20 22:45:00,2020-03-20,54
199,8,1,190,2020-03-19 23:30:00,2020-03-19,52
147,8,0,139,2020-03-18 23:30:00,2020-03-18,33
114,8,0,106,2020-03-17 22:30:00,2020-03-17,21
93,8,0,85,2020-03-16 22:00:00,2020-03-16,30
63,8,0,55,2020-03-15 23:30:00,2020-03-15,4
59,8,0,51,2020-03-14 22:30:00,2020-03-14,14
45,8,0,37,2020-03-13 22:00:00,2020-03-13,11
34,3,0,31,2020-03-12 22:00:00,2020-03-12,6
28,3,0,25,2020-03-11 22:30:00,2020-03-11,8
20,3,0,17,2020-03-10 23:00:00,2020-03-10,0
20,3,0,17,2020-03-09 22:30:00,2020-03-09,3
17,3,0,14,2020-03-08 22:00:00,2020-03-08,2
15,2,0,13,2020-03-07 22:00:00,2020-03-07,2
