Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
134,49,0,85,2020-04-15 14:50:00,,2020-04-15,0
134,49,0,85,2020-04-14 23:37:00,,2020-04-14,8
126,25,0,101,2020-04-13 21:50:00,,2020-04-13,6
120,18,0,102,2020-04-12 21:08:00,,2020-04-12,2
118,7,0,111,2020-04-11 07:00:00,,2020-04-11,0
118,7,0,111,2020-04-10 22:00:00,,2020-04-10,5
113,7,0,106,2020-04-09 22:00:00,,2020-04-09,3
110,7,0,103,2020-04-08 23:00:00,,2020-04-08,5
105,7,0,98,2020-04-07 23:00:00,,2020-04-07,0
105,4,0,101,2020-04-06 23:00:00,,2020-04-06,1
104,4,0,100,2020-04-05 23:00:00,,2020-04-05,2
102,0,0,102,2020-04-04 23:50:00,,2020-04-04,13
89,0,0,89,2020-04-03 23:30:00,,2020-04-03,5
84,0,0,84,2020-04-02 23:30:00,,2020-04-02,2
82,0,0,82,2020-04-01 23:00:00,,2020-04-01,7
75,0,0,75,2020-03-31 23:30:00,,2020-03-31,5
70,0,0,70,2020-03-30 22:30:00,,2020-03-30,0
70,0,0,70,2020-03-29 23:10:00,,2020-03-29,10
60,0,0,60,2020-03-28 23:30:00,,2020-03-28,6
54,0,0,54,2020-03-27 23:30:00,,2020-03-27,4
50,0,0,50,2020-03-26 22:40:00,,2020-03-26,9
41,0,0,41,2020-03-25 22:00:00,,2020-03-25,1
40,0,0,40,2020-03-24 22:30:00,,2020-03-24,4
36,0,0,36,2020-03-23 23:40:00,,2020-03-23,17
19,0,0,19,2020-03-22 22:30:00,,2020-03-22,2
17,0,0,17,2020-03-21 23:30:00,,2020-03-21,0
17,0,0,17,2020-03-20 22:45:00,,2020-03-20,6
11,0,0,11,2020-03-19 23:30:00,,2020-03-19,0
11,0,0,11,2020-03-18 23:30:00,,2020-03-18,4
7,0,0,7,2020-03-17 22:30:00,,2020-03-17,0
7,0,0,7,2020-03-16 22:00:00,,2020-03-16,2
5,0,0,5,2020-03-15 23:30:00,,2020-03-15,4
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
