Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
513,64,40,409,2020-04-25 01:28:00,2020-04-25,12
501,63,40,398,2020-04-24 15:23:00,2020-04-24,13
488,62,40,386,2020-04-23 16:20:00,2020-04-23,12
476,62,40,374,2020-04-22 16:22:00,2020-04-22,14
462,61,39,362,2020-04-21 17:14:00,2020-04-21,1
461,60,39,362,2020-04-20 16:35:00,2020-04-20,6
455,60,39,356,2020-04-19 16:30:00,2020-04-19,20
435,57,39,339,2020-04-18 15:07:00,2020-04-18,0
435,57,39,339,2020-04-17 22:01:00,2020-04-17,9
426,55,38,333,2020-04-16 21:38:00,2020-04-16,54
372,53,36,283,2020-04-15 20:35:00,2020-04-15,1
371,53,36,282,2020-04-14 23:37:00,2020-04-14,15
356,53,35,268,2020-04-13 21:50:00,2020-04-13,0
356,53,35,268,2020-04-12 21:08:00,2020-04-12,12
344,50,34,260,2020-04-11 07:00:00,2020-04-11,0
344,50,34,260,2020-04-10 22:00:00,2020-04-10,11
333,49,34,250,2020-04-09 22:00:00,2020-04-09,25
308,45,34,229,2020-04-08 23:00:00,2020-04-08,29
279,40,34,205,2020-04-07 23:00:00,2020-04-07,2
277,35,32,210,2020-04-06 23:00:00,2020-04-06,11
266,35,32,199,2020-04-05 23:00:00,2020-04-05,7
259,27,32,200,2020-04-04 23:50:00,2020-04-04,8
251,26,32,193,2020-04-03 23:30:00,2020-04-03,6
245,21,30,194,2020-04-02 23:30:00,2020-04-02,9
236,13,28,195,2020-04-01 23:00:00,2020-04-01,0
236,13,26,197,2020-03-31 23:30:00,2020-03-31,6
230,13,25,192,2020-03-30 22:30:00,2020-03-30,6
224,6,22,196,2020-03-29 23:10:00,2020-03-29,0
224,6,22,196,2020-03-28 23:30:00,2020-03-28,1
223,6,21,196,2020-03-27 23:30:00,2020-03-27,15
208,4,21,183,2020-03-26 22:40:00,2020-03-26,0
208,4,21,183,2020-03-25 22:00:00,2020-03-25,21
187,4,21,162,2020-03-24 22:30:00,2020-03-24,0
187,4,20,163,2020-03-23 23:40:00,2020-03-23,12
175,4,20,151,2020-03-22 22:30:00,2020-03-22,15
160,4,20,136,2020-03-21 23:30:00,2020-03-21,9
151,4,14,133,2020-03-20 22:45:00,2020-03-20,7
144,4,14,126,2020-03-19 23:30:00,2020-03-19,4
140,4,14,122,2020-03-18 23:30:00,2020-03-18,21
119,4,11,104,2020-03-17 22:30:00,2020-03-17,10
109,4,7,98,2020-03-16 22:00:00,2020-03-16,0
109,4,7,98,2020-03-15 23:30:00,2020-03-15,8
101,4,5,92,2020-03-14 22:30:00,2020-03-14,21
80,2,5,73,2020-03-13 22:00:00,2020-03-13,8
72,0,5,67,2020-03-12 22:00:00,2020-03-12,3
69,0,2,67,2020-03-11 22:30:00,2020-03-11,7
62,0,2,60,2020-03-10 23:00:00,2020-03-10,11
51,0,2,49,2020-03-09 22:30:00,2020-03-09,15
36,0,1,35,2020-03-08 22:00:00,2020-03-08,10
26,0,1,25,2020-03-07 22:00:00,2020-03-07,3
23,0,0,23,2020-03-06 20:30:00,2020-03-06,2
21,0,0,21,2020-03-05 20:30:00,2020-03-05,5
16,0,0,16,2020-03-04 22:00:00,2020-03-04,6
10,0,0,10,2020-03-03 23:30:00,2020-03-03,2
8,0,0,8,2020-03-02 22:00:00,2020-03-02,0
8,0,0,8,2020-03-01 23:00:00,2020-03-01,7
1,0,0,1,2020-02-29 23:00:00,2020-02-29,0
1,0,0,1,2020-02-28 23:00:00,2020-02-28,0
1,0,0,1,2020-02-27 22:00:00,2020-02-27,1
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
