Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
4934,805,65,4064,2020-04-14 11:44:00,,2020-04-14,0
4934,805,65,4064,2020-04-13 21:50:00,,2020-04-13,901
4033,720,52,3261,2020-04-12 21:08:00,,2020-04-12,382
3651,685,47,2919,2020-04-11 07:00:00,,2020-04-11,0
3651,685,47,2919,2020-04-10 22:00:00,,2020-04-10,364
3287,666,44,2577,2020-04-09 22:00:00,,2020-04-09,355
2932,631,41,2260,2020-04-08 23:00:00,,2020-04-08,137
2795,615,41,2139,2020-04-07 23:00:00,,2020-04-07,190
2605,551,38,2016,2020-04-06 23:00:00,,2020-04-06,203
2402,488,34,1880,2020-04-05 23:00:00,,2020-04-05,32
2370,420,29,1921,2020-04-04 23:50:00,,2020-04-04,331
2039,351,25,1663,2020-04-03 23:30:00,,2020-04-03,154
1885,328,21,1536,2020-04-02 23:30:00,,2020-04-02,165
1720,264,16,1440,2020-04-01 23:00:00,,2020-04-01,157
1563,165,10,1388,2020-03-31 23:30:00,,2020-03-31,110
1453,115,8,1330,2020-03-30 22:30:00,,2020-03-30,154
1299,66,8,1225,2020-03-29 23:10:00,,2020-03-29,96
1203,37,4,1162,2020-03-28 23:30:00,,2020-03-28,99
1104,35,3,1066,2020-03-27 23:30:00,,2020-03-27,92
1012,33,3,976,2020-03-26 22:40:00,,2020-03-26,112
900,29,2,869,2020-03-25 22:00:00,,2020-03-25,133
767,28,1,738,2020-03-24 22:30:00,,2020-03-24,205
562,19,0,543,2020-03-23 23:40:00,,2020-03-23,51
511,17,0,494,2020-03-22 22:30:00,,2020-03-22,119
392,16,0,376,2020-03-21 23:30:00,,2020-03-21,48
344,8,0,336,2020-03-20 22:45:00,,2020-03-20,70
274,8,0,266,2020-03-19 23:30:00,,2020-03-19,36
238,6,0,232,2020-03-18 23:30:00,,2020-03-18,67
171,6,0,165,2020-03-17 22:30:00,,2020-03-17,38
133,6,0,127,2020-03-16 22:00:00,,2020-03-16,15
118,3,0,115,2020-03-15 23:30:00,,2020-03-15,15
103,1,0,102,2020-03-14 22:30:00,,2020-03-14,17
86,1,0,85,2020-03-13 22:00:00,,2020-03-13,41
45,1,0,44,2020-03-12 22:00:00,,2020-03-12,0
45,1,0,44,2020-03-11 22:30:00,,2020-03-11,25
20,1,0,19,2020-03-10 23:00:00,,2020-03-10,0
20,1,0,19,2020-03-09 22:30:00,,2020-03-09,5
15,1,0,14,2020-03-08 22:00:00,,2020-03-08,8
7,1,0,6,2020-03-07 22:00:00,,2020-03-07,2
5,1,0,4,2020-03-06 20:30:00,,2020-03-06,0
5,1,0,4,2020-03-05 20:30:00,,2020-03-05,3
2,0,0,2,2020-03-04 22:00:00,,2020-03-04,1
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
1,0,0,1,2020-03-02 22:00:00,,2020-03-02,0
