Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1024,356,9,659,2020-05-01 21:43:00,2020-05-01,201
823,296,9,518,2020-04-28 20:02:00,2020-04-28,152
671,283,9,379,2020-04-27 14:50:00,2020-04-27,57
614,276,7,331,2020-04-26 15:29:00,2020-04-26,69
545,262,7,276,2020-04-25 17:01:00,2020-04-25,66
479,257,6,216,2020-04-24 15:23:00,2020-04-24,0
479,257,6,216,2020-04-23 16:20:00,2020-04-23,37
442,253,6,183,2020-04-22 16:22:00,2020-04-22,65
377,235,5,137,2020-04-21 17:14:00,2020-04-21,0
377,235,5,137,2020-04-20 16:35:00,2020-04-20,27
350,211,3,136,2020-04-19 16:30:00,2020-04-19,8
342,198,2,142,2020-04-18 15:07:00,2020-04-18,0
342,198,2,142,2020-04-17 22:01:00,2020-04-17,7
335,194,2,139,2020-04-16 21:38:00,2020-04-16,21
314,190,2,122,2020-04-15 20:35:00,2020-04-15,15
299,183,2,114,2020-04-14 23:37:00,2020-04-14,8
291,178,2,111,2020-04-13 21:50:00,2020-04-13,13
278,152,2,124,2020-04-12 21:08:00,2020-04-12,0
278,137,2,139,2020-04-11 07:00:00,2020-04-11,13
265,137,2,126,2020-04-10 22:00:00,2020-04-10,15
250,123,2,125,2020-04-09 22:00:00,2020-04-09,6
244,113,2,129,2020-04-08 23:00:00,2020-04-08,7
237,105,2,130,2020-04-07 23:00:00,2020-04-07,11
226,92,2,132,2020-04-06 23:00:00,2020-04-06,4
222,82,2,138,2020-04-05 23:00:00,2020-04-05,3
219,72,2,145,2020-04-04 23:50:00,2020-04-04,12
207,66,1,140,2020-04-03 23:30:00,2020-04-03,12
195,55,1,139,2020-04-02 23:30:00,2020-04-02,5
190,45,1,144,2020-04-01 23:00:00,2020-04-01,15
175,40,0,135,2020-03-31 23:30:00,2020-03-31,13
162,27,0,135,2020-03-30 22:30:00,2020-03-30,20
142,27,0,115,2020-03-29 23:10:00,2020-03-29,12
130,18,0,112,2020-03-28 23:30:00,2020-03-28,11
119,11,0,108,2020-03-27 23:30:00,2020-03-27,14
105,9,0,96,2020-03-26 22:40:00,2020-03-26,6
99,9,0,90,2020-03-25 22:00:00,2020-03-25,13
86,8,0,78,2020-03-24 22:30:00,2020-03-24,7
79,8,0,71,2020-03-23 23:40:00,2020-03-23,12
67,5,0,62,2020-03-22 22:30:00,2020-03-22,11
56,5,0,51,2020-03-21 23:30:00,2020-03-21,9
47,5,0,42,2020-03-20 22:45:00,2020-03-20,11
36,2,0,34,2020-03-19 23:30:00,2020-03-19,0
36,2,0,34,2020-03-18 23:30:00,2020-03-18,9
27,2,0,25,2020-03-17 22:30:00,2020-03-17,0
27,2,0,25,2020-03-16 22:00:00,2020-03-16,3
24,2,0,22,2020-03-15 23:30:00,2020-03-15,0
24,2,0,22,2020-03-14 22:30:00,2020-03-14,3
21,2,0,19,2020-03-13 22:00:00,2020-03-13,11
10,1,0,9,2020-03-12 22:00:00,2020-03-12,6
4,1,0,3,2020-03-11 22:30:00,2020-03-11,0
4,1,0,3,2020-03-10 23:00:00,2020-03-10,0
4,1,0,3,2020-03-09 22:30:00,2020-03-09,0
4,1,0,3,2020-03-08 22:00:00,2020-03-08,0
4,1,0,3,2020-03-07 22:00:00,2020-03-07,0
4,0,0,4,2020-03-06 20:30:00,2020-03-06,0
4,0,0,4,2020-03-05 20:30:00,2020-03-05,0
4,0,0,4,2020-03-04 22:00:00,2020-03-04,2
2,0,0,2,2020-03-03 23:30:00,2020-03-03,1
1,0,0,1,2020-03-02 22:00:00,2020-03-02,1
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
