Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
26,0,0,26,2020-04-17 22:01:00,,2020-04-17,11
15,0,0,15,2020-04-16 21:38:00,,2020-04-16,2
13,0,0,13,2020-04-15 20:35:00,,2020-04-15,2
11,0,0,11,2020-04-14 23:37:00,,2020-04-14,1
10,0,0,10,2020-04-13 21:50:00,,2020-04-13,0
10,0,0,10,2020-04-12 21:08:00,,2020-04-12,2
8,0,0,8,2020-04-11 07:00:00,,2020-04-11,0
8,0,0,8,2020-04-10 22:00:00,,2020-04-10,1
7,0,0,7,2020-04-09 22:00:00,,2020-04-09,0
7,0,0,7,2020-04-08 23:00:00,,2020-04-08,1
6,0,0,6,2020-04-07 23:00:00,,2020-04-07,0
6,0,0,6,2020-04-06 23:00:00,,2020-04-06,0
6,0,0,6,2020-04-05 23:00:00,,2020-04-05,2
4,0,0,4,2020-04-04 23:50:00,,2020-04-04,2
2,0,0,2,2020-04-03 23:30:00,,2020-04-03,0
2,0,0,2,2020-04-02 23:30:00,,2020-04-02,0
2,0,0,2,2020-04-01 23:00:00,,2020-04-01,1
1,0,0,1,2020-03-31 23:30:00,,2020-03-31,0
