Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
12693,956,12,11725,2020-04-25 17:01:00,2020-04-25,1515
11178,924,12,10242,2020-04-24 15:23:00,2020-04-24,0
11178,896,12,10270,2020-04-23 16:20:00,2020-04-23,1037
10141,839,11,9291,2020-04-22 16:22:00,2020-04-22,1016
9125,801,11,8313,2020-04-21 17:14:00,2020-04-21,1111
8014,768,11,7235,2020-04-20 16:35:00,2020-04-20,1426
6588,740,11,5837,2020-04-19 16:30:00,2020-04-19,596
5992,708,11,5273,2020-04-18 15:07:00,2020-04-18,942
5050,683,10,4357,2020-04-17 22:01:00,2020-04-17,623
4427,683,10,3734,2020-04-16 21:38:00,2020-04-16,1175
3252,611,10,2631,2020-04-15 20:35:00,2020-04-15,0
3252,611,10,2631,2020-04-14 23:37:00,2020-04-14,334
2918,586,9,2323,2020-04-13 21:50:00,2020-04-13,619
2299,528,8,1763,2020-04-12 21:08:00,2020-04-12,191
2108,492,7,1609,2020-04-11 07:00:00,2020-04-11,0
2108,492,7,1609,2020-04-10 22:00:00,2020-04-10,198
1910,460,7,1443,2020-04-09 22:00:00,2020-04-09,287
1623,406,6,1211,2020-04-08 23:00:00,2020-04-08,142
1481,377,6,1098,2020-04-07 23:00:00,2020-04-07,106
1375,344,6,1025,2020-04-06 23:00:00,2020-04-06,66
1309,320,6,983,2020-04-05 23:00:00,2020-04-05,120
1189,297,6,886,2020-04-04 23:50:00,2020-04-04,75
1114,282,5,827,2020-04-03 23:30:00,2020-04-03,65
1049,266,5,778,2020-04-02 23:30:00,2020-04-02,49
1000,245,4,751,2020-04-01 23:00:00,2020-04-01,74
926,240,3,683,2020-03-31 23:30:00,2020-03-31,47
879,228,3,648,2020-03-30 22:30:00,2020-03-30,35
844,212,3,629,2020-03-29 23:10:00,2020-03-29,42
802,198,2,602,2020-03-28 23:30:00,2020-03-28,70
732,183,2,547,2020-03-27 23:30:00,2020-03-27,49
683,172,2,509,2020-03-26 22:40:00,2020-03-26,52
631,160,2,469,2020-03-25 22:00:00,2020-03-25,73
558,156,2,400,2020-03-24 22:30:00,2020-03-24,49
509,152,2,355,2020-03-23 23:40:00,2020-03-23,54
455,144,2,309,2020-03-22 22:30:00,2020-03-22,23
432,140,2,290,2020-03-21 23:30:00,2020-03-21,47
385,131,0,254,2020-03-20 22:45:00,2020-03-20,40
345,124,0,221,2020-03-19 23:30:00,2020-03-19,32
313,117,0,196,2020-03-18 23:30:00,2020-03-18,47
266,114,0,152,2020-03-17 22:30:00,2020-03-17,23
243,109,0,134,2020-03-16 22:00:00,2020-03-16,17
226,105,0,121,2020-03-15 23:30:00,2020-03-15,14
212,105,0,107,2020-03-14 22:30:00,2020-03-14,12
200,97,0,103,2020-03-13 22:00:00,2020-03-13,13
187,96,0,91,2020-03-12 22:00:00,2020-03-12,9
178,96,0,82,2020-03-11 22:30:00,2020-03-11,12
166,93,0,73,2020-03-10 23:00:00,2020-03-10,6
160,93,0,67,2020-03-09 22:30:00,2020-03-09,10
150,90,0,60,2020-03-08 22:00:00,2020-03-08,12
138,90,0,48,2020-03-07 22:00:00,2020-03-07,8
130,81,0,49,2020-03-06 20:30:00,2020-03-06,13
117,81,0,36,2020-03-05 20:30:00,2020-03-05,5
112,79,0,33,2020-03-04 22:00:00,2020-03-04,2
110,78,0,32,2020-03-03 23:30:00,2020-03-03,2
108,78,0,30,2020-03-02 22:00:00,2020-03-02,2
106,74,0,32,2020-03-01 23:00:00,2020-03-01,4
102,72,0,30,2020-02-29 23:00:00,2020-02-29,4
98,69,0,29,2020-02-28 23:00:00,2020-02-28,2
96,66,0,30,2020-02-27 22:00:00,2020-02-27,3
93,62,0,31,2020-02-26 23:30:00,2020-02-26,2
91,58,0,33,2020-02-25 22:00:00,2020-02-25,1
90,53,0,37,2020-02-24 23:00:00,2020-02-24,1
89,49,0,40,2020-02-23 22:00:00,2020-02-23,0
89,49,0,40,2020-02-22 23:00:00,2020-02-22,3
86,47,0,39,2020-02-21 23:00:00,2020-02-21,1
85,37,0,48,2020-02-20 22:00:00,2020-02-20,1
84,34,0,50,2020-02-19 23:00:00,2020-02-19,3
81,29,0,52,2020-02-18 23:00:00,2020-02-18,4
77,24,0,53,2020-02-17 23:00:00,2020-02-17,2
75,19,0,56,2020-02-16 22:30:00,2020-02-16,3
72,18,0,54,2020-02-15 23:00:00,2020-02-15,5
67,17,0,50,2020-02-14 23:00:00,2020-02-14,9
58,15,0,43,2020-02-13 22:00:00,2020-02-13,8
