Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
64,12,9,43,2020-04-19 00:12:00,,2020-04-19,7
57,12,9,36,2020-04-18 15:07:00,,2020-04-18,0
57,12,9,36,2020-04-17 22:01:00,,2020-04-17,0
57,12,9,36,2020-04-16 21:38:00,,2020-04-16,5
52,5,9,38,2020-04-15 20:35:00,,2020-04-15,0
52,5,9,38,2020-04-14 23:37:00,,2020-04-14,2
50,5,9,36,2020-04-13 21:50:00,,2020-04-13,0
50,5,9,36,2020-04-12 21:08:00,,2020-04-12,0
50,3,8,39,2020-04-11 07:00:00,,2020-04-11,0
50,3,8,39,2020-04-10 22:00:00,,2020-04-10,7
43,1,6,36,2020-04-09 22:00:00,,2020-04-09,3
40,1,6,33,2020-04-08 23:00:00,,2020-04-08,0
40,1,6,33,2020-04-07 23:00:00,,2020-04-07,3
37,1,6,30,2020-04-06 23:00:00,,2020-04-06,12
25,1,4,20,2020-04-05 23:00:00,,2020-04-05,0
25,6,4,15,2020-04-04 23:50:00,,2020-04-04,2
23,6,4,13,2020-04-03 23:30:00,,2020-04-03,5
18,6,1,11,2020-04-02 23:30:00,,2020-04-02,2
16,6,1,9,2020-04-01 23:00:00,,2020-04-01,10
6,0,0,6,2020-03-31 23:30:00,,2020-03-31,0
6,0,0,6,2020-03-30 22:30:00,,2020-03-30,0
6,0,0,6,2020-03-29 23:10:00,,2020-03-29,3
3,0,0,3,2020-03-28 23:30:00,,2020-03-28,0
3,0,0,3,2020-03-27 23:30:00,,2020-03-27,0
3,0,0,3,2020-03-26 22:40:00,,2020-03-26,0
3,0,0,3,2020-03-25 22:00:00,,2020-03-25,1
2,0,0,2,2020-03-24 22:30:00,,2020-03-24,0
2,0,0,2,2020-03-23 23:40:00,,2020-03-23,1
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
1,0,0,1,2020-03-20 22:45:00,,2020-03-20,0
1,0,0,1,2020-03-19 23:30:00,,2020-03-19,0
1,0,0,1,2020-03-18 23:30:00,,2020-03-18,0
