Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1366,211,79,1076,2020-04-23 16:20:00,2020-04-23,13
1353,205,79,1069,2020-04-22 16:22:00,2020-04-22,18
1335,193,77,1065,2020-04-21 17:14:00,2020-04-21,0
1335,193,77,1065,2020-04-20 16:35:00,2020-04-20,18
1317,190,70,1057,2020-04-19 16:30:00,2020-04-19,13
1304,174,66,1064,2020-04-18 15:07:00,2020-04-18,0
1304,174,66,1064,2020-04-17 22:01:00,2020-04-17,36
1268,174,61,1033,2020-04-16 21:38:00,2020-04-16,20
1248,165,61,1022,2020-04-15 20:35:00,2020-04-15,28
1220,152,56,1012,2020-04-14 23:37:00,2020-04-14,8
1212,152,55,1005,2020-04-13 21:50:00,2020-04-13,7
1205,150,53,1002,2020-04-12 21:08:00,2020-04-12,17
1188,148,50,990,2020-04-11 07:00:00,2020-04-11,28
1160,137,45,978,2020-04-10 22:00:00,2020-04-10,36
1124,128,43,953,2020-04-09 22:00:00,2020-04-09,33
1091,120,40,931,2020-04-08 23:00:00,2020-04-08,32
1059,102,36,921,2020-04-07 23:00:00,2020-04-07,38
1021,102,30,889,2020-04-06 23:00:00,2020-04-06,24
997,79,28,890,2020-04-05 23:00:00,2020-04-05,20
977,79,22,876,2020-04-04 23:50:00,2020-04-04,43
934,70,20,844,2020-04-03 23:30:00,2020-04-03,37
897,70,17,810,2020-04-02 23:30:00,2020-04-02,56
841,10,15,816,2020-04-01 23:00:00,2020-04-01,39
802,10,15,777,2020-03-31 23:30:00,2020-03-31,46
756,10,11,735,2020-03-30 22:30:00,2020-03-30,26
730,10,11,709,2020-03-29 23:10:00,2020-03-29,46
684,10,9,665,2020-03-28 23:30:00,2020-03-28,52
632,10,9,613,2020-03-27 23:30:00,2020-03-27,70
562,10,6,546,2020-03-26 22:40:00,2020-03-26,34
528,10,5,513,2020-03-25 22:00:00,2020-03-25,48
480,3,4,473,2020-03-24 22:30:00,2020-03-24,38
442,0,3,439,2020-03-23 23:40:00,2020-03-23,28
414,0,2,412,2020-03-22 22:30:00,2020-03-22,31
383,0,1,382,2020-03-21 23:30:00,2020-03-21,42
341,0,1,340,2020-03-20 22:45:00,2020-03-20,22
319,0,1,318,2020-03-19 23:30:00,2020-03-19,33
286,0,1,285,2020-03-18 23:30:00,2020-03-18,11
275,0,1,274,2020-03-17 22:30:00,2020-03-17,22
253,0,1,252,2020-03-16 22:00:00,2020-03-16,34
219,0,1,218,2020-03-15 23:30:00,2020-03-15,38
181,0,1,180,2020-03-14 22:30:00,2020-03-14,40
141,0,0,141,2020-03-13 22:00:00,2020-03-13,45
96,0,0,96,2020-03-12 22:00:00,2020-03-12,39
57,0,0,57,2020-03-11 22:30:00,2020-03-11,23
34,0,0,34,2020-03-10 23:00:00,2020-03-10,9
25,0,0,25,2020-03-09 22:30:00,2020-03-09,9
16,0,0,16,2020-03-08 22:00:00,2020-03-08,4
12,0,0,12,2020-03-07 22:00:00,2020-03-07,4
8,0,0,8,2020-03-06 20:30:00,2020-03-06,2
6,0,0,6,2020-03-05 20:30:00,2020-03-05,5
1,0,0,1,2020-03-04 22:00:00,2020-03-04,1
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
