Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
58568,33252,1284,24032,2020-06-12 23:27:00,2020-06-12,50996
7572,2746,148,4678,2020-05-06 17:43:00,2020-05-06,1925
5647,2073,103,3471,2020-05-01 21:43:00,2020-05-01,854
4793,1473,90,3230,2020-04-28 20:02:00,2020-04-28,247
4546,1473,87,2986,2020-04-27 14:50:00,2020-04-27,185
4361,1473,86,2802,2020-04-26 15:29:00,2020-04-26,141
4220,1473,79,2668,2020-04-25 17:01:00,2020-04-25,267
3953,1473,75,2405,2020-04-24 15:23:00,2020-04-24,318
3635,1055,65,2515,2020-04-23 16:20:00,2020-04-23,170
3465,1055,58,2352,2020-04-22 16:22:00,2020-04-22,165
3300,1055,58,2187,2020-04-21 17:14:00,2020-04-21,142
3158,903,54,2201,2020-04-20 16:35:00,2020-04-20,124
3034,903,52,2079,2020-04-19 16:30:00,2020-04-19,251
2783,903,50,1830,2020-04-18 15:07:00,2020-04-18,178
2605,903,48,1654,2020-04-17 22:01:00,2020-04-17,99
2506,410,34,2062,2020-04-16 21:38:00,2020-04-16,91
2415,410,27,1978,2020-04-15 20:35:00,2020-04-15,0
2415,410,27,1978,2020-04-14 23:37:00,2020-04-14,242
2173,410,25,1738,2020-04-13 21:50:00,2020-04-13,145
2028,410,25,1593,2020-04-12 21:08:00,2020-04-12,25
2003,410,24,1569,2020-04-11 07:00:00,2020-04-11,0
2003,410,24,1569,2020-04-10 22:00:00,2020-04-10,69
1934,95,18,1821,2020-04-09 22:00:00,2020-04-09,89
1845,95,18,1732,2020-04-08 23:00:00,2020-04-08,96
1749,95,13,1641,2020-04-07 23:00:00,2020-04-07,63
1686,95,12,1579,2020-04-06 23:00:00,2020-04-06,31
1655,95,11,1549,2020-04-05 23:00:00,2020-04-05,70
1585,95,9,1481,2020-04-04 23:50:00,2020-04-04,80
1505,95,9,1401,2020-04-03 23:30:00,2020-04-03,43
1462,50,5,1407,2020-04-02 23:30:00,2020-04-02,82
