Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
10613,7757,229,2627,2020-04-16 15:04:00,2020-04-16,22
10591,7616,225,2750,2020-04-15 20:35:00,2020-04-15,27
10564,7534,222,2808,2020-04-14 23:37:00,2020-04-14,27
10537,7447,217,2873,2020-04-13 21:50:00,2020-04-13,25
10512,7368,214,2930,2020-04-12 21:08:00,2020-04-12,32
10480,7243,211,3026,2020-04-11 07:00:00,2020-04-11,30
10450,7117,208,3125,2020-04-10 22:00:00,2020-04-10,0
10450,7117,208,3125,2020-04-09 22:00:00,2020-04-09,27
10423,6973,204,3246,2020-04-08 23:00:00,2020-04-08,39
10384,6776,200,3408,2020-04-07 23:00:00,2020-04-07,53
10331,6694,192,3445,2020-04-06 23:00:00,2020-04-06,47
10284,6598,186,3500,2020-04-05 23:00:00,2020-04-05,47
10237,6463,183,3591,2020-04-04 23:50:00,2020-04-04,81
10156,6325,177,3654,2020-04-03 23:30:00,2020-04-03,94
10062,6021,174,3867,2020-04-02 23:30:00,2020-04-02,86
9976,5828,169,3979,2020-04-01 23:00:00,2020-04-01,89
9887,5567,165,4155,2020-03-31 23:30:00,2020-03-31,101
9786,5408,162,4216,2020-03-30 22:30:00,2020-03-30,125
9661,5228,158,4275,2020-03-29 23:10:00,2020-03-29,78
9583,5033,152,4398,2020-03-28 23:30:00,2020-03-28,105
9478,4811,144,4523,2020-03-27 23:30:00,2020-03-27,146
9332,4528,139,4665,2020-03-26 22:40:00,2020-03-26,195
9137,3730,126,5281,2020-03-25 22:00:00,2020-03-25,0
9137,3730,126,5281,2020-03-24 22:30:00,2020-03-24,100
9037,3507,120,5410,2020-03-23 23:40:00,2020-03-23,76
8961,3166,111,5684,2020-03-22 22:30:00,2020-03-22,64
8897,2909,104,5884,2020-03-21 23:30:00,2020-03-21,98
8799,2612,102,6085,2020-03-20 22:45:00,2020-03-20,147
8652,2233,94,6325,2020-03-19 23:30:00,2020-03-19,87
8565,1947,91,6527,2020-03-18 23:30:00,2020-03-18,152
8413,1540,84,6789,2020-03-17 22:30:00,2020-03-17,93
8320,1401,81,6838,2020-03-16 22:00:00,2020-03-16,84
8236,1137,75,7024,2020-03-15 23:30:00,2020-03-15,74
8162,834,75,7253,2020-03-14 22:30:00,2020-03-14,76
8086,714,72,7300,2020-03-13 22:00:00,2020-03-13,107
7979,510,67,7402,2020-03-12 22:00:00,2020-03-12,110
7869,333,66,7470,2020-03-11 22:30:00,2020-03-11,114
7755,288,61,7406,2020-03-10 23:00:00,2020-03-10,242
7513,247,54,7212,2020-03-09 22:30:00,2020-03-09,131
7382,166,53,7163,2020-03-08 22:00:00,2020-03-08,248
7134,118,50,6966,2020-03-07 22:00:00,2020-03-07,541
6593,135,43,6415,2020-03-06 20:30:00,2020-03-06,309
6284,135,40,6109,2020-03-05 20:30:00,2020-03-05,518
5766,88,35,5643,2020-03-04 22:00:00,2020-03-04,438
5328,41,33,5254,2020-03-03 23:30:00,2020-03-03,516
4812,34,28,4750,2020-03-02 22:00:00,2020-03-02,600
4212,30,22,4160,2020-03-01 23:00:00,2020-03-01,686
3526,30,17,3479,2020-02-29 23:00:00,2020-02-29,595
2931,24,17,2890,2020-02-28 23:00:00,2020-02-28,909
2022,24,13,1985,2020-02-27 22:00:00,2020-02-27,427
1595,24,13,1558,2020-02-26 23:30:00,2020-02-26,449
1146,22,12,1112,2020-02-25 22:00:00,2020-02-25,253
893,22,9,862,2020-02-24 23:00:00,2020-02-24,130
763,18,7,738,2020-02-23 22:00:00,2020-02-23,207
556,18,4,534,2020-02-22 23:00:00,2020-02-22,210
346,17,2,327,2020-02-21 23:00:00,2020-02-21,190
156,16,1,139,2020-02-20 22:00:00,2020-02-20,74
82,16,0,66,2020-02-19 23:00:00,2020-02-19,36
46,16,0,30,2020-02-18 23:00:00,2020-02-18,15
31,12,0,19,2020-02-17 23:00:00,2020-02-17,1
30,9,0,21,2020-02-16 22:30:00,2020-02-16,1
29,9,0,20,2020-02-15 23:00:00,2020-02-15,1
28,7,0,21,2020-02-14 23:00:00,2020-02-14,0
28,7,0,21,2020-02-13 22:00:00,2020-02-13,0
28,4,0,24,2020-02-12 21:30:00,2020-02-12,0
28,4,0,24,2020-02-11 23:00:00,2020-02-11,0
28,3,0,25,2020-02-10 22:30:00,2020-02-10,1
27,3,0,24,2020-02-09 23:00:00,2020-02-09,2
25,2,0,23,2020-02-08 22:00:00,2020-02-08,1
24,2,0,22,2020-02-07 23:00:00,2020-02-07,0
24,1,0,23,2020-02-06 21:30:00,2020-02-06,1
23,1,0,22,2020-02-05 23:00:00,2020-02-05,7
16,0,0,16,2020-02-04 20:00:00,2020-02-04,1
15,0,0,15,2020-02-03 20:00:00,2020-02-03,0
15,0,0,15,2020-02-02 22:00:00,2020-02-02,0
15,0,0,15,2020-02-01 23:00:00,2020-02-01,4
11,0,0,11,2020-01-31 19:00:00,2020-01-31,5
6,0,0,6,2020-01-30 21:30:00,2020-01-30,2
4,0,0,4,2020-01-29 21:00:00,2020-01-29,0
4,0,0,4,2020-01-28 23:00:00,2020-01-28,0
4,0,0,4,2020-01-27 20:30:00,2020-01-27,1
3,0,0,3,2020-01-26 23:00:00,2020-01-26,0
3,0,0,3,2020-01-25 22:00:00,2020-01-25,1
2,0,0,2,2020-01-24 12:00:00,2020-01-24,1
1,0,0,1,2020-01-23 00:00:00,2020-01-23,0
1,0,0,1,2020-01-22 00:00:00,2020-01-22,0
1,0,0,1,2020-01-21 00:00:00,2020-01-21,0
