Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
190839,74797,20002,96040,2020-04-18 15:07:00,,2020-04-18,2771
188068,74797,19478,93793,2020-04-17 22:01:00,,2020-04-17,5252
182816,74797,19130,88889,2020-04-16 21:38:00,,2020-04-16,5183
177633,70853,18579,88201,2020-04-15 20:35:00,,2020-04-15,5092
172541,67504,18056,86981,2020-04-14 23:37:00,,2020-04-14,3045
169496,64727,17489,87280,2020-04-13 21:50:00,,2020-04-13,6469
163027,59109,16606,87312,2020-04-12 21:08:00,,2020-04-12,1175
161852,59109,16353,86390,2020-04-11 07:00:00,,2020-04-11,3579
158273,55668,16081,86524,2020-04-10 22:00:00,,2020-04-10,5051
153222,52165,15447,85610,2020-04-09 22:00:00,,2020-04-09,5002
148220,48021,14792,85407,2020-04-08 23:00:00,,2020-04-08,6278
141942,43208,14045,84689,2020-04-07 23:00:00,,2020-04-07,5267
136675,40437,13341,82897,2020-04-06 23:00:00,,2020-04-06,5029
131646,38080,12641,80925,2020-04-05 23:00:00,,2020-04-05,5478
126168,34219,11947,80002,2020-04-04 23:50:00,,2020-04-04,6969
119199,30513,11198,77488,2020-04-03 23:30:00,,2020-04-03,7134
112065,26743,10348,74974,2020-04-02 23:30:00,,2020-04-02,7947
104118,22647,9387,72084,2020-04-01 23:00:00,,2020-04-01,8195
95923,19259,8464,68200,2020-03-31 23:30:00,,2020-03-31,7967
87956,16780,7716,63460,2020-03-30 22:30:00,,2020-03-30,7846
80110,14709,6803,58598,2020-03-29 23:10:00,,2020-03-29,6875
73235,12285,5982,54968,2020-03-28 23:30:00,,2020-03-28,7516
65719,9357,5138,51224,2020-03-27 23:30:00,,2020-03-27,7933
57786,7015,4365,46406,2020-03-26 22:40:00,,2020-03-26,8271
49515,5367,3647,40501,2020-03-25 22:00:00,,2020-03-25,7457
42058,3794,2991,35273,2020-03-24 22:30:00,,2020-03-24,6922
35136,3355,2311,29470,2020-03-23 23:40:00,,2020-03-23,6368
28768,2575,1772,24421,2020-03-22 22:30:00,,2020-03-22,3272
25496,2125,1381,21990,2020-03-21 23:30:00,,2020-03-21,3925
21571,1588,1093,18890,2020-03-20 22:45:00,,2020-03-20,3494
18077,1107,831,16139,2020-03-19 23:30:00,,2020-03-19,3308
14769,1081,638,13050,2020-03-18 23:30:00,,2020-03-18,2943
11826,1028,533,10265,2020-03-17 22:30:00,,2020-03-17,1884
9942,530,342,9070,2020-03-16 22:00:00,,2020-03-16,2097
7845,517,292,7036,2020-03-15 23:30:00,,2020-03-15,1454
6391,517,196,5678,2020-03-14 22:30:00,,2020-03-14,1159
5232,193,133,4906,2020-03-13 22:00:00,,2020-03-13,2086
3146,189,86,2871,2020-03-12 22:00:00,,2020-03-12,869
2277,183,55,2039,2020-03-11 22:30:00,,2020-03-11,582
1695,135,36,1524,2020-03-10 23:00:00,,2020-03-10,464
1231,32,30,1169,2020-03-09 22:30:00,,2020-03-09,557
674,32,17,625,2020-03-08 22:00:00,,2020-03-08,149
525,30,10,485,2020-03-07 22:00:00,,2020-03-07,125
400,3,6,391,2020-03-06 20:30:00,,2020-03-06,118
282,3,3,276,2020-03-05 20:30:00,,2020-03-05,54
228,2,2,224,2020-03-04 22:00:00,,2020-03-04,63
165,2,1,162,2020-03-03 23:30:00,,2020-03-03,45
120,2,0,118,2020-03-02 22:00:00,,2020-03-02,36
84,2,0,82,2020-03-01 23:00:00,,2020-03-01,26
58,2,0,56,2020-02-29 23:00:00,,2020-02-29,25
33,2,0,31,2020-02-28 23:00:00,,2020-02-28,8
25,2,0,23,2020-02-27 22:00:00,,2020-02-27,12
13,2,0,11,2020-02-26 23:30:00,,2020-02-26,4
9,2,0,7,2020-02-25 22:00:00,,2020-02-25,6
3,2,0,1,2020-02-24 23:00:00,,2020-02-24,1
2,2,0,0,2020-02-23 22:00:00,,2020-02-23,0
2,2,0,0,2020-02-22 23:00:00,,2020-02-22,0
2,2,0,0,2020-02-21 23:00:00,,2020-02-21,0
2,2,0,0,2020-02-20 22:00:00,,2020-02-20,0
2,2,0,0,2020-02-19 23:00:00,,2020-02-19,0
2,2,0,0,2020-02-18 23:00:00,,2020-02-18,0
2,2,0,0,2020-02-17 23:00:00,,2020-02-17,0
2,2,0,0,2020-02-16 22:30:00,,2020-02-16,0
2,2,0,0,2020-02-15 23:00:00,,2020-02-15,0
2,1,0,1,2020-02-14 23:00:00,,2020-02-14,0
2,0,0,2,2020-02-13 22:00:00,,2020-02-13,0
2,0,0,2,2020-02-12 21:30:00,,2020-02-12,0
2,0,0,2,2020-02-11 23:00:00,,2020-02-11,0
2,0,0,2,2020-02-10 22:30:00,,2020-02-10,0
2,0,0,2,2020-02-09 23:00:00,,2020-02-09,1
1,0,0,1,2020-02-08 22:00:00,,2020-02-08,0
1,0,0,1,2020-02-07 23:00:00,,2020-02-07,0
1,0,0,1,2020-02-06 21:30:00,,2020-02-06,0
1,0,0,1,2020-02-05 23:00:00,,2020-02-05,0
1,0,0,1,2020-02-04 20:00:00,,2020-02-04,0
1,0,0,1,2020-02-03 20:00:00,,2020-02-03,0
1,0,0,1,2020-02-02 22:00:00,,2020-02-02,0
1,0,0,1,2020-02-01 23:00:00,,2020-02-01,0
1,0,0,1,2020-01-31 19:00:00,,2020-01-31,0
