Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
771,215,9,547,2020-05-06 17:43:00,2020-05-06,81
690,162,7,521,2020-05-01 21:43:00,2020-05-01,94
596,134,7,455,2020-04-28 20:02:00,2020-04-28,73
523,126,7,390,2020-04-27 14:50:00,2020-04-27,56
467,120,7,340,2020-04-26 15:29:00,2020-04-26,47
420,116,7,297,2020-04-25 17:01:00,2020-04-25,47
373,107,7,259,2020-04-24 15:23:00,2020-04-24,39
334,105,7,222,2020-04-23 16:20:00,2020-04-23,13
321,104,7,210,2020-04-22 16:22:00,2020-04-22,12
309,100,7,202,2020-04-21 17:14:00,2020-04-21,14
295,97,7,191,2020-04-20 16:35:00,2020-04-20,39
256,91,7,158,2020-04-19 16:30:00,2020-04-19,12
244,77,7,160,2020-04-18 15:07:00,2020-04-18,2
242,77,7,158,2020-04-17 22:01:00,2020-04-17,4
238,68,7,163,2020-04-16 21:38:00,2020-04-16,3
235,63,7,165,2020-04-15 20:35:00,2020-04-15,2
233,61,7,165,2020-04-14 23:37:00,2020-04-14,16
217,56,7,154,2020-04-13 21:50:00,2020-04-13,14
203,55,7,141,2020-04-12 21:08:00,2020-04-12,6
197,54,7,136,2020-04-11 07:00:00,2020-04-11,0
197,54,7,136,2020-04-10 22:00:00,2020-04-10,7
190,49,7,134,2020-04-09 22:00:00,2020-04-09,1
189,44,7,138,2020-04-08 23:00:00,2020-04-08,4
185,42,6,137,2020-04-07 23:00:00,2020-04-07,7
178,38,5,135,2020-04-06 23:00:00,2020-04-06,2
176,33,5,138,2020-04-05 23:00:00,2020-04-05,10
166,27,5,134,2020-04-04 23:50:00,2020-04-04,7
159,24,5,130,2020-04-03 23:30:00,2020-04-03,8
151,21,4,126,2020-04-02 23:30:00,2020-04-02,5
146,21,3,122,2020-04-01 23:00:00,2020-04-01,3
143,17,2,124,2020-03-31 23:30:00,2020-03-31,21
122,15,2,105,2020-03-30 22:30:00,2020-03-30,5
117,11,1,105,2020-03-29 23:10:00,2020-03-29,4
