Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
14385,550,1540,12295,2020-04-20 00:24:00,2020-04-20,563
13822,550,1511,11761,2020-04-19 16:30:00,2020-04-19,606
13216,550,1400,11266,2020-04-18 15:07:00,2020-04-18,0
13216,550,1400,11266,2020-04-17 22:01:00,2020-04-17,676
12540,550,1333,10657,2020-04-16 21:38:00,2020-04-16,613
11927,381,1203,10343,2020-04-15 20:35:00,2020-04-15,482
11445,381,1033,10031,2020-04-14 23:37:00,2020-04-14,497
10948,381,919,9648,2020-04-13 21:50:00,2020-04-13,797
10151,381,887,8883,2020-04-12 21:08:00,2020-04-12,466
9685,381,870,8434,2020-04-11 07:00:00,2020-04-11,0
9685,381,870,8434,2020-04-10 22:00:00,2020-04-10,544
9141,205,793,8143,2020-04-09 22:00:00,2020-04-09,722
8419,205,687,7527,2020-04-08 23:00:00,2020-04-08,726
7693,205,591,6897,2020-04-07 23:00:00,2020-04-07,487
7206,205,477,6524,2020-04-06 23:00:00,2020-04-06,376
6830,205,401,6224,2020-04-05 23:00:00,2020-04-05,387
6443,205,373,5865,2020-04-04 23:50:00,2020-04-04,312
6131,205,358,5568,2020-04-03 23:30:00,2020-04-03,563
5568,103,308,5157,2020-04-02 23:30:00,2020-04-02,621
4947,103,239,4605,2020-04-01 23:00:00,2020-04-01,512
4435,16,180,4239,2020-03-31 23:30:00,2020-03-31,407
4028,16,146,3866,2020-03-30 22:30:00,2020-03-30,328
3700,16,110,3574,2020-03-29 23:10:00,2020-03-29,253
3447,16,105,3326,2020-03-28 23:30:00,2020-03-28,378
3069,16,105,2948,2020-03-27 23:30:00,2020-03-27,229
2840,16,77,2747,2020-03-26 22:40:00,2020-03-26,314
2526,16,62,2448,2020-03-25 22:00:00,2020-03-25,227
2299,16,40,2243,2020-03-24 22:30:00,2020-03-24,253
2046,16,27,2003,2020-03-23 23:40:00,2020-03-23,112
1934,16,21,1897,2020-03-22 22:30:00,2020-03-22,164
1770,16,20,1734,2020-03-21 23:30:00,2020-03-21,131
1639,16,16,1607,2020-03-20 22:45:00,2020-03-20,200
1439,16,11,1412,2020-03-19 23:30:00,2020-03-19,138
1301,15,10,1276,2020-03-18 23:30:00,2020-03-18,105
1196,1,8,1187,2020-03-17 22:30:00,2020-03-17,75
1121,1,7,1113,2020-03-16 22:00:00,2020-03-16,81
1040,1,3,1036,2020-03-15 23:30:00,2020-03-15,79
961,1,2,958,2020-03-14 22:30:00,2020-03-14,147
814,1,1,812,2020-03-13 22:00:00,2020-03-13,127
687,1,1,685,2020-03-12 22:00:00,2020-03-12,187
500,1,1,498,2020-03-11 22:30:00,2020-03-11,145
355,1,0,354,2020-03-10 23:00:00,2020-03-10,94
261,1,0,260,2020-03-09 22:30:00,2020-03-09,58
203,1,0,202,2020-03-08 22:00:00,2020-03-08,42
161,1,0,160,2020-03-07 22:00:00,2020-03-07,25
136,1,0,135,2020-03-06 20:30:00,2020-03-06,42
94,1,0,93,2020-03-05 20:30:00,2020-03-05,42
52,1,0,51,2020-03-04 22:00:00,2020-03-04,22
30,0,0,30,2020-03-03 23:30:00,2020-03-03,15
15,0,0,15,2020-03-02 22:00:00,2020-03-02,1
14,0,0,14,2020-03-01 23:00:00,2020-03-01,2
12,0,0,12,2020-02-29 23:00:00,2020-02-29,1
11,0,0,11,2020-02-28 23:00:00,2020-02-28,4
7,0,0,7,2020-02-27 22:00:00,2020-02-27,5
2,0,0,2,2020-02-26 23:30:00,2020-02-26,1
1,0,0,1,2020-02-25 22:00:00,2020-02-25,0
1,0,0,1,2020-02-24 23:00:00,2020-02-24,0
1,0,0,1,2020-02-23 22:00:00,2020-02-23,0
1,0,0,1,2020-02-22 23:00:00,2020-02-22,0
1,0,0,1,2020-02-21 23:00:00,2020-02-21,0
1,0,0,1,2020-02-20 22:00:00,2020-02-20,0
1,0,0,1,2020-02-19 23:00:00,2020-02-19,0
1,0,0,1,2020-02-18 23:00:00,2020-02-18,0
1,0,0,1,2020-02-17 23:00:00,2020-02-17,0
1,0,0,1,2020-02-16 22:30:00,2020-02-16,0
1,0,0,1,2020-02-15 23:00:00,2020-02-15,0
1,0,0,1,2020-02-14 23:00:00,2020-02-14,0
1,0,0,1,2020-02-13 22:00:00,2020-02-13,0
1,0,0,1,2020-02-12 21:30:00,2020-02-12,0
1,0,0,1,2020-02-11 23:00:00,2020-02-11,0
1,0,0,1,2020-02-10 22:30:00,2020-02-10,0
1,0,0,1,2020-02-09 23:00:00,2020-02-09,0
1,0,0,1,2020-02-08 22:00:00,2020-02-08,0
1,0,0,1,2020-02-07 23:00:00,2020-02-07,0
1,0,0,1,2020-02-06 21:30:00,2020-02-06,0
1,0,0,1,2020-02-05 23:00:00,2020-02-05,0
1,0,0,1,2020-02-04 20:00:00,2020-02-04,0
1,0,0,1,2020-02-03 20:00:00,2020-02-03,0
1,0,0,1,2020-02-02 22:00:00,2020-02-02,0
1,0,0,1,2020-02-01 23:00:00,2020-02-01,0
1,0,0,1,2020-01-31 19:00:00,2020-01-31,1
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
