Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
27404,17100,1366,8938,2020-04-19 00:12:00,,2020-04-19,326
27078,16400,1336,9342,2020-04-18 15:07:00,,2020-04-18,0
27078,15900,1325,9853,2020-04-17 22:01:00,,2020-04-17,346
26732,15400,1281,10051,2020-04-16 21:38:00,,2020-04-16,396
26336,14700,1226,10410,2020-04-15 20:35:00,,2020-04-15,400
25936,13700,1174,11062,2020-04-14 23:37:00,,2020-04-14,248
25688,12700,1138,11850,2020-04-13 21:50:00,,2020-04-13,581
25107,12100,1036,11971,2020-04-12 21:08:00,,2020-04-12,207
24900,11100,1003,12797,2020-04-11 07:00:00,,2020-04-11,349
24551,11100,1002,12449,2020-04-10 22:00:00,,2020-04-10,500
24051,10600,948,12503,2020-04-09 22:00:00,,2020-04-09,771
23280,9800,895,12585,2020-04-08 23:00:00,,2020-04-08,1027
22253,8704,821,12728,2020-04-07 23:00:00,,2020-04-07,596
21657,8056,765,12836,2020-04-06 23:00:00,,2020-04-06,557
21100,6415,715,13970,2020-04-05 23:00:00,,2020-04-05,595
20505,6415,666,13424,2020-04-04 23:50:00,,2020-04-04,899
19606,4846,591,14169,2020-04-03 23:30:00,,2020-04-03,779
18827,4013,536,14278,2020-04-02 23:30:00,,2020-04-02,1059
17768,2967,488,14313,2020-04-01 23:00:00,,2020-04-01,1163
16605,1823,433,14349,2020-03-31 23:30:00,,2020-03-31,683
15922,1823,359,13740,2020-03-30 22:30:00,,2020-03-30,1093
14829,1595,300,12934,2020-03-29 23:10:00,,2020-03-29,753
14076,1530,264,12282,2020-03-28 23:30:00,,2020-03-28,1148
12928,1530,231,11167,2020-03-27 23:30:00,,2020-03-27,1117
11811,131,192,11488,2020-03-26 22:40:00,,2020-03-26,914
10897,131,153,10613,2020-03-25 22:00:00,,2020-03-25,1020
9877,131,122,9624,2020-03-24 22:30:00,,2020-03-24,1082
8795,131,120,8544,2020-03-23 23:40:00,,2020-03-23,1321
7474,131,98,7245,2020-03-22 22:30:00,,2020-03-22,611
6863,131,80,6652,2020-03-21 23:30:00,,2020-03-21,1248
5615,15,56,5544,2020-03-20 22:45:00,,2020-03-20,1393
4222,15,43,4164,2020-03-19 23:30:00,,2020-03-19,1107
3115,15,33,3067,2020-03-18 23:30:00,,2020-03-18,373
2742,15,27,2700,2020-03-17 22:30:00,,2020-03-17,389
2353,4,19,2330,2020-03-16 22:00:00,,2020-03-16,136
2217,4,14,2199,2020-03-15 23:30:00,,2020-03-15,842
1375,4,13,1358,2020-03-14 22:30:00,,2020-03-14,236
1139,4,11,1124,2020-03-13 22:00:00,,2020-03-13,271
868,4,7,857,2020-03-12 22:00:00,,2020-03-12,216
652,4,4,644,2020-03-11 22:30:00,,2020-03-11,155
497,3,3,491,2020-03-10 23:00:00,,2020-03-10,123
374,3,2,369,2020-03-09 22:30:00,,2020-03-09,42
332,3,2,327,2020-03-08 22:00:00,,2020-03-08,64
268,3,1,264,2020-03-07 22:00:00,,2020-03-07,54
214,3,1,210,2020-03-06 20:30:00,,2020-03-06,94
120,3,1,116,2020-03-05 20:30:00,,2020-03-05,27
93,3,0,90,2020-03-04 22:00:00,,2020-03-04,35
58,2,0,56,2020-03-03 23:30:00,,2020-03-03,28
30,1,0,29,2020-03-02 22:00:00,,2020-03-02,6
24,1,0,23,2020-03-01 23:00:00,,2020-03-01,5
19,0,0,19,2020-02-29 23:00:00,,2020-02-29,4
15,0,0,15,2020-02-28 23:00:00,,2020-02-28,7
8,0,0,8,2020-02-27 22:00:00,,2020-02-27,7
1,0,0,1,2020-02-26 23:30:00,,2020-02-26,0
1,0,0,1,2020-02-25 22:00:00,,2020-02-25,0
