Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
25,5,2,18,2020-04-14 11:44:00,,2020-04-14,0
25,5,2,18,2020-04-13 21:50:00,,2020-04-13,0
25,5,2,18,2020-04-12 21:08:00,,2020-04-12,6
19,4,2,13,2020-04-11 07:00:00,,2020-04-11,0
19,4,2,13,2020-04-10 22:00:00,,2020-04-10,0
19,4,2,13,2020-04-09 22:00:00,,2020-04-09,0
19,4,2,13,2020-04-08 23:00:00,,2020-04-08,0
19,3,2,14,2020-04-07 23:00:00,,2020-04-07,0
19,2,2,15,2020-04-06 23:00:00,,2020-04-06,0
19,2,2,15,2020-04-05 23:00:00,,2020-04-05,3
16,2,2,12,2020-04-04 23:50:00,,2020-04-04,0
16,0,2,14,2020-04-03 23:30:00,,2020-04-03,0
16,0,2,14,2020-04-02 23:30:00,,2020-04-02,6
10,0,2,8,2020-04-01 23:00:00,,2020-04-01,0
10,0,2,8,2020-03-31 23:30:00,,2020-03-31,0
10,0,2,8,2020-03-30 22:30:00,,2020-03-30,1
9,0,1,8,2020-03-29 23:10:00,,2020-03-29,4
5,0,0,5,2020-03-28 23:30:00,,2020-03-28,0
5,0,0,5,2020-03-27 23:30:00,,2020-03-27,0
5,0,0,5,2020-03-26 22:40:00,,2020-03-26,0
5,0,0,5,2020-03-25 22:00:00,,2020-03-25,4
1,0,0,1,2020-03-24 22:30:00,,2020-03-24,0
1,0,0,1,2020-03-23 23:40:00,,2020-03-23,0
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
