Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
428,264,6,158,2020-04-25 01:28:00,2020-04-25,0
428,264,6,158,2020-04-24 15:23:00,2020-04-24,1
427,253,6,168,2020-04-23 16:20:00,2020-04-23,1
426,236,6,184,2020-04-22 16:22:00,2020-04-22,1
425,217,6,202,2020-04-21 17:14:00,2020-04-21,3
422,203,6,213,2020-04-20 16:35:00,2020-04-20,2
420,189,6,225,2020-04-19 16:30:00,2020-04-19,22
398,178,6,214,2020-04-18 15:07:00,2020-04-18,3
395,166,6,223,2020-04-17 22:01:00,2020-04-17,0
395,155,6,234,2020-04-16 21:38:00,2020-04-16,0
395,137,6,252,2020-04-15 20:35:00,2020-04-15,2
393,124,6,263,2020-04-14 23:37:00,2020-04-14,0
393,114,6,273,2020-04-13 21:50:00,2020-04-13,5
388,109,6,273,2020-04-12 21:08:00,2020-04-12,3
385,99,6,280,2020-04-11 07:00:00,2020-04-11,3
382,91,6,285,2020-04-10 22:00:00,2020-04-10,2
380,80,5,295,2020-04-09 22:00:00,2020-04-09,1
379,67,5,307,2020-04-08 23:00:00,2020-04-08,3
376,61,5,310,2020-04-07 23:00:00,2020-04-07,3
373,57,5,311,2020-04-06 23:00:00,2020-04-06,10
363,54,5,304,2020-04-05 23:00:00,2020-04-05,8
355,50,5,300,2020-04-04 23:50:00,2020-04-04,7
348,50,5,293,2020-04-03 23:30:00,2020-04-03,9
339,50,5,284,2020-04-02 23:30:00,2020-04-02,10
329,45,5,279,2020-04-01 23:00:00,2020-04-01,7
322,39,5,278,2020-03-31 23:30:00,2020-03-31,16
306,39,5,262,2020-03-30 22:30:00,2020-03-30,8
298,39,3,256,2020-03-29 23:10:00,2020-03-29,15
283,30,2,251,2020-03-28 23:30:00,2020-03-28,16
267,30,2,235,2020-03-27 23:30:00,2020-03-27,15
252,29,2,221,2020-03-26 22:40:00,2020-03-26,17
235,29,2,204,2020-03-25 22:00:00,2020-03-25,19
216,29,2,185,2020-03-24 22:30:00,2020-03-24,21
195,28,2,165,2020-03-23 23:40:00,2020-03-23,26
169,28,2,139,2020-03-22 22:30:00,2020-03-22,16
153,28,2,123,2020-03-21 23:30:00,2020-03-21,18
135,28,2,105,2020-03-20 22:45:00,2020-03-20,27
108,26,1,81,2020-03-19 23:30:00,2020-03-19,8
100,22,1,77,2020-03-18 23:30:00,2020-03-18,23
77,20,1,56,2020-03-17 22:30:00,2020-03-17,10
67,20,1,46,2020-03-16 22:00:00,2020-03-16,8
59,20,1,38,2020-03-15 23:30:00,2020-03-15,6
53,20,1,32,2020-03-14 22:30:00,2020-03-14,3
50,20,1,29,2020-03-13 22:00:00,2020-03-13,1
49,20,1,28,2020-03-12 22:00:00,2020-03-12,1
48,17,1,30,2020-03-11 22:30:00,2020-03-11,1
47,17,1,29,2020-03-10 23:00:00,2020-03-10,2
45,15,1,29,2020-03-09 22:30:00,2020-03-09,0
45,15,1,29,2020-03-08 22:00:00,2020-03-08,0
45,15,1,29,2020-03-07 22:00:00,2020-03-07,0
45,15,1,29,2020-03-06 20:30:00,2020-03-06,1
44,12,1,31,2020-03-05 20:30:00,2020-03-05,2
42,12,1,29,2020-03-04 22:00:00,2020-03-04,0
42,12,1,29,2020-03-03 23:30:00,2020-03-03,1
41,12,1,28,2020-03-02 22:00:00,2020-03-02,1
40,12,1,27,2020-03-01 23:00:00,2020-03-01,1
39,9,1,29,2020-02-29 23:00:00,2020-02-29,5
34,9,1,24,2020-02-28 23:00:00,2020-02-28,2
32,6,1,25,2020-02-27 22:00:00,2020-02-27,0
32,5,1,26,2020-02-26 23:30:00,2020-02-26,1
31,5,1,25,2020-02-25 22:00:00,2020-02-25,1
30,5,1,24,2020-02-24 23:00:00,2020-02-24,2
28,2,1,25,2020-02-23 22:00:00,2020-02-23,2
26,2,1,23,2020-02-22 23:00:00,2020-02-22,0
26,2,1,23,2020-02-21 23:00:00,2020-02-21,2
24,2,1,21,2020-02-20 22:00:00,2020-02-20,0
24,2,1,21,2020-02-19 23:00:00,2020-02-19,2
22,2,1,19,2020-02-18 23:00:00,2020-02-18,0
22,2,1,19,2020-02-17 23:00:00,2020-02-17,2
20,2,1,17,2020-02-16 22:30:00,2020-02-16,2
18,2,0,16,2020-02-15 23:00:00,2020-02-15,0
18,2,0,16,2020-02-14 23:00:00,2020-02-14,0
18,2,0,16,2020-02-13 22:00:00,2020-02-13,0
18,1,0,17,2020-02-12 21:30:00,2020-02-12,0
18,1,0,17,2020-02-11 23:00:00,2020-02-11,0
18,1,0,17,2020-02-10 22:30:00,2020-02-10,0
18,1,0,17,2020-02-09 23:00:00,2020-02-09,1
17,1,0,16,2020-02-08 22:00:00,2020-02-08,1
16,1,0,15,2020-02-07 23:00:00,2020-02-07,0
16,1,0,15,2020-02-06 21:30:00,2020-02-06,5
11,0,0,11,2020-02-05 23:00:00,2020-02-05,0
11,0,0,11,2020-02-04 20:00:00,2020-02-04,1
10,0,0,10,2020-02-03 20:00:00,2020-02-03,0
10,0,0,10,2020-02-02 22:00:00,2020-02-02,0
10,0,0,10,2020-02-01 23:00:00,2020-02-01,0
10,0,0,10,2020-01-31 19:00:00,2020-01-31,1
9,0,0,9,2020-01-30 21:30:00,2020-01-30,1
8,0,0,8,2020-01-29 21:00:00,2020-01-29,0
8,0,0,8,2020-01-28 23:00:00,2020-01-28,3
5,0,0,5,2020-01-27 20:30:00,2020-01-27,1
4,0,0,4,2020-01-26 23:00:00,2020-01-26,1
3,0,0,3,2020-01-25 22:00:00,2020-01-25,0
3,0,0,3,2020-01-24 12:00:00,2020-01-24,2
1,0,0,1,2020-01-23 00:00:00,2020-01-23,1
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
