Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
88,11,4,73,2020-04-16 02:00:00,,2020-04-16,29
59,7,3,49,2020-04-15 20:35:00,,2020-04-15,6
53,7,3,43,2020-04-14 23:37:00,,2020-04-14,7
46,7,3,36,2020-04-13 21:50:00,,2020-04-13,14
32,5,3,24,2020-04-12 21:08:00,,2020-04-12,0
32,5,3,24,2020-04-11 07:00:00,,2020-04-11,0
32,5,3,24,2020-04-10 22:00:00,,2020-04-10,7
25,5,1,19,2020-04-09 22:00:00,,2020-04-09,0
25,5,1,19,2020-04-08 23:00:00,,2020-04-08,1
24,5,1,18,2020-04-07 23:00:00,,2020-04-07,0
24,3,1,20,2020-04-06 23:00:00,,2020-04-06,2
22,3,1,18,2020-04-05 23:00:00,,2020-04-05,2
20,3,1,16,2020-04-04 23:50:00,,2020-04-04,0
20,3,1,16,2020-04-03 23:30:00,,2020-04-03,0
20,2,1,17,2020-04-02 23:30:00,,2020-04-02,0
20,1,1,18,2020-04-01 23:00:00,,2020-04-01,1
19,1,1,17,2020-03-31 23:30:00,,2020-03-31,0
19,1,0,18,2020-03-30 22:30:00,,2020-03-30,5
14,1,0,13,2020-03-29 23:10:00,,2020-03-29,0
14,1,0,13,2020-03-28 23:30:00,,2020-03-28,1
13,1,0,12,2020-03-27 23:30:00,,2020-03-27,0
13,0,0,13,2020-03-26 22:40:00,,2020-03-26,0
13,0,0,13,2020-03-25 22:00:00,,2020-03-25,1
12,0,0,12,2020-03-24 22:30:00,,2020-03-24,0
12,0,0,12,2020-03-23 23:40:00,,2020-03-23,0
12,0,0,12,2020-03-22 22:30:00,,2020-03-22,6
6,0,0,6,2020-03-21 23:30:00,,2020-03-21,0
6,0,0,6,2020-03-20 22:45:00,,2020-03-20,0
6,0,0,6,2020-03-19 23:30:00,,2020-03-19,3
3,0,0,3,2020-03-18 23:30:00,,2020-03-18,2
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
