Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
2643,1497,43,1103,2020-04-15 14:50:00,2020-04-15,30
2613,1405,41,1167,2020-04-14 23:37:00,2020-04-14,34
2579,1288,40,1251,2020-04-13 21:50:00,2020-04-13,28
2551,1218,38,1295,2020-04-12 21:08:00,2020-04-12,33
2518,1135,35,1348,2020-04-11 07:00:00,2020-04-11,45
2473,1013,33,1427,2020-04-10 22:00:00,2020-04-10,50
2423,940,32,1451,2020-04-09 22:00:00,2020-04-09,54
2369,888,30,1451,2020-04-08 23:00:00,2020-04-08,111
2258,888,27,1343,2020-04-07 23:00:00,2020-04-07,38
2220,793,26,1401,2020-04-06 23:00:00,2020-04-06,51
2169,793,23,1353,2020-04-05 23:00:00,2020-04-05,102
2067,674,20,1373,2020-04-04 23:50:00,2020-04-04,89
1978,612,19,1347,2020-04-03 23:30:00,2020-04-03,103
1875,505,15,1355,2020-04-02 23:30:00,2020-04-02,104
1771,505,12,1254,2020-04-01 23:00:00,2020-04-01,120
1651,342,10,1299,2020-03-31 23:30:00,2020-03-31,127
1524,229,9,1286,2020-03-30 22:30:00,2020-03-30,136
1388,229,7,1152,2020-03-29 23:10:00,2020-03-29,143
1245,97,6,1142,2020-03-28 23:30:00,2020-03-28,109
1136,97,5,1034,2020-03-27 23:30:00,2020-03-27,91
1045,88,4,953,2020-03-26 22:40:00,2020-03-26,111
934,70,4,860,2020-03-25 22:00:00,2020-03-25,107
827,52,4,771,2020-03-24 22:30:00,2020-03-24,0
827,52,4,771,2020-03-23 23:40:00,2020-03-23,228
599,44,1,554,2020-03-22 22:30:00,2020-03-22,188
411,44,1,366,2020-03-21 23:30:00,2020-03-21,89
322,42,1,279,2020-03-20 22:45:00,2020-03-20,50
272,42,1,229,2020-03-19 23:30:00,2020-03-19,60
212,42,1,169,2020-03-18 23:30:00,2020-03-18,35
177,41,1,135,2020-03-17 22:30:00,2020-03-17,30
147,35,1,111,2020-03-16 22:00:00,2020-03-16,33
114,35,1,78,2020-03-15 23:30:00,2020-03-15,32
82,35,1,46,2020-03-14 22:30:00,2020-03-14,7
75,35,1,39,2020-03-13 22:00:00,2020-03-13,5
70,35,1,34,2020-03-12 22:00:00,2020-03-12,11
59,34,1,24,2020-03-11 22:30:00,2020-03-11,6
53,33,1,19,2020-03-10 23:00:00,2020-03-10,3
50,33,1,16,2020-03-09 22:30:00,2020-03-09,0
50,33,1,16,2020-03-08 22:00:00,2020-03-08,0
50,31,1,18,2020-03-07 22:00:00,2020-03-07,2
48,31,1,16,2020-03-06 20:30:00,2020-03-06,1
47,31,1,15,2020-03-05 20:30:00,2020-03-05,4
43,30,1,12,2020-03-04 22:00:00,2020-03-04,0
43,30,1,12,2020-03-03 23:30:00,2020-03-03,0
43,30,1,12,2020-03-02 22:00:00,2020-03-02,1
42,30,1,11,2020-03-01 23:00:00,2020-03-01,0
42,28,0,14,2020-02-29 23:00:00,2020-02-29,1
41,28,0,13,2020-02-28 23:00:00,2020-02-28,1
40,22,0,18,2020-02-27 22:00:00,2020-02-27,0
40,22,0,18,2020-02-26 23:30:00,2020-02-26,3
37,22,0,15,2020-02-25 22:00:00,2020-02-25,2
35,21,0,14,2020-02-24 23:00:00,2020-02-24,0
35,15,0,20,2020-02-23 22:00:00,2020-02-23,0
35,15,0,20,2020-02-22 23:00:00,2020-02-22,0
35,15,0,20,2020-02-21 23:00:00,2020-02-21,0
35,15,0,20,2020-02-20 22:00:00,2020-02-20,0
35,15,0,20,2020-02-19 23:00:00,2020-02-19,0
35,15,0,20,2020-02-18 23:00:00,2020-02-18,0
35,15,0,20,2020-02-17 23:00:00,2020-02-17,1
34,14,0,20,2020-02-16 22:30:00,2020-02-16,0
34,14,0,20,2020-02-15 23:00:00,2020-02-15,1
33,13,0,20,2020-02-14 23:00:00,2020-02-14,0
33,12,0,21,2020-02-13 22:00:00,2020-02-13,0
33,10,0,23,2020-02-12 21:30:00,2020-02-12,0
33,10,0,23,2020-02-11 23:00:00,2020-02-11,1
32,10,0,22,2020-02-10 22:30:00,2020-02-10,0
32,10,0,22,2020-02-09 23:00:00,2020-02-09,0
32,10,0,22,2020-02-08 22:00:00,2020-02-08,7
25,9,0,16,2020-02-07 23:00:00,2020-02-07,0
25,8,0,17,2020-02-06 21:30:00,2020-02-06,0
25,8,0,17,2020-02-05 23:00:00,2020-02-05,0
25,8,0,17,2020-02-04 20:00:00,2020-02-04,6
19,7,0,12,2020-02-03 20:00:00,2020-02-03,0
19,7,0,12,2020-02-02 22:00:00,2020-02-02,0
19,5,0,14,2020-02-01 23:00:00,2020-02-01,0
19,7,0,12,2020-01-31 19:00:00,2020-01-31,5
14,5,0,9,2020-01-30 21:30:00,2020-01-30,0
14,5,0,9,2020-01-29 21:00:00,2020-01-29,0
14,5,0,9,2020-01-28 23:00:00,2020-01-28,6
8,2,0,6,2020-01-27 20:30:00,2020-01-27,0
8,2,0,6,2020-01-26 23:00:00,2020-01-26,1
7,0,0,7,2020-01-25 22:00:00,2020-01-25,2
5,0,0,5,2020-01-24 12:00:00,2020-01-24,2
3,0,0,3,2020-01-23 00:00:00,2020-01-23,1
2,0,0,2,2020-01-22 00:00:00,2020-01-22,0
2,0,0,2,2020-01-21 00:00:00,2020-01-21,0
