Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
18,1,0,17,2020-04-19 00:12:00,,2020-04-19,0
18,1,0,17,2020-04-18 15:07:00,,2020-04-18,0
18,1,0,17,2020-04-17 22:01:00,,2020-04-17,0
18,1,0,17,2020-04-16 21:38:00,,2020-04-16,10
8,1,0,7,2020-04-15 20:35:00,,2020-04-15,2
6,1,0,5,2020-04-14 23:37:00,,2020-04-14,2
4,1,0,3,2020-04-13 21:50:00,,2020-04-13,2
2,1,0,1,2020-04-12 21:08:00,,2020-04-12,0
2,1,0,1,2020-04-11 07:00:00,,2020-04-11,0
2,1,0,1,2020-04-10 22:00:00,,2020-04-10,1
1,0,0,1,2020-04-09 22:00:00,,2020-04-09,0
1,0,0,1,2020-04-08 23:00:00,,2020-04-08,0
1,0,0,1,2020-04-07 23:00:00,,2020-04-07,0
1,0,0,1,2020-04-06 23:00:00,,2020-04-06,0
1,0,0,1,2020-04-05 23:00:00,,2020-04-05,0
1,0,0,1,2020-04-04 23:50:00,,2020-04-04,0
1,0,0,1,2020-04-03 23:30:00,,2020-04-03,0
1,0,0,1,2020-04-02 23:30:00,,2020-04-02,0
1,0,0,1,2020-04-01 23:00:00,,2020-04-01,0
1,0,0,1,2020-03-31 23:30:00,,2020-03-31,0
1,0,0,1,2020-03-30 22:30:00,,2020-03-30,0
1,0,0,1,2020-03-29 23:10:00,,2020-03-29,0
1,0,0,1,2020-03-28 23:30:00,,2020-03-28,0
1,0,0,1,2020-03-27 23:30:00,,2020-03-27,0
1,0,0,1,2020-03-26 22:40:00,,2020-03-26,0
1,0,0,1,2020-03-25 22:00:00,,2020-03-25,0
1,0,0,1,2020-03-24 22:30:00,,2020-03-24,0
1,0,0,1,2020-03-23 23:40:00,,2020-03-23,0
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
