Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
77,32,3,42,2020-04-15 14:50:00,,2020-04-15,0
77,32,3,42,2020-04-14 23:37:00,,2020-04-14,0
77,29,3,45,2020-04-13 21:50:00,,2020-04-13,1
76,25,3,48,2020-04-12 21:08:00,,2020-04-12,0
76,25,3,48,2020-04-11 07:00:00,,2020-04-11,0
76,25,3,48,2020-04-10 22:00:00,,2020-04-10,3
73,24,3,46,2020-04-09 22:00:00,,2020-04-09,3
70,23,3,44,2020-04-08 23:00:00,,2020-04-08,5
65,23,3,39,2020-04-07 23:00:00,,2020-04-07,7
58,23,3,32,2020-04-06 23:00:00,,2020-04-06,14
44,20,3,21,2020-04-05 23:00:00,,2020-04-05,3
41,17,3,21,2020-04-04 23:50:00,,2020-04-04,1
40,17,3,20,2020-04-03 23:30:00,,2020-04-03,1
39,17,2,20,2020-04-02 23:30:00,,2020-04-02,3
36,10,2,24,2020-04-01 23:00:00,,2020-04-01,2
34,10,1,23,2020-03-31 23:30:00,,2020-03-31,4
30,1,1,28,2020-03-30 22:30:00,,2020-03-30,0
30,1,1,28,2020-03-29 23:10:00,,2020-03-29,5
25,1,1,23,2020-03-28 23:30:00,,2020-03-28,0
25,1,1,23,2020-03-27 23:30:00,,2020-03-27,1
24,1,0,23,2020-03-26 22:40:00,,2020-03-26,1
23,1,0,22,2020-03-25 22:00:00,,2020-03-25,3
20,1,0,19,2020-03-24 22:30:00,,2020-03-24,2
18,0,0,18,2020-03-23 23:40:00,,2020-03-23,2
16,0,0,16,2020-03-22 22:30:00,,2020-03-22,0
16,0,0,16,2020-03-21 23:30:00,,2020-03-21,7
9,0,0,9,2020-03-20 22:45:00,,2020-03-20,8
1,0,0,1,2020-03-19 23:30:00,,2020-03-19,0
1,0,0,1,2020-03-18 23:30:00,,2020-03-18,0
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
1,0,0,1,2020-03-15 23:30:00,,2020-03-15,0
1,0,0,1,2020-03-14 22:30:00,,2020-03-14,0
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
1,0,0,1,2020-03-12 22:00:00,,2020-03-12,0
1,0,0,1,2020-03-11 22:30:00,,2020-03-11,0
1,0,0,1,2020-03-10 23:00:00,,2020-03-10,0
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
