Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
114,19,8,87,2020-04-15 20:35:00,,2020-04-15,1
113,17,8,88,2020-04-14 23:37:00,,2020-04-14,0
113,16,8,89,2020-04-13 21:50:00,,2020-04-13,1
112,12,8,92,2020-04-12 21:08:00,,2020-04-12,3
109,3,8,98,2020-04-11 07:00:00,,2020-04-11,0
109,3,8,98,2020-04-10 22:00:00,,2020-04-10,0
109,1,8,100,2020-04-09 22:00:00,,2020-04-09,2
107,1,8,98,2020-04-08 23:00:00,,2020-04-08,0
107,1,8,98,2020-04-07 23:00:00,,2020-04-07,2
105,1,8,96,2020-04-06 23:00:00,,2020-04-06,0
105,1,7,97,2020-04-05 23:00:00,,2020-04-05,2
103,1,6,96,2020-04-04 23:50:00,,2020-04-04,3
100,1,6,93,2020-04-03 23:30:00,,2020-04-03,3
97,1,6,90,2020-04-02 23:30:00,,2020-04-02,7
90,1,5,84,2020-04-01 23:00:00,,2020-04-01,3
87,1,4,82,2020-03-31 23:30:00,,2020-03-31,2
85,1,3,81,2020-03-30 22:30:00,,2020-03-30,7
78,1,3,74,2020-03-29 23:10:00,,2020-03-29,2
76,1,3,72,2020-03-28 23:30:00,,2020-03-28,10
66,1,2,63,2020-03-27 23:30:00,,2020-03-27,1
65,0,1,64,2020-03-26 22:40:00,,2020-03-26,5
60,0,1,59,2020-03-25 22:00:00,,2020-03-25,3
57,0,0,57,2020-03-24 22:30:00,,2020-03-24,5
52,0,0,52,2020-03-23 23:40:00,,2020-03-23,2
50,0,0,50,2020-03-22 22:30:00,,2020-03-22,1
49,0,0,49,2020-03-21 23:30:00,,2020-03-21,40
9,0,0,9,2020-03-20 22:45:00,,2020-03-20,0
9,0,0,9,2020-03-19 23:30:00,,2020-03-19,0
9,0,0,9,2020-03-18 23:30:00,,2020-03-18,4
5,0,0,5,2020-03-17 22:30:00,,2020-03-17,1
4,0,0,4,2020-03-16 22:00:00,,2020-03-16,2
2,0,0,2,2020-03-15 23:30:00,,2020-03-15,0
2,0,0,2,2020-03-14 22:30:00,,2020-03-14,1
1,0,0,1,2020-03-13 22:00:00,,2020-03-13,0
1,0,0,1,2020-03-12 22:00:00,,2020-03-12,0
