Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
93873,344,12107,81422,2020-04-15 14:50:00,,2020-04-15,0
93873,344,12107,81422,2020-04-14 23:37:00,,2020-04-14,5252
88621,344,11329,76948,2020-04-13 21:50:00,,2020-04-13,9630
78991,344,9875,68772,2020-04-12 21:08:00,,2020-04-12,5233
73758,344,8958,64456,2020-04-11 07:00:00,,2020-04-11,0
73758,344,8958,64456,2020-04-10 22:00:00,,2020-04-10,8681
65077,135,7978,56964,2020-04-09 22:00:00,,2020-04-09,4344
60733,135,7097,53501,2020-04-08 23:00:00,,2020-04-08,5491
55242,135,6159,48948,2020-04-07 23:00:00,,2020-04-07,3634
51608,135,5373,46100,2020-04-06 23:00:00,,2020-04-06,3802
47806,135,4934,42737,2020-04-05 23:00:00,,2020-04-05,5903
41903,135,4313,37455,2020-04-04 23:50:00,,2020-04-04,3735
38168,135,3605,34428,2020-04-03 23:30:00,,2020-04-03,4450
33718,135,2921,30662,2020-04-02 23:30:00,,2020-04-02,4244
29474,135,2352,26987,2020-04-01 23:00:00,,2020-04-01,4324
25150,135,1789,23226,2020-03-31 23:30:00,,2020-03-31,3009
22141,135,1408,20598,2020-03-30 22:30:00,,2020-03-30,2619
19522,135,1228,18159,2020-03-29 23:10:00,,2020-03-29,2433
17089,135,1019,15935,2020-03-28 23:30:00,,2020-03-28,2546
14543,135,759,13649,2020-03-27 23:30:00,,2020-03-27,2885
11658,135,578,10945,2020-03-26 22:40:00,,2020-03-26,2129
9529,135,465,8929,2020-03-25 22:00:00,,2020-03-25,1452
8077,135,422,7520,2020-03-24 22:30:00,,2020-03-24,1427
6650,135,335,6180,2020-03-23 23:40:00,,2020-03-23,967
5683,93,281,5309,2020-03-22 22:30:00,,2020-03-22,665
5018,93,233,4692,2020-03-21 23:30:00,,2020-03-21,1035
3983,65,177,3741,2020-03-20 22:45:00,,2020-03-20,714
3269,65,144,3060,2020-03-19 23:30:00,,2020-03-19,643
2626,65,104,2457,2020-03-18 23:30:00,,2020-03-18,676
1950,65,71,1814,2020-03-17 22:30:00,,2020-03-17,407
1543,52,55,1436,2020-03-16 22:00:00,,2020-03-16,152
1391,20,35,1336,2020-03-15 23:30:00,,2020-03-15,251
1140,18,21,1101,2020-03-14 22:30:00,,2020-03-14,342
798,18,11,769,2020-03-13 22:00:00,,2020-03-13,208
590,18,10,562,2020-03-12 22:00:00,,2020-03-12,134
456,18,8,430,2020-03-11 22:30:00,,2020-03-11,73
383,18,6,359,2020-03-10 23:00:00,,2020-03-10,62
321,18,5,298,2020-03-09 22:30:00,,2020-03-09,43
278,18,3,257,2020-03-08 22:00:00,,2020-03-08,69
209,18,2,189,2020-03-07 22:00:00,,2020-03-07,45
164,18,2,144,2020-03-06 20:30:00,,2020-03-06,48
116,18,1,97,2020-03-05 20:30:00,,2020-03-05,29
87,8,0,79,2020-03-04 22:00:00,,2020-03-04,36
51,8,0,43,2020-03-03 23:30:00,,2020-03-03,11
40,8,0,32,2020-03-02 22:00:00,,2020-03-02,4
36,8,0,28,2020-03-01 23:00:00,,2020-03-01,13
23,8,0,15,2020-02-29 23:00:00,,2020-02-29,3
20,8,0,12,2020-02-28 23:00:00,,2020-02-28,4
16,8,0,8,2020-02-27 22:00:00,,2020-02-27,3
13,8,0,5,2020-02-26 23:30:00,,2020-02-26,0
13,8,0,5,2020-02-25 22:00:00,,2020-02-25,0
13,8,0,5,2020-02-24 23:00:00,,2020-02-24,0
13,8,0,5,2020-02-23 22:00:00,,2020-02-23,4
9,8,0,1,2020-02-22 23:00:00,,2020-02-22,0
9,8,0,1,2020-02-21 23:00:00,,2020-02-21,0
9,8,0,1,2020-02-20 22:00:00,,2020-02-20,0
9,8,0,1,2020-02-19 23:00:00,,2020-02-19,0
9,8,0,1,2020-02-18 23:00:00,,2020-02-18,0
9,8,0,1,2020-02-17 23:00:00,,2020-02-17,0
9,8,0,1,2020-02-16 22:30:00,,2020-02-16,0
9,8,0,1,2020-02-15 23:00:00,,2020-02-15,0
9,1,0,8,2020-02-14 23:00:00,,2020-02-14,0
9,1,0,8,2020-02-13 22:00:00,,2020-02-13,0
9,1,0,8,2020-02-12 21:30:00,,2020-02-12,1
8,1,0,7,2020-02-11 23:00:00,,2020-02-11,0
8,0,0,8,2020-02-10 22:30:00,,2020-02-10,4
4,0,0,4,2020-02-09 23:00:00,,2020-02-09,1
3,0,0,3,2020-02-08 22:00:00,,2020-02-08,0
3,0,0,3,2020-02-07 23:00:00,,2020-02-07,0
3,0,0,3,2020-02-06 21:30:00,,2020-02-06,1
2,0,0,2,2020-02-05 23:00:00,,2020-02-05,0
2,0,0,2,2020-02-04 20:00:00,,2020-02-04,0
2,0,0,2,2020-02-03 20:00:00,,2020-02-03,0
2,0,0,2,2020-02-02 22:00:00,,2020-02-02,0
2,0,0,2,2020-02-01 23:00:00,,2020-02-01,0
2,0,0,2,2020-01-31 19:00:00,,2020-01-31,0
