Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1101565,156094,64349,881122,2020-05-01 21:43:00,2020-05-01,89418
1012147,139419,56933,815795,2020-04-28 20:02:00,2020-04-28,24825
987322,118781,55415,813126,2020-04-27 14:50:00,2020-04-27,26426
960896,118162,54265,788469,2020-04-26 15:29:00,2020-04-26,35138
925758,110432,52217,763109,2020-04-25 17:01:00,2020-04-25,39049
886709,85922,50243,750544,2020-04-24 15:23:00,2020-04-24,37617
849092,84050,47681,717361,2020-04-23 16:20:00,2020-04-23,29917
819175,82973,45343,690859,2020-04-22 16:22:00,2020-04-22,26237
792938,72389,42518,678031,2020-04-21 17:14:00,2020-04-21,27869
765069,71196,40587,653286,2020-04-20 16:35:00,2020-04-20,26146
738923,68285,39015,631623,2020-04-19 16:30:00,2020-04-19,28651
710272,63510,37175,609587,2020-04-18 15:07:00,2020-04-18,25282
684990,58156,35481,591353,2020-04-17 22:01:00,2020-04-17,31994
652996,56510,33387,563099,2020-04-16 21:38:00,2020-04-16,36828
616168,39676,26200,550292,2020-04-15 20:35:00,2020-04-15,13109
603059,38077,25143,539839,2020-04-14 23:37:00,2020-04-14,36405
566654,33743,22877,510034,2020-04-13 21:50:00,2020-04-13,33539
533115,30502,20580,482033,2020-04-12 21:08:00,2020-04-12,30565
502550,28892,18802,454856,2020-04-11 07:00:00,2020-04-11,353
502197,28778,18783,454636,2020-04-10 22:00:00,2020-04-10,35894
466303,25736,16705,423862,2020-04-09 22:00:00,2020-04-09,33925
432378,23850,14821,393707,2020-04-08 23:00:00,2020-04-08,33730
398648,22260,12905,363483,2020-04-07 23:00:00,2020-04-07,30715
367933,19828,10985,337120,2020-04-06 23:00:00,2020-04-06,30384
337549,17531,9647,310371,2020-04-05 23:00:00,2020-04-05,25620
311929,14997,8499,288433,2020-04-04 23:50:00,2020-04-04,34183
277746,9823,7156,260767,2020-04-03 23:30:00,2020-04-03,32392
245354,9148,6053,230153,2020-04-02 23:30:00,2020-04-02,28959
