Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
55,12,0,43,2020-04-16 15:04:00,,2020-04-16,0
55,12,0,43,2020-04-15 20:35:00,,2020-04-15,1
54,8,0,46,2020-04-14 23:37:00,,2020-04-14,0
54,7,0,47,2020-04-13 21:50:00,,2020-04-13,1
53,4,0,49,2020-04-12 21:08:00,,2020-04-12,0
53,0,0,53,2020-04-11 07:00:00,,2020-04-11,0
53,0,0,53,2020-04-10 22:00:00,,2020-04-10,0
53,0,0,53,2020-04-09 22:00:00,,2020-04-09,0
53,0,0,53,2020-04-08 23:00:00,,2020-04-08,1
52,0,0,52,2020-04-07 23:00:00,,2020-04-07,0
52,0,0,52,2020-04-06 23:00:00,,2020-04-06,0
52,0,0,52,2020-04-05 23:00:00,,2020-04-05,4
48,0,0,48,2020-04-04 23:50:00,,2020-04-04,0
48,0,0,48,2020-04-03 23:30:00,,2020-04-03,3
45,0,0,45,2020-04-02 23:30:00,,2020-04-02,1
44,0,0,44,2020-04-01 23:00:00,,2020-04-01,0
44,0,0,44,2020-03-31 23:30:00,,2020-03-31,11
33,0,0,33,2020-03-30 22:30:00,,2020-03-30,0
33,0,0,33,2020-03-29 23:10:00,,2020-03-29,3
30,0,0,30,2020-03-28 23:30:00,,2020-03-28,7
23,0,0,23,2020-03-27 23:30:00,,2020-03-27,9
14,0,0,14,2020-03-26 22:40:00,,2020-03-26,0
14,0,0,14,2020-03-25 22:00:00,,2020-03-25,5
9,0,0,9,2020-03-24 22:30:00,,2020-03-24,0
9,0,0,9,2020-03-23 23:40:00,,2020-03-23,8
1,0,0,1,2020-03-22 22:30:00,,2020-03-22,0
1,0,0,1,2020-03-21 23:30:00,,2020-03-21,0
