Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
3764,143,108,3513,2020-04-16 02:00:00,,2020-04-16,0
3764,143,108,3513,2020-04-15 20:35:00,,2020-04-15,392
3372,119,98,3155,2020-04-14 23:37:00,,2020-04-14,270
3102,97,93,2912,2020-04-13 21:50:00,,2020-04-13,325
2777,89,83,2605,2020-04-12 21:08:00,,2020-04-12,266
2511,79,73,2359,2020-04-11 07:00:00,,2020-04-11,308
2203,61,69,2073,2020-04-10 22:00:00,,2020-04-10,311
1892,45,57,1790,2020-04-09 22:00:00,,2020-04-09,224
1668,35,52,1581,2020-04-08 23:00:00,,2020-04-08,206
1462,28,45,1389,2020-04-07 23:00:00,,2020-04-07,143
1319,28,38,1253,2020-04-06 23:00:00,,2020-04-06,11
1308,28,37,1243,2020-04-05 23:00:00,,2020-04-05,83
1225,25,32,1168,2020-04-04 23:50:00,,2020-04-04,153
1072,22,27,1023,2020-04-03 23:30:00,,2020-04-03,175
897,19,22,856,2020-04-02 23:30:00,,2020-04-02,103
794,13,20,761,2020-04-01 23:00:00,,2020-04-01,149
645,10,17,618,2020-03-31 23:30:00,,2020-03-31,97
548,8,13,527,2020-03-30 22:30:00,,2020-03-30,73
475,6,10,459,2020-03-29 23:10:00,,2020-03-29,119
356,5,9,342,2020-03-28 23:30:00,,2020-03-28,46
310,5,5,300,2020-03-27 23:30:00,,2020-03-27,114
196,1,5,190,2020-03-26 22:40:00,,2020-03-26,51
145,1,5,139,2020-03-25 22:00:00,,2020-03-25,43
102,1,3,98,2020-03-24 22:30:00,,2020-03-24,29
73,1,3,69,2020-03-23 23:40:00,,2020-03-23,0
73,1,3,69,2020-03-22 22:30:00,,2020-03-22,26
47,1,3,43,2020-03-21 23:30:00,,2020-03-21,6
41,1,3,37,2020-03-20 22:45:00,,2020-03-20,15
26,0,3,23,2020-03-19 23:30:00,,2020-03-19,10
16,0,2,14,2020-03-18 23:30:00,,2020-03-18,2
14,0,2,12,2020-03-17 22:30:00,,2020-03-17,7
7,0,1,6,2020-03-16 22:00:00,,2020-03-16,4
3,0,1,2,2020-03-15 23:30:00,,2020-03-15,0
3,0,1,2,2020-03-14 22:30:00,,2020-03-14,0
3,0,1,2,2020-03-13 22:00:00,,2020-03-13,0
3,0,0,3,2020-03-12 22:00:00,,2020-03-12,2
1,0,0,1,2020-03-11 22:30:00,,2020-03-11,0
1,0,0,1,2020-03-10 23:00:00,,2020-03-10,0
1,0,0,1,2020-03-09 22:30:00,,2020-03-09,0
1,0,0,1,2020-03-08 22:00:00,,2020-03-08,0
1,0,0,1,2020-03-07 22:00:00,,2020-03-07,0
1,0,0,1,2020-03-06 20:30:00,,2020-03-06,0
1,0,0,1,2020-03-05 20:30:00,,2020-03-05,0
1,0,0,1,2020-03-04 22:00:00,,2020-03-04,0
1,0,0,1,2020-03-03 23:30:00,,2020-03-03,0
